@Abaza@|@English@
@Author name@|@Renato B. Figueiredo@
@-0@|@gerund (present)@
@-0@|@nominative (absolute)@
@-0@|@imperative@
@-0[+tense suff. or 0]@|@aorist@
@-a@|@what@
@-a-@|@what@
@-a-@|@reciprocality@
@-an-@|@gerund relative temporal infix@
@-ax-ia-@|@gerund relative locative infix@
@-ba@|@thumb@
@-ba@|@inanim. class in numerals@
@-c-@|@comitative (in verbal forms)@
@-chw-@|@object version@
@-çw@|@denomin. attributive@
@-çwa@|@plural animated@
@-çwä@|@denomin. attributive@
@-da@|@an interrogative stem, a demonstrative stem@
@-dia@|@privative@
@-gä@|@conjunctive particle@
@-gla@|@plural collect@
@-ia@|@lative@
@-ia-@|@gerund relative locative infix@
@-k@|@morpheme denoting singularity@
@-kä@|@morpheme denoting singularity@
@-kwa@|@plural@
@-la@|@instrumental@
@-la-@|@requentative@
@-lak-gi@|@future gerund suffix@
@-m-@|@imperative negative@
@-m-@|@not@
@-m- -kwa@|@negative gerund@
@-mxä@|@claw@
@-n@|@imperative negative, past indefinite tense suffix@
@-nä@|@denominal adverbial@
@-nda@|@desiderative@
@-ni@|@a demonstrative stem@
@-p@|@present (static verbs), be@
@-pä@|@extremity@
@-psa@|@step-relative@
@-pxä@|@claw@
@-r@|@male@
@-r-@|@causative@
@-r-näs@|@conditional-causal@
@-ra@|@plurall collect.@
@-ra@|@denomin. abstract@
@-rä-kwän@|@conditional@
@-rgla@|@plural collect@
@-s@|@adverb. case@
@-s@|@singulative animated@
@-s-@|@to move@
@-š-@|@how@
@-š-[+-t? or 0]@|@future@
@-sa@|@adverb. case@
@-sä-@|@to move@
@-ša-@|@how@
@-t@|@general finite verbal tense@
@-t-@|@to be inside@
@-ta-@|@to be inside@
@-tä-@|@to be inside@
@-u-@|@continious@
@-xa@|@past perfect@
@-xa-@|@become@
@-xbia-ra@|@to weave@
@-z@|@gerund (past)@
@-z-@|@object version favourable@
@-z-@|@general subj. class marker@
@-z-tän@|@conditional@
@-zä-@|@potentiality@
@a-@|@a demonstrative stem@
@a-@|@inanim. sing. subj.class mark@
@a-b-@|@a demonstrative stem@
@a-bhwá@|@plum@
@a-çxw-rá@|@urinate@
@a-ia-z-la-ra@|@to be@
@a-lasa@|@wool@
@a-ncha@|@god@
@a-ni@|@a demonstrative stem@
@a-pär-ra@|@fly@
@a-phwá@|@plum@
@a-q-ra@|@drag@
@a-t-ra@|@give@
@a-ta-çwa-ra@|@to pour@
@a-xbiä'xbi@|@pigeon@
@á-xbixbia-ra@|@to shout@
@a-xwä'-c@|@hair@
@a-žwä@|@old@
@aba@|@father@
@aça@|@quail@
@agla@|@season@
@agla-ra@|@to hear@
@aj@|@hoar-frost@
@ajca-la@|@sister-in-law@
@ajšäs@|@short@
@ajxbia@|@more@
@ala-bäž@|@dusk@
@anä@|@mother@
@ana-ja-ra@|@reach@
@ar-ma@|@right@
@ara@|@enemy@
@arcäš@|@lizard@
@argwa-nä@|@near@
@aštanchwä@|@snake@
@ašwa@|@song@
@ašwä@|@cheese@
@awi@|@that@
@axbia@|@more@
@az@|@gall@
@az-xbixbia-ra@|@to rake up@
@aža@|@hare@
@azna@|@full@
@aznata@|@full@
@ažwa@|@word@
@ba@|@kiss@
@ba-ra@|@to see@
@baba@|@downy@
@baga@|@fox@
@bagaja@|@hyena@
@bäl-ra@|@burn@
@bara@|@hard@
@bäž@|@beetle@
@bäž-ba@|@seven@
@bäz-šwa@|@language@
@bçä@|@measles@
@bçwa@|@sheep's spring-time hair@
@bga-ra@|@to rush at@
@bgla@|@rotten@
@bglwä@|@bone@
@bk-ra@|@pinch@
@bora@|@cattle-shed@
@bra@|@waist, mane@
@brä@|@leaf@
@bza@|@living@
@bzä@|@tongue@
@bža@|@half@
@bža-ra@|@between@
@bzi@|@good@
@ç-@|@for oneself@
@c-ba@|@six@
@c-glwa@|@bottom@
@c-ha-ra@|@to bite@
@ç-klams@|@ant@
@c-lamhwa@|@jaw@
@ca@|@louse, thin@
