@Arabic (romanized)@|@English@
@Author name@|@Tercüman / Ken Chase@
@"^"@|@vowel lengthener sign@
@"3"@|@signifier for "ayn", glottal "a"@
@"D"@|@heavy "d", like in "duh"; letter "dhad"@
@"dh"@|@"dh", transcription of the arabic letter "dhî"@
@"H"@|@aspirated "h" for "ha", also transcribed with "7"@
@"kh"@|@transcription of the letter "khâ"@
@"T"@|@heavy "t", stands for the arabic letter "Tî"@
@"th"@|@read "th" as in "thin" or sometimes as in "they"@
@*note: for exact pronunciation@|@consult the original arabic script.@
@...ajal?@|@is it so? (as a question word)@
@?abara / ya?buru @|@ to cross@
@?abd (?abīd, ?ibād) @|@ slave@
@?abr @|@ across@
@?āda / ya?ūdu @|@ to return@
@?adad (’a?dād) @|@ number@
@?ādatan @|@ usually@
@?adda / ya?uddu @|@ to count@
@?ādil @|@ just, fair@
@?adl @|@ justice@
@?ahd (?uhūd) @|@ contract, promise@
@?ajīb @|@ marvellous@
@?ajiba / ya?jabu @|@ to be astonished@
@?alā @|@ on@
@?ālaja (III) @|@ to deal with@
@?ālam (?awālim) @|@ world@
@?alāqa @|@ relation(ship)@
@?ālim (?ulamā’) @|@ scholar@
@?alima / ya?lamu @|@ to learn, to know@
@?allama (II) @|@ to teach@
@?allaqa (II) @|@ to comment, to hang@
@?ām (’a?wām) @|@ year@
@?amal (’a?māl) @|@ work@
@?āmala (III) @|@ to deal with@
@?amila / ya?malu @|@ to do, to work@
@?amīq @|@ deep@
@?āmm @|@ general@
@?an @|@ about, from@
@?anā / ya?nī @|@ to mean@
@?anīf @|@ violent@
@?aqada / ya?qidu @|@ to tie, to contract@
@?āqil @|@ intelligent@
@?aql (?uqūl) @|@ intelligence@
@?arab @|@ Arab@
@?araDa / ya?riDu @|@ to offer, to show@
@?arafa / ya?rifu @|@ to know@
@?ashā’ (’a?shiya) @|@ dinner@
@?askarī @|@ soldier@
@?aSrī @|@ modern@
@?āTā (III) @|@ to give@
@?awā’id @|@ profits@
@?ayn (?uyūn) @|@ eye, spring@
@?aZīm (?uZamā’, ?iZām) @|@ great@
@?azīz (’a?izzā’, ’a?izza) @|@ dear@
@?īd (’a?yād) @|@ festival@
@?idda @|@ a number (of)@
@?ilm (?ulūm) @|@ science@
@?imāra @|@ building@
@?inda @|@ at, near@
@?indamā @|@ when@
@?uDw (’a?Dā’) @|@ member@
@?umr (’a?mār) @|@ age@
@`@|@hamza / glottal stop@
@’a @|@ (question particle)@
@’a?jaba (IV) @|@ to surprise@
@’a?lana (IV) @|@ to advertise, to announce@
@’abadan @|@ always, forever@
@’abdā (IV) @|@ to show@
@’ablagha (IV) @|@ to inform@
@’abū @|@ father (of)@
@’aDāfa (IV) @|@ to add@
@’adāra (IV) @|@ to administer, to manage@
@’aDraba (IV) @|@ to go on strike@
@’adraka (IV) @|@ to realize@
@’afTara (IV) @|@ to breakfast@
@’aHabba (IV) @|@ to love@
@’ahammiyya @|@ importance@
@’aHdatha (IV) @|@ to create, to cause@
@’ahl (’ahālin) @|@ people, family@
@’aHmar (Humr) @|@ red@
@’aHyānan @|@ sometimes@
@’ajnabī (’ajānib) @|@ foreign@
@’ajrā (IV) @|@ to carry out@
@’akala / ya’kulu @|@ to eat@
@’akh (’ikhwa, ’ikhwān) @|@ brother@
@’akhadha / ya’khudhu @|@ to take, to begin@
@’akhbara (IV) @|@ to inform@
@’akhDar (khuDr) @|@ green@
@’akhīr @|@ last, latest@
@’akhīran @|@ finally@
@’allafa (II) @|@ to compose, to write@
@’amāma @|@ in front of@
@’amara / ya’muru @|@ to order@
@’amīn (’umanā’) @|@ faithful; secretary@
@’amina / ya’manu @|@ to be safe, to be secure@
@’amīr (’umarā’) @|@ emir, prince@
@’amkana (IV) @|@ to be possible@
@’ammā @|@ but, as to, as for@
@’amn @|@ security@
@’amr (’awāmir) @|@ order@
@’amr (’umūr) @|@ matter, affair@
@’ams @|@ yesterday@
@’an @|@ that, to@
@’anā @|@ I@
@’anna @|@ that@
@’anshā’a (IV) @|@ to establish@
@’anta, ’anti @|@ you@
@’antaja (IV) @|@ to produce@
@’antum @|@ you (m pl)@
@’antunna @|@ you (f pl)@
@’aqāma (IV) @|@ to set up, to raise@
@’arāda (IV) @|@ to wish@
@’arD @|@ earth@
@’arsala (IV) @|@ to send@
@’aruzz @|@ rice@
@’asas (’usus) @|@ foundation@
@’aSbaHa (IV) @|@ to become@
@’ashā? (IV) @|@ to disseminate@
@’aSl (’usūl) @|@ origin@
@’aSlaHa (IV) @|@ to reform@
@’aSlī @|@ original@
@’asmā (IV) @|@ to name@
@’asra?a (IV) @|@ to hurry@
@’assasa (II) @|@ to found@
@’aswad (sūd) @|@ black@
@’atāHa (IV) @|@ to permit@
@’atamma (IV) @|@ to complete@
@’athara (’āthār) @|@ trace, antiquities@
@’athnā’a @|@ during@
@’aththara (II) @|@ to influence@
@’atla?a (IV) @|@ to inform of@
@’aw @|@ or@
@’awqafa (IV) @|@ to stop@
@’awsaT @|@ middle@
@’awwal @|@ first@
@’ay @|@ that is, i.e.@
@’ayDan @|@ also@
@’ayna @|@ where?@
@’ayyi @|@ which? what?@
@’aZhara (IV) @|@ to show@
@’azma (’azamāt) @|@ crisis@
@’azraq (zurq) @|@ blue@
@’idāra @|@ administration@
@’idhā @|@ if, when@
@’Ifrīqiyā @|@ Africa@
@’ilā @|@ to, towards@
@’illā @|@ except@
@’in @|@ if@
@’insān (nās) @|@ person, human@
@’islām @|@ Islam@
@’ukht (’akhawāt) @|@ sister@
@’ūlā @|@ first (f)@
@’umma (’umam) @|@ nation@
@’umūmī @|@ public, general@
@’urūba @|@ Europe@
@’ustādh (’asātidha) @|@ teacher, professor@
@3âdat@|@returned (female)@
@3âdatan athhab ilal-madrasa.@|@I'm used to going to the school.@
@3adatan kuntu af3al shay...@|@I used to do something...@
@3âdatan...@|@used to...@
@3adham Allah ajrakum.@|@my condolences.@
@3adhrâ@|@maiden@
@3âdiyan@|@ordinary@
@3afwan@|@you're welcome@
@3afwan!@|@I'm sorry(if u dont hear smth)@
@3alâ fikra@|@by the way@
@3alâ qalbak!@|@(in reply to "bless you")@
@3alâ sâ3a....@|@at.......o'clock.@
@3alâ Tûl.@|@straight ahead.@
@3alal `aqall@|@at least@
@3amal@|@work@
@3amaltu sâdiq al-yawm.@|@I made a friend today.@
