@Arabic@|@English@
@Author name@|@Ken Chase@
@Font@|@Times New Roman\22\Arial\12@
@عبر@|@ to cross@
@عبد@|@ slave@
@عبر@|@ across@
@عاد@|@ to return@
@عدد@|@ number@
@عادة@|@ usually@
@عد@|@ to count@
@عادل@|@ just, fair@
@عدل@|@ justice@
@عهد@|@ contract, promise@
@عجيب@|@ marvellous@
@عجب@|@ to be astonished@
@على@|@ on@
@عالج@|@ to deal with@
@عالم@|@ world@
@علاقة@|@ relation(ship)@
@عالم@|@ scholar@
@علم@|@ to learn, to know@
@علم@|@ to teach@
@علق@|@ to comment, to hang@
@عام@|@ year@
@عمل@|@ work@
@عامل@|@ to deal with@
@عمل@|@ to do, to work@
@عميق@|@ deep@
@عام@|@ general@
@عن@|@ about, from@
@عنى@|@ to mean@
@عنيف@|@ violent@
@عقد@|@ to tie, to contract@
@عاقل@|@ intelligent@
@عقل@|@ intelligence@
@عرب@|@ Arab@
@عرض@|@ to offer, to show@
@عرف@|@ to know@
@عشاء@|@ dinner@
@عسكري@|@ soldier@
@عصري@|@ modern@
@عاطا@|@ to give@
@عائدة@|@ profits@
@عين@|@ eye, spring@
@عظيم@|@ great@
@عزيز@|@ dear@
@عيد@|@ festival@
@عدة@|@ a number (of)@
@علم@|@ science@
@عمارة@|@ building@
@عند@|@ at, near@
@عندما@|@ when@
@عضو@|@ member@
@عمر@|@ age@
@ا@|@ (question particle)@
@اعجب@|@ to surprise@
@اعلن@|@ to advertise, to announce@
@ابدا@|@ always, forever@
@ابدا@|@ to show@
@ابلغ@|@ to inform@
@ابو@|@ father (of)@
@اضاف@|@ to add@
@ادار@|@ to administer, to manage@
@اضرب@|@ to go on strike@
@ادرك@|@ to realize@
@افطر@|@ to breakfast@
@احب@|@ to love@
@اهمية@|@ importance@
@احدث@|@ to create, to cause@
@اهل@|@ people, family@
@احمر@|@ red@
@احيانا@|@ sometimes@
@اجنبي@|@ foreign@
@اجرى@|@ to carry out@
@اكل@|@ to eat@
@اخ@|@ brother@
@اخذ@|@ to take, to begin@
@اخبر@|@ to inform@
@اخضر@|@ green@
@اخير@|@ last, latest@
@اخيرا@|@ finally@
@الف@|@ to compose, to write@
@امام@|@ in front of@
@امر@|@ to order@
@امين@|@ faithful; secretary@
@امن@|@ to be safe, to be secure@
@امير@|@ emir, prince@
@امكن@|@ to be possible@
@اما@|@ but, as to, as for@
@امن@|@ security@
@امر@|@ order@
@امر@|@ matter, affair@
@امس@|@ yesterday@
@ان@|@ that, to@
@انا@|@ I@
@ان@|@ that@
@انشاء@|@ to establish@
@انت@|@ you@
@انتج@|@ to produce@
@انتم@|@ you (m pl)@
@انتن@|@ you (f pl)@
@اقام@|@ to set up, to raise@
@اراد@|@ to wish@
@ارض@|@ earth@
@ارسل@|@ to send@
@ارز@|@ rice@
@اساس@|@ foundation@
@اصبح@|@ to become@
@اشاع@|@ to disseminate@
@اصل@|@ origin@
@اصلح@|@ to reform@
@اصلي@|@ original@
@اسمى@|@ to name@
@اسرع@|@ to hurry@
@اسس@|@ to found@
@اسود@|@ black@
@اتاح@|@ to permit@
@اتم@|@ to complete@
@اثرة@|@ trace, antiquities@
@اثناء@|@ during@
@اثر@|@ to influence@
@اطلع@|@ to inform of@
@او@|@ or@
@اوقف@|@ to stop@
@اوسط@|@ middle@
@اول@|@ first@
@اي@|@ that is, i.e.@
@ايضا@|@ also@
@اين@|@ where?@
@اي@|@ which? what?@
@اظهر@|@ to show@
@ازمة@|@ crisis@
@ازرق@|@ blue@
@ادارة@|@ administration@
@اذا@|@ if, when@
@افريقيا@|@ Africa@
@الى@|@ to, towards@
@الا@|@ except@
@ان@|@ if@
@انسان@|@ person, human@
@اسلام@|@ Islam@
@اخت@|@ sister@
@اولى@|@ first (f)@
@امة@|@ nation@
@امومي@|@ public, general@
@اروبا@|@ Europe@
@استاذ@|@ teacher, professor@
@آخر@|@ other, another@
@آخر@|@ last@
@آل@|@ family, house@
@ال@|@ the@
@الآن@|@ now@
@البارح@|@ yesterday@
@الله@|@ God@
@اصفر@|@ yellow@
@اسمر@|@ brown@
@باع@|@ to sell@
@بعد@|@ after@
@بعض@|@ some@
@بعيد@|@ far@
@باب@|@ door, gate@
@بدا@|@ to seem@
@بدأ@|@ to start@
@بدوي@|@ nomad, bedouin@
@بادية@|@ desert@
@باحث@|@ to discuss@
@بحث@|@ to study, to discuss@
@بحر@|@ sea@
@بل@|@ but@
@بلد@|@ town@
@بلدية@|@ municipality@
@بلاغ@|@ report@
@بلغ@|@ to reach, to amount to@
@بنى@|@ to build@
@بنك@|@ bank@
@بقرة@|@ cow@
@بارد@|@ cold@
@بريد@|@ post@
@برلمان@|@ parliament@
@بسيط@|@ simple@
@بيان@|@ statement@
@بيض@|@ eggs@
@بين@|@ between, among@
@بينما@|@ while@
@بيت@|@ house@
@ب@|@ with, by@
@من بالقرب@|@ near@
@بضع@|@ a few@
@بخصوص@|@ concerning@
@بلاد@|@ country@
@بنت@|@ girl, daughter@
@بركة@|@ pool@
@بسبب@|@ because@
@بوليس@|@ police@
@بستان@|@ orchard@
@دعا@|@ to pray, to invite@
@ضعيف@|@ weak@
@دائما@|@ always@
@دائرة@|@ office@
@ضابط@|@ officer@
@دافع@|@ to defend@
@دخل@|@ to enter@
@داخل@|@ inside@
@داخلي@|@ interior, internal@
@دل@|@ to point@
@دقيق@|@ accurate, fine, thin@
@دقيقة@|@ minute@
@ضرب@|@ to strike, to beat@
@درجة@|@ step, degree@
@درس@|@ to study@
@درس@|@ to teach@
@درس@|@ lesson@
@ضرورة@|@ need@
@ضروري@|@ necessary@
@دولة@|@ state@
@ضيف@|@ guest@
@ضيق@|@ narrow@
@ذهب@|@ to go@
@ذكر@|@ to mention@
@ذكي@|@ clever@
@ذلك@|@ that@
@دعاية@|@ propaganda@
@دفاع@|@ defense@
@دراسة@|@ study@
@دكان@|@ shop, store@
@دون@|@ without@
@دولي@|@ international@
@ف@|@ and@
@فعل@|@ to make, to do@
@فائدة@|@ benefit@
@فهم@|@ to understand@
@فامهة@|@ fruit@
