@English@|@Abaza@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@a demonstrative stem@|@-da, -ni, a-, a-b-, a-ni, ja-ra@
@adverb. case@|@-s, -sa@
@an interrogative stem@|@-da@
@anim. sing. obj. marker@|@d-, dä-@
@ant@|@ç-klams@
@aorist@|@-0[+tense suff. or 0]@
@apple@|@çwa@
@apricot@|@tama@
@arable field@|@rqa@
@arrow@|@xä@
@ashes@|@qwa@
@ash-tree@|@ža-chwä@
@autumn@|@jnä@
@axe@|@kwara@
@bake@|@j-ra@
@barley@|@qwjä@
@be@|@-p@
@be hungry@|@çga-ra@
@bear@|@mšwä@
@beard@|@žak'a@
@become@|@-xa-@
@beetle@|@bäž@
@belly@|@mgwa@
@between@|@bža-ra@
@big@|@du@
@bitch@|@la-ps@
@black@|@kwa-jçwa@
@blanket@|@qäza@
@blood@|@ša@
@blue@|@jachwa@
@board@|@rwä@
@bone@|@bglwä@
@book@|@šw'a@
@bottom@|@c-glwa@
@bow@|@xri-xäc@
@bread made of millet flour@|@mgal@
@brown@|@glwa-bža@
@bug@|@kaca@
@bull@|@çwä@
@bull-calf@|@xbiä-s@
@burn@|@bäl-ra@
@burrow@|@glwa-ra@
@carry@|@ga-ra@
@cat@|@cgwä@
@cattle@|@raxwä@
@cattle-shed@|@bora@
@causative@|@-r-@
@cheek@|@jamglwa@
@cheese@|@ašwä@
@chicken@|@kwchä-s@
@circle@|@gaga@
@claw@|@-mxä, -pxä@
@cloud@|@psthwa@
@cold@|@x-šwašwa@
@come@|@gla-jra@
@comitative (in verbal forms)@|@-c-@
@conditional@|@-rä-kwän, -z-tän@
@conditional-causal@|@-r-näs, näs@
@conjunctive@|@glat@
@conjunctive particle@|@-gä@
@continious@|@-u-, wa-@
@cornel@|@zarä'@
@cradle@|@gara@
@cry@|@çwäwa-ra, çwu-@
@cuckoo@|@kwäkwa@
@cucumber@|@naša@
@cut out@|@sa-ra@
@damn@|@šwej-ra@
@daughter@|@pha@
@day@|@mšä, šä-@
@dead body@|@qwa-di@
@deer@|@šwarax@
@denomin. abstract@|@-ra@
@denomin. attributive@|@-çw, -çwä@
@denominal adverbial@|@-nä@
@desiderative@|@-nda@
@die@|@ps-ra@
@dog@|@la@
@downy@|@baba@
@drag@|@a-q-ra@
@dream@|@pxäz@
@dung@|@qä@
@dusk@|@ala-bäž@
@ear@|@lämha@
@early@|@pasa@
@edge@|@mza-kä@
@enemy@|@ara@
@even@|@ra-jša@
@extremity@|@-pä@
@eye@|@la@
@eyebrow@|@žä-msa@
