@English@|@Abenaki Penobscot@
@Author name@|@Guy T. Gambill / Charlie Lippert@
@Font@|@Arial\12\Arial\12@
@(capital ô; see entries beginning with ô)@|@O’@
@(nasaled o; see entries containing ô)@|@8@
@about@|@pabômiwi@
@abscess@|@pmowa@
@abundantly@|@mamlawiwi@
@ace (of cards)@|@naguedawighôsit+ik@
@acorn@|@anaskemen+al@
@acre of land@|@alpôn ki@
@action@|@ladakawôgan@
@adjourn (v)@|@ôttozik@
@adoration@|@lôgitôwadwôgan@
@advise@|@wawinômuk@
@advocate@|@noji-tbelodmowinno+ak@
@after@|@kizi@
@after this year@|@kizi pamgadenek@
@after today@|@kizi pamkisgak@
@after tomorrow@|@kizi sabak@
@afternoon@|@kizi paskwa@
@afternoon: mid ~@|@nôwakwa@
@afterwards@|@almitebihlok@
@again@|@askua, mina@
@Agatha@|@agat@
@Agnes@|@ônias@
@ahead@|@nikôniwi@
@air@|@awan@
@alder-tree@|@wdopi+al@
@ale@|@labial@
@all@|@mziwi@
@all year: it's ~@|@mziwigen gaden@
@almighty (Christian)@|@nônguichi-ntatôgw@
@almost@|@alwa@
@almost summer: it's ~@|@alwawigen niben@
@already@|@kigizi, kizi@
@also@|@achi, atsi, ni, ta@
@although@|@minaguiha@
@American: an ~@|@Pastoni@
@ancient@|@nônegôni@
@and@|@ni, ta@
@and how are you?@|@ni doni gia?@
@angel@|@ôzali@
@Angelica@|@ôzalik@
@angry@|@chilao@
@ankle@|@alipskweskak@
@Anna@|@ônis@
@annually@|@nônguejigadegi@
@ant@|@alikws+ak@
@Anthony@|@atoan@
@apostle@|@wdawasgiskwi@
@appease (v)@|@awigihômuk@
@apple@|@aples+ak@
@apple-tree@|@aplesakuam+ak@
@April@|@sogalikas@
@apron@|@tablia+al@
@archangel@|@kchi ôzali@
@archipelago@|@mani menahanikak@
@argument: futile ~@|@pizwi klsowôgan@
@arm@|@wpedin+al@
@arrest (v)@|@channozik@
@arrive (v)@|@paiô, ponômuk@
@arrow@|@pakus+al@
@as@|@kôdak, taôlawi@
@as many@|@nôbi kassi@
@as much@|@nôbi kassi@
@as soon as@|@anegitta@
@as well as@|@nôbi taôlawi@
@ascension (Christian)@|@spemkik alihlôd@
@ash (tree)@|@mahlakws+ak@
@ash tree@|@ogmakwam@
@ash wood@|@ogma@
