@English@|@Abkhaz@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@a boat@|@ashkhua@
@a demonstrative stem@|@-da, a-, a-, a-b-, ja-rá@
@a dog@|@al'a@
@a dream@|@a'cva@
@a k. of elm@|@á-raš@
@a nice man@|@auau' bzia@
@a sail@|@a-pra@
@a ship@|@ag'ba@
@a skin@|@acv'@
@a sort of plum@|@a-märgwäz@
@a thing class@|@aky@
@a wollen shawl@|@alasa kasy@
@adverbial modifier of manner@|@sh@
@adverbial modifier of place@|@akh'@
@adverbial modifier of time@|@an@
@adverbial suffix@|@-zä@
@an eye@|@a'la@
@an interrogative stem@|@-da@
@an oar@|@azhvua@
@anim. sing. obj. marker@|@d-, dä-@
@ant@|@a-šäš-kamsa@
@aorist@|@-0[+tense suff. or 0]@
@apple@|@a-chchá@
@armour@|@a-kwaljä@
@arrow@|@a-xä@
@ashes@|@á-xwa@
@asp@|@á-ža@
@axe@|@a-j-kwágha@
@bake@|@a-j-rá@
@bar@|@a-läkw@
@be@|@-p@
@be hungry@|@a-chga-rá@
@bear@|@á-mš@
@beard@|@a-žáka@
@beautifully@|@ipshdza-ny@
@become@|@-xa-@
@beech-tree@|@á-š@
@beetle@|@a-bžá@
@belly@|@á-mgwa@
@better@|@eiha ibziou@
@between@|@a-bžá-ra@
@big@|@a-dú@
@big toe@|@-b@
@bird@|@a-psä, a-psätw@
@black@|@á-jkwa-cha@
@blanket@|@a-xäza@
@blood@|@a-šá@
@blue@|@á-jecha@
@board@|@a-ghwä@
@bone@|@á-ba'w@
@book@|@a-šqä@
@bottom@|@á-ca@
@bow@|@a-xá-c@
@bread@|@a-chá@
@bread made of millet flour@|@a-mgál@
@brown@|@a-'wa-bža@
@bug@|@a-kacá@
@bull@|@á-ch@
@bull-calf@|@a-hwä-s@
@burn@|@a-bál-ra@
@burrow@|@á-'wa-ra@
@cake@|@a-kwakwár@
@candle@|@a-chá-mza@
@canine tooth@|@á-c@
@carry@|@a-ga-rá@
@cat@|@a-cgwä@
@cattle@|@á-raxw@
@cattle-shed@|@-bówra, a-bóra@
@causative@|@-r-@
@cheek@|@a-jám'wa@
@cheese@|@áš@
@chicken@|@a-kwchä-š@
@claw@|@-pxä-c@
@clay@|@a-näš@
@cloud@|@a-psthwa@
@cold@|@á-x-šaša@
@come@|@a-né-jra@
@comitative (in verbal forms)@|@-c-@
@conjunctive@|@-a, -ait@
@conjunctive particle@|@-gä@
@continious@|@-wa-(+tense suff. or 0)@
@cornel@|@a-bgä-jara, zarä@
@corner@|@a-kwák@
