@English@|@Adyghe@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@@|@, , plhen, Shuplhesht@
@¼@|@plh`ane@
@½@|@Näqo@
@1 %@|@Ahishem shäshu zä@
@1/10@|@psh`ane@
@1/3@|@shane@
@1/5@|@tfane@
@1/6@|@xane@
@1/7@|@blane@
@1/8@|@yane@
@1/9@|@bghuane@
@10 days@|@Mefipsh`@
@10 months@|@Mazipsh`@
@10%@|@ahishem shäshu psh`ä@
@100@|@she@
@100 parts@|@Ahishe@
@100.000@|@minishe@
@1000@|@min@
@1000 has 3 zeros@|@Minim nulish  yä`@
@1000.000@|@milyon@
@1000.000.000@|@milyard@
@10000@|@minipsh`@
@101@|@shere  zäre@
@11@|@Pshik'uz@
@11000@|@min  pshäk'uz@
@120@|@shere  t'o`ire@
@12000@|@min  pshäk'utú@
@160@|@shere  t'o`ishre@
@170@|@shere  t'o`ishre  pshä`re@
@2 boys and 2 girls@|@Alit'ure psheshit'ure@
@2 chicks@|@Nek'ushhit'u@
@2 days@|@Mefit'u@
@2 ears@|@Thek'umit'u@
@2 eyebrows@|@Neptsit'u@
@2 eyes@|@Nit'u@
@2 heads@|@Shhi-t'u@
@2 hearts@|@Gui-t'u@
@2 lips@|@Upsh`it'u@
@2 minds@|@Gui-t'u  shhit'u@
@2 months@|@Mazit'u@
@2 years@|@Yälhesit'u@
@200@|@shit'u@
@2000@|@minit'u@
@20000@|@min   t'o@
@21@|@t'o`ire  zäre@
@22@|@t'ure@
@23@|@shäre@
@24@|@plh`äre@
@25@|@tfäre@
@26@|@xäre@
@27@|@bläre@
@28@|@yäre@
@29@|@bghure@
@3 days@|@Mefish@
@3 months@|@Mazish@
@3 years@|@Yilhesish@
@30@|@psh`äre@
@300@|@shish@
@31@|@pshäk'uzre@
@32@|@pshäk'ut're@
@33@|@pshäk'shre@
@34@|@pshik'uplh`re@
@35@|@pshäk'utfre@
@36@|@pshäk'uxre@
@37@|@pshik'ublre@
@38@|@pshäk'uyre@
@39@|@pshäk'ubghure@
@3d p. (indirect) object@|@ja-@
@3d p. obj.@|@-0-@
@3d p. subj. intrans@|@ma-@
@3d p. subj. trans.@|@0-, ä-@
@4 days@|@Mefiplh`@
@4 months@|@Maziplh`@
@4 years@|@Yälhesiplh`@
@40@|@t'o`it'u@
@400@|@shiplh@
@41@|@t'o`it'u re zäre@
@42@|@t'o`it'u re t'ure@
@5 days@|@Mefitf@
@5 months@|@Mazitf@
@5 years@|@Yälhesitf@
@5 years and 6 months@|@Yälhesitfre mazixre@
