@English@|@Aghul@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@3d p. imperative@|@-ur-aj@
@a big jar@|@gwar@
@a day after tomorrow@|@sa-jagha@
@a lot@|@p'para@
@a prohibitive particle@|@m-@
@a sort of barley@|@me'-er@
@a sp. of barley@|@mux@
@above@|@al-@
@ache@|@it:-ar xas@
@adj. and part. suffix@|@-r@
@adjective and part. suffix@|@-f@
@adjective substantivator sing@|@-d-@
@adverbial suffix@|@-di, -t:-, -t:i@
@ak. of grass@|@ghur@
@all@|@vari@
@anger@|@qIal@
@ankle@|@icul, k:un@
@ant@|@zabz@
@aorist@|@-j@
@appearance@|@kuc@
@apple@|@hach@
@armful@|@xab@
@armpit@|@'ach@
@arrow@|@hal@
@ash@|@ruk'I@
@ashes@|@ruqI:@
@autumn@|@cul@
@axe@|@jakw@
@badger@|@bušaxIur@
@bark@|@gužal, q:ark@
@be reconciled@|@d-ux'-@
@beak@|@k:alk:am, mu'ul, qup:@
@beam@|@duqur@
@bear@|@ux-@
@beard@|@mužur@
@bee@|@warw@
@behind@|@qa@
@belly@|@fun@
@belt@|@qIatul@
@besom@|@kuruš, mugul@
@big@|@'aba-ni-r, Xa-f@
@big knife@|@kant@
@bind@|@it-@
@bird@|@dzhak'v@
@birth-mark@|@tur@
@bitch@|@kach@
@black@|@kare-f, kIare@
@blister@|@pex-er@
@block@|@gurdar@
@blood@|@i', igI@
@blue@|@chuIlle-f@
@boar@|@wak:@
@bone@|@irk:, karab@
@bottom@|@ajs, ken@
@boundary@|@k:war@
@boy@|@šinik:w@
@branch@|@kul, kutul@
@bread@|@'ül@
@break@|@ja'-t-@
@breast@|@muxur@
@breath@|@el@
@bride@|@sus@
@bride-groom@|@jam, žam@
@bridge@|@muR@
@brother@|@chu@
@bundle@|@duch, max@
@burden@|@'a'@
@burdock@|@parqIw@
@burn@|@ugwa-s@
@butter@|@ch:aIm, ifal@
@button@|@kuch@
@cabin@|@paž@
@cake@|@k:uk:alaj, kakucaj@
@calf@|@urch@
@cane@|@nec@
@caraway@|@hašw@
@carpet@|@tams@
@carpet napless@|@kan@
@carrot@|@qut:@
@cat@|@gita-n@
@cattle-shed@|@sal@
@cave@|@qIwat@
@ceiling@|@ghwad@
@chaff@|@neqw@
@cheese@|@nis@
@chin@|@muchur@
@clay@|@luz@
@clean@|@maIrt:e-f@
@clew@|@gwad@
@cloud@|@ams-ar, dif@
@cock@|@k:ek:, t:at:@
@cold@|@mik-ler, rug'uf@
@collar@|@Xaw@
@collar-bone@|@dak:ra@
