@English@|@Ainu@
@Author name@|@Charlie Lippert@
@// Symbols //@|@// Symbols //@
@1st of multiple entry@|@¹@
@2nd of multiple entry@|@²@
@3rd of multiple entry@|@³@
@4th of multiple entry@|@ª@
@5th of multiple entry@|@º@
@adjective@|@(adj)@
@adverb@|@(adv)@
@Amur Valley dialect [extinct]@|@(ain-W)@
@and@|@+@
@becomes@|@>@
@Central Sakhalin dialect@|@(ain-NN)@
@Chinese language@|@(Zh)@
@conjunction@|@(+)@
@Eastern Hokkaidô dialect@|@(ain-CE)@
@explicit@|@(x)@
@from@|@<@
@Hokkaidô dialect [default]@|@(ain-C)@
@Honshu dialect [extinct]@|@(ain-S)@
@interjection@|@(!)@
@Japanese language@|@(Ja)@
@Kamkatchka dialect [extinct]@|@(ain-EN)@
@Kuril dialect [extinct]@|@(ain-E)@
@Northern Hokkaidô dialect@|@(ain-CN)@
@Northern Kuril dialect [extinc (ain-EC)@|@(ain-EC)@
@noun@|@(n)@
@particle@|@(pc)@
@plural@|@(p)@
@posessive@|@(g)@
@postposition@|@(pop)@
@prefix@|@(pf)@
@preposition@|@(prp)@
@pronoun@|@(pr)@
@pronoun: 1st person@|@(pr1)@
@pronoun: 1st person plural exc (pr1)(p)@|@(pr1)(p)@
@pronoun: 1st person plural inc (pr2)(1)@|@(pr2)(1)@
@pronoun: 1st person singular@|@(pr1)(s)@
@pronoun: 2nd person@|@(pr2)@
@pronoun: 3rd person@|@(pr3)@
@Sakhalin dialect@|@(ain-N)@
@see also@|@>@
@singular@|@(s)@
@somebody@|@SB@
@something@|@ST@
@Southcentral Sahkalin dialect@|@(ain-NC)@
@Southern Hokkaidô dialect@|@(ain-CS)@
@Southern Kuril dialect [extinc (ain-ES)@|@(ain-ES)@
@Southern Sakhalin dialect@|@(ain-NS)@
@Southwestern Hokkaidô dialect@|@(ain-CW)@
@suffix@|@(sf)@
@verb: intransitive@|@(vi)@
@verb: transitive@|@(vt)@
@vocative@|@(voc)@
@// Dictionary //@|@// Dictionary //@
@[affirmative indicator of yes/nya. (pc)¹@|@ya. (pc)¹@
@[affirmative]@|@na (pc)@
@[animate indicator]@|@kuru (n)²@
@[answer expectation]@|@ani (pc)¹@
@[answer expectation]@|@hani (pc)@
@[command]@|@hani (pc)@
@[command]@|@ani (pc)¹@
@[conclusive]@|@na (pc)@
@[diminutive]@|@po (sf)(pc)@
@[exclamation of surprise]@|@wak (adv)@
@[frequency]@|@tu (pc)@
@[gerund maker]@|@kor (pc)@
@[imparative]@|@hani (pc)@
@[imparative]@|@ani (pc)¹@
@[imperative]@|@yan. (pc)(p)@
@[imperative]@|@ro (n)@
@[imperative][rare]@|@yan. (pc)(s)@
@[intensifier]@|@ram (pc)@
@[interrogative]@|@he (pc)@
@[male title of respect]@|@ekasi (n)@
@[negative former]@|@sak (adj)@
@[negative former]@|@sakno (adv)@
@[nominalizer]@|@pe (sf)@
@[nominalizer]@|@p (sf)@
@[ongoing action indicator]@|@sir (pc)@
@[OY60-159]?????/@|@ape-eynu@
@[past time indicator]@|@ap (pc)@
@[plural]@|@tu (sf)@
@[question indicator]@|@ya? (pc)²@
@[reflexive]@|@yay (pr)(pf)@
@[request]@|@ani (pc)¹@
@[request]@|@hani (pc)@
@[severity]@|@tu (pc)@
@[sincerity]@|@tu (pc)@
@[softener]@|@ani (pc)¹@
@[softener]@|@po (pc)@
@[softener]@|@hani (pc)@
@< (Ja) goza: mat@|@kosa (n)²@
@< (Ja) hitsuji: sheep@|@hicuci (n)@
@< (Ja) mame: bean@|@mame (n)@
@< (Ja) mana-ita: cutting board@|@manayta (n)@
@< (Ja) mi: winnow@|@muy (n)³@
@< (Ja) pan: bread@|@pan (n)¹@
@< (Ja) sake: rice beer@|@sake (n)@
@< (Ja) same: shark@|@same (n)@
@< (Ja) tabako: tobacco@|@tampako (n)@
@< (Ja) tama: ball@|@tama (n)@
@< (Ja) tane: seed@|@tane (n)@
@< (Ja) teppô: hand gun@|@teppo (n)@
@< (Ja) tuchi: mall@|@tuci (n)@
@< (Ja) uma: horse@|@umma (n)@
@< (Ja) yûbin: mail@|@yupin (n)@
@< (Zh) Cha: tea@|@ca (n)º@
@< a (X) + oka (vi)@|@aoka (pr2)@
@< a (X) + okay (vi)@|@aokay (pr2)@
@< aciw (vt) + cikap (n)¹@|@aciw-cikap (n)@
@< ape-etumpe (n)@|@apetumpe (n)@
@< ape-huci-kamuy (n)@|@ape-huci (n)@
@< ape-huci-kamuy (n)@|@ape-kamuy (n)@
@< ape-kamuy (n) + turihi (n)(g)ape-kamuy-turihi (n)@|@ape-kamuy-turihi (n)@
@< ape (n)² + etok (n)@|@ape-etok (n)@
@< ape (n)² + etun (vt) + pe (sfape-etumpe (n)@|@ape-etumpe (n)@
@< ape (n)² + huci (n)² + kamuy ape-huci-kamuy (n)@|@ape-huci-kamuy (n)@
@< ape (n)² + nuy (n)@|@ape-nuy (n)@
@< attus (n) + karape (n)@|@attus-karape (n)@
@< cep (n) + kap (n)@|@cepkap (n)@
@< cep (n) + motot (n)@|@cep-motot (n)@
@< cep (n) + po (sf)(pc)@|@ceppo (n)@
@< cepkap (n) + hos (n)@|@cepkap-hos (n)@
@< ermu (n) + koyki (vt)@|@ermu-koyki (n)@
@< etu (n) + puy (n)²@|@etu-puy (n)@
@< humpe (n) + etor (n)@|@humpe-etor (n)@
@< humpe (n) + ki (n)¹@|@humpe-ki (n)@
@< kamuy (n) + hum (n)@|@kamuy-hum (n)@
@< kap (n) + kar (vt)@|@kapkar (vt)@
@< moma (n) + ni (n)@|@moma-ni (n)@
@< retar (adj) + cir (n)¹@|@retatcir (n)@
@< ror (n) + un (n)@|@rorun (n)@
@< rorun (n) + inumpe (n)@|@rorun-inumpe (n)@
@< sat (adj) + cep (n)@|@sat-cep (n)@
@< sayo (n) + sû (n)@|@sayo-sû (n)@
@< sesek (x) + maw (n)@|@sesek-maw (n)²@
@< sesek (x) + maw (n)@|@sesek-maw (n)¹@
@< sir (n)³ + pirka (adj)@|@sir-pirka (n)@
@< sir (n)³ + popke (n)@|@sir-popke (n)@
@< su (n) + at (n)@|@su-at (n)@
@< tan (pr) + pa (n)¹@|@tampa (adv)@
@< tan (pr) + pa (n)¹@|@tanpa (adv)@
@< tan (pr) + to (n)²@|@tanto (adv)@
@< ya (n)¹ + peka (adv)¹@|@ya-peka (adv)@
@< ya (n)² + atte (vt)² + p (sf)yattep (n)@|@yattep (n)@
@< ya (n)² + oske (vi)@|@ya-oske (vi)@
@< yam-wakka (n)@|@yammakka (n)@
@< yuk (n) + ranke (vt) + kamuy yuk-ranke-kamuy (n)@|@yuk-ranke-kamuy (n)@
@< yup (n) + po (sf)(pc)@|@yuppo (n)@
@< yupke (adj) + itak (n)@|@yupke-itak (n)@
