@English@|@Albanian@
@Author name@|@Emiliano Jonuzi@
@Font@|@Arial\12\Arial\12@
@a few@|@ca, disa@
@a little@|@një çikë@
@a long time along@|@gjatë@
@abandon@|@lë@
@abandonment@|@braktisje@
@abbey@|@kishë@
@abbreviation@|@shkurtim@
@ability@|@aftësi, prirje@
@able@|@zoti (i)@
@abolish@|@anulloj@
@about@|@nja, për@
@above@|@sipër@
@abroad@|@jashtë vendit@
@absorb@|@thith@
@accent@|@theks@
@accept@|@pranoj@
@accompaniment@|@shoqërim@
@accompany@|@përcjell, shoqëroj@
@accomplish@|@kryej@
@according@|@duke marrë parasysh, sipas@
@according to@|@sipas@
@account@|@llogari@
@accross@|@nëpërmes@
@accursed@|@mallkuar (i)@
@ache@|@më dhemb@
@achievement@|@arritje@
@acorn@|@gogël@
@act@|@bëmë, loz, luaj, vepër@
@action@|@veprim@
@add@|@shtoj@
@adjacent@|@afërt (i)@
@adjective@|@mbiemër@
@adjust@|@përshtat@
@admire@|@admiroj@
@admit@|@lejoj@
@adopt@|@përshtat@
@adult@|@rritur (i)@
@adversity@|@bela@
@advertisment@|@reklamë@
@advise@|@këshilloj@
@advocate@|@avokat@
@after@|@mbas, pas@
@after a while@|@pas pak@
@after all@|@fundja@
@afterwards@|@pastaj@
@aftësi@|@ability@
@again@|@përsëri, prapë, sërisht@
@against@|@kundër@
@aged@|@moshuar (i)@
@agricultural@|@bujqësor@
@ahead@|@përballë@
@air@|@ajros@
@airport@|@aeroport@
@alarm@|@kushtrim@
@alas@|@medet@
@Albanian@|@shqiptar@
@albanologist@|@albanolog@
@alike@|@të ngjashme@
@alive@|@gjallë (i)@
@all@|@të gjitha, të gjithë@
@all around@|@rreth e rrotull@
@alleviated@|@lehtësuar (i)@
@allowance@|@bursë@
@almost@|@pothuajse@
@alone@|@vetëm, vetëm (i)@
@along@|@buzë@
@alpine@|@alpin@
@already@|@pothuajse, tashmë@
@also@|@gjithashtu@
@although@|@ndonëse@
@always@|@kudoherë@
@American@|@amerikan@
@amidst@|@midis@
@among@|@midis, ndër@
@amphitheatre@|@amfiteatër@
@amuse oneself@|@argëtohem@
@ancient@|@hershëm (i), lashtë (i)@
@and@|@dhe, edhe@
@and so@|@prandaj@
@anew@|@sërisht@
@angle@|@cep@
@animal@|@kafshë@
@animate being@|@frymor@
@announce@|@lajmëroj@
@anonym@|@anonim@
@answer@|@përgjigjem@
@ant@|@milingonë@
@antique@|@antik@
@antiquity@|@antikitet@
@any@|@ndonjë@
@any time@|@kudoherë@
@apartament@|@apartament@
@apls@|@alpe@
@apocalypse@|@kiamet@
@appeal@|@thirrje@
@applaud@|@brohoras@
@apple@|@mollë@
@application@|@zbatim@
@apply@|@zbatoj@
@appreciate@|@çmoj@
@approach@|@afrohem, qasem, qasje@
@approve@|@aprovoj@
@April@|@prill@
@apron@|@mësallë@
@apt@|@goditur (i)@
@Arabian@|@arab@
@archaeological@|@arkeologjik@
@archer@|@harkëtar@
@architectural@|@arkitekturor@
@architecture@|@arkitekturë@
@area@|@sipërfaqe@
@arena@|@arenë@
@argiculture@|@bujqësi@
@arm@|@krah@
@armchair@|@kolltuk@
@armpit@|@sqetull@
@aroma@|@aromë@
@around@|@përreth, rreth e rrotull, rrotull@
@arrive@|@arrij@
@art@|@art@
@artisan@|@artizan@
@artistic@|@artistik@
@artist's brush@|@penel@
@artizan@|@zejtar@
@as@|@ashtu si, sa, si@
@as far as@|@deri në@
@as long@|@sa@
@as long as@|@derisa@
@as much@|@sa@
@as soon as@|@sapo@
@as soon as possible@|@një orë e më parë@
@as well@|@si (e)dhe@
@ashe@|@hiri@
@ask@|@pyes@
@asleep@|@fjetur (i)@
@aspectual@|@aspektiv@
@ass@|@bythë@
@assault@|@sulm@
@assemble@|@mblidhem@
@asshole@|@shkërdhatë@
@assure@|@siguroj@
@astonished@|@çuditur (i), habitur (i)@
@astonishment@|@habi@
@at@|@te/k@
@at least@|@të paktën@
@at once@|@menjëherë@
@at one time@|@dikur@
@attack@|@sulm@
@attempt@|@orvajtje, përpiqem, përpjekje@
@attend@|@kujdesem@
@attendent@|@shërbyes@
@attention@|@kujdes, vëmendje@
@attention!@|@vini re!@
@attitude@|@qasje@
