@English@|@Alsatian@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@1981@|@ninzeh hundert ein un àchtzig@
@1999@|@ninzeh hundert nieneninzisch@
@2 years ago@|@vor zwei johr@
@2000@|@zwei doizig@
@2001@|@zwei doisig ein@
@2002@|@zwei doisig zwei@
@a dozen@|@dudzent@
@a half@|@häleft@
@a pair@|@paar@
@a percent@|@prozent@
@a third@|@dréttel@
@accordion@|@knètch@
@acorn@|@Eichel@
@affected of@|@hambfele@
@after june@|@zetter jüni@
@afternoon@|@noochmiddàà@
@again@|@noch@
@all@|@àlles@
@already@|@schùnn@
@Alsatian@|@elsässich@
@Alsatian (the language)@|@elsässich@
@amusing@|@witzig, witzig@
@anchor@|@Ãnker@
@angel@|@Engel@
@ant@|@Ãmeis@
@anvil@|@Ãmbos@
@apricot@|@Ãbrikos@
@april@|@april@
@apron@|@ferdi@
@archipel@|@gerabeldfol@
@artichoke@|@Artischo@
@as@|@aù@
@asparagus@|@Spãrichel@
@at home@|@d'heim@
@at the end of march@|@endz märz@
@at what time@|@ùm well zitt@
@attic@|@bhen, kâscht@
@august@|@augscht@
@aunt@|@dànte@
@awake@|@mùnter@
@ax@|@äx@
@baby@|@Bubbele@
@baby carriage@|@Kinderkütsch, küdsch@
@bad girl@|@zéweles, zudele@
@bad topic@|@gridzkimme@
@bag@|@Sãck@
@baker@|@beck, deigaff@
@bakery@|@Beckerej@
@balance@|@Wööj@
@bald@|@blùttkopf@
@ballet@|@bàlle@
@banana@|@Banaan@
@bar@|@baïz@
@barley@|@Gëërscht@
@barn@|@schier@
@barrel@|@Fãss@
@barrow@|@schalkarisch@
@basket@|@Korb@
@beach@|@Strãnd@
@bear@|@bär@
@bears@|@d' Bäre@
@beautiful@|@schen@
@beautiful girl@|@gfedztbibel@
@beauty@|@schen@
@bee@|@Imm@
@beer@|@bier@
@beet@|@Rotrãhn@
@beets@|@dérlebse@
@beets with sugar@|@zuckerle@
@before january@|@ahnfàgs jänner@
@bell-tower@|@Kirichdurm@
@best@|@ãm beschte@
@better@|@besser@
@bicycle@|@velo@
@big@|@gros@
@birthday@|@geburtzdàà@
@bissextile@|@wèckseljohr@
@blue@|@blöj@
@boar@|@Wildsöj@
@boat@|@Schiff, Schiffele@
@boiled@|@bèbb@
@book@|@Bööch@
@brash@|@frechdâgs@
@brat@|@lüser@
@bread@|@brot, sübredel@
@briefs@|@Unterhessle@
@broom@|@Ginschter@
@brother@|@brueder, brüeder@
@brothers and sisters@|@g'schwischter@
@brush@|@Birscht, kérwéch@
