@English@|@Arabic (romanized)@
@Author name@|@Tercüman / Ken Chase@
@Font@|@Arial\12\Arial\12@
@"dh"@|@"dh"@
@(+jussive) did not@|@lam@
@(+subjunctive) will not@|@lan@
@(edible) oil@|@zayt (zuyūt)@
@(field of) knowledge@|@ma?rifa (ma?ārif)@
@(in reply to "bless you")@|@3alâ qalbak!@
@(one) month@|@shahr@
@(past particle)@|@qad@
@(question particle)@|@’a, hal@
@(yes)it is so.@|@ajal@
@20 years.@|@3ishrîn sana.@
@a few@|@biD?@
@a number (of)@|@?idda@
@a short time ago@|@qabla qalîl@
@a topic for discussion@|@mawDhu3 lil munâqasha@
@about@|@?an, Hawālā, Hawla, naHwa@
@above@|@fawq@
@absent@|@ghā’ib@
@accident@|@Hādith (Hawādith)@
@account@|@Hisāb (Hisābāt)@
@accurate@|@daqīq (diqāq)@
@across@|@?abr@
@active@|@nashīT@
@administration@|@’idāra@
@affair@|@’amr (’umūr)@
@Africa@|@’Ifrīqiyā@
@after@|@ba?d@
@again@|@marra ukhra@
@age@|@?umr (’a?mār)@
@agency@|@wikāla@
@agent@|@wakīl (wukalā’)@
@agriculture@|@zirā?a@
@air@|@hawā’, jaww (’ajwā’)@
@Algerian (person)@|@aljaza`irî@
@alive@|@Hayy (’aHyā’)@
@all@|@al-kull, jamī?, kull@
@almost@|@taqrīban@
@already@|@sâbiqan@
@also@|@’ayDan, aiDan, kamân@
@also transcribed with "7"@|@"H"@
@always@|@’abadan, abadan, dā’iman@
@american (person)@|@amrikiy@
@american literature@|@adab il-amrikî@
@among@|@bayna@
@amount@|@mablagh (mabāligh)@
@and@|@fa-, wa@
@animal@|@Hayawān (Hayawānāt)@
@annual@|@sanawī@
@another@|@ākhar (’ukhrā’)@
@antiquities@|@’athara (’āthār)@
@apostle@|@rasūl (rusul)@
@apple@|@tuffaH@
@apples@|@tuffāH@
@appointment@|@maw3id@
@approximately@|@Hawālā@
@Arab@|@?arab@
@arabic letters@|@hurûf il-3arabî@
@Are you on holiday?@|@Anta fil-3utla?@
@army@|@jaysh (juyūsh)@
@around@|@Hawla@
@artificial@|@Sinā?ī@
@artistic@|@fannī@
@as@|@ka-, kamā@
@as for@|@’ammā@
@as to@|@’ammā@
@as you wish.@|@kamâ turîd@
@aspirated "h" for "ha"@|@"H"@
@association@|@jam?īyya@
@at@|@?inda, ladā@
