@English@|@Archi@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@1st (masc.) class marker@|@u, w@
@2d class marker@|@d-, r@
@4th class marker@|@-d, -t, 0@
@a ball-shaped bush@|@qIweni@
@a cone-shaped basket@|@quši@
@a gulp@|@huqi@
@a k. of fancy bread@|@kurkuni@
@a k. of plant@|@pilw@
@a k. of umbelliferous plant@|@pil:w@
@a k. of weed@|@mesé@
@a k. of worm@|@l:él:u@
@above@|@jat@
@ad series@|@-r-@
@adjective and verbal@|@-mat@
@adjective substantivator sing.@|@-t:i-, -t:u-@
@all@|@marchi@
@ankle@|@cam-mul@
@ant@|@zimzi, zimzu@
@aorist@|@-a (monosyll.), -u (1t conj.)@
@apple@|@aInš@
@arc@|@gert:i@
@ashes@|@diqI@
@autumn@|@sot:-aqI@
@back@|@qoq, s:on@
@backbone@|@muš:ur@
@badger@|@baIršu@
@bald@|@chekw-@
@bark@|@paq:ut@
@barley@|@buq, maxa@
@be afraid@|@e=qIwin-@
@be defeated@|@o=q:Ia-@
@be scared@|@l:incha-@
@bead(s)@|@xan@
@beak@|@much@
@beam@|@x:at@
@beard@|@mochor@
@bed@|@mas@
@bed-bug@|@winisi@
@bee@|@tant@
@behind@|@xi-r@
@bellows@|@purš:ä-qat@
@belly@|@xIurxIu@
@below@|@qa-t:u@
@big@|@doIz@
@big basket@|@kot@
@big flat stone@|@qwan@
@big stone@|@xonx@
@bilberry@|@ok@
@bind@|@e=tin-@
@birch@|@mol:or@
@birth-mark@|@kwant@
@bite@|@=eq:a-, haInch bos@
@bitter@|@cegw-du-, qala@
@black@|@bex:Iet:ut@
@blood@|@bi@
@blue@|@naIL-du-@
@boar@|@boIl:@
@board@|@qul@
@bog@|@lamca@
@bone@|@lek:i@
@bottom@|@kan@
@brain@|@maj@
@breast@|@mam@
@breast meat@|@moxor@
@breath@|@hil@
@bridge@|@qIin@
@bridle@|@dul:ur@
@brother@|@ušdu@
@bull-calf@|@x:Iili@
@bundle@|@kwic@
@burdock@|@bisni@
@burn@|@kwa-s, ok:a-s@
@bury@|@e=la-@
@butter@|@inx@
@butterfly@|@cimicäla@
@cabin@|@pach@
@cake@|@gamgi@
@calf@|@biš@
@caraway@|@mušu@
@carrot@|@qur@
@cat@|@gatu@
@cauldron@|@kunkum@
@chaff@|@naxw@
@cheek@|@exI@
@clean@|@marc@
@clew@|@kwet@
@cliff@|@qwil@
@cloud@|@dilw@
@cold@|@xIe-t:ut@
@comitative@|@-l:u@
@conditional@|@-chiš, -nchiš@
@corner@|@mec:e@
