@English@|@Arin@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@20@|@kin-tüga, kin-tung, qin-thjung, qin-thjüng@
@30@|@tün-tüga@
@80@|@kina-manchau thüng@
@a k. of fish@|@len@
@alder@|@šujgin, šujgn@
@alive@|@átodu, etgeg, etgeg@
@Arin@|@ar, ara@
@arm@|@qínang@
@armour@|@jexat@
@army@|@kel@
@arrow@|@damóng, tim, timym@
@ashes@|@finang, finnang, phinang@
@autumn@|@kute@
@back@|@akop, kolpar, kólpar, qop@
@backwards@|@ogoš, tuk@
@badly@|@sel, selem@
@bat@|@dágo-úte@
@bear@|@kibä, kip, qip, xánki@
@beard@|@korólep, korürub, xlépuk@
@beaver@|@kurpäs@
@bed@|@qoskor, xatýs@
@belly@|@phorga@
@below@|@xamartu@
@belt@|@ittä@
@berry@|@pa, šulpä@
@big@|@xääse, xaese, xäese, xeem, xem@
@bird@|@išila-@
@bitch@|@pinbilšaba@
@blackly@|@tüma@
@bladder@|@leo-xóxar@
@blood@|@sur@
@blue@|@bis@
@boat@|@taj, tyg@
@boots@|@qísyng@
@bough@|@kéding jaxi@
@bow-string@|@kej-tu@
@boy@|@bi-kal, falla, phálla@
@breast@|@apijen, phiáng, tíke@
@brother@|@amagel, mamagil@
@bubble@|@ólau@
@burning coal@|@búchkete, kuburúng@
@calf@|@tugal tügal, tüja@
@campus@|@qabi, qiabi@
@cedar@|@im-phaj, py@
@cheek@|@byqolung, púnchol, púnzhol@
@cheeks@|@by-qolong, punchola@
@chicken@|@išila-kelä@
@child@|@kalqóna, xilúngla@
@chin@|@pinét, pinzhólan@
@circle@|@fylym@
@clay@|@tu, tubúrun, tuburung, tülpenem@
@clothes@|@kaj, qaj@
@cloud@|@esperang@
@cold@|@sólonga@
@coldly@|@šilt, šiltu, šiltü, solma@
@comb@|@ten@
@crane@|@kem@
@crookedly@|@kamaringa@
@cross-bow@|@kaj, koi, qoj@
@crow@|@karteja@
@crucian@|@sät@
@cunnus@|@ken, lat@
@darkly@|@bonosot-xomšümä, kónchidin@
@daughter@|@akelä, bikala@
@daughter-in-law@|@bonä@
@day@|@ha, ji, xanggachedin@
@dead@|@ínqo, ká-dongdu@
@death@|@inkoto@
@deer@|@sálat, sin@
@depth@|@fozbag@
@devil@|@lycy@
@dew@|@kurlo@
@directly@|@tedenga@
@dog@|@ílchap, ilchep@
@door@|@ejtol, éjtõl, elxan, élxan, itel@
@drink@|@tagorarco@
@dry@|@ich-kój-nga, qoija@
@duck@|@ban, pona, ponä, punä@
