@English@|@Aromanian@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@action@|@actsii@
@air@|@hãvae@
@albanian@|@arbineascâ, arbinescu@
@all@|@tut@
@an@|@un, unâ@
@and@|@iarâ, shi@
@angel@|@anghil@
@animal@|@prãvdã@
@ant@|@furnigã@
@apple@|@meare@
@arm@|@bratsã@
@aromanian@|@armân, armâneascâ, armâneashti, armânescu, armânji@
@Aromanian (language)@|@Armãneashce, Limba armãneascã@
@Aromanian (person)@|@(f.) Armãnã, (m.) Armãn@
@arrow@|@arthima@
@as@|@cum@
@ash@|@cinushe@
@ash(es)@|@cinushe@
@ask@|@ântribâ, ântribâm, ntribâ@
@at@|@la@
@august@|@avgustu@
@autumn@|@tomnã@
@axe@|@tsupatã@
@back@|@napoi@
@bad@|@arãu@
@barley@|@ariz@
@be able to@|@poati, pot, potsi@
@bear@|@ursã@
@beard@|@barbã@
@because@|@cã@
@bed@|@crivate@
@bee@|@alghinã@
@beer@|@birã@
@begining@|@aparnjitâ@
@belly@|@buric, foale@
@below@|@-njos, ânjos@
@big@|@mare@
@bird@|@pulju@
@black@|@lae, negru@
@blood@|@sãndzã, sândze, sãndze@
@blue@|@murnu@
@boat@|@pãmpore@
@body@|@corpu@
@bone@|@os@
@book@|@vivlie@
@boy@|@hilj@
@bread@|@pãne, pâni@
@breast@|@cheptu@
@bridge@|@punte@
@brother@|@frate@
@brown@|@cafiringhie@
@bull@|@giungu@
@burn@|@ardu@
@but@|@am@
@butterfly@|@fitur@
@by@|@la@
@Bye!@|@Ciao!@
@camel@|@yãmilã@
@candle@|@tser@
@carry@|@duc@
@cat@|@cãtushe@
@cheek@|@budzã@
@cheese@|@cash@
@cherry@|@cireashe@
@chestnut@|@câstânj@
@child@|@fumelj@
@chin@|@yrunj@
@church@|@bisearicâ@
@citizen@|@bânâtor@
@civil@|@tsivilâ, tsivilu@
@cloud@|@nior, nor@
@coal@|@cãrbune@
@coffee@|@cãfe@
@cold@|@aratse, frigã@
@come@|@yin, yinâ, yini, yinim, yinu@
@copper@|@halcumã@
@cotton@|@bumbac@
@country@|@tsarâ@
@cow@|@vacã@
@crow@|@gae@
@daughter@|@hilje@
@day@|@dzalê, dzuã@
@death@|@morte@
@desert@|@disertu@
@dictionary@|@dictsionar, dictsiunar@
@die@|@mor@
@dirty@|@murdar@
@Do you speak English?@|@Zburats anglicheashce?@
@dog@|@cãne@
@donkey@|@yumar@
@Don't touch me there!@|@Nu mi cartea aclo!@
@drop@|@chicutã@
@duck@|@patã@
@each@|@cafi@
