@English@|@Balkar@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@a half-year@|@chemich@
@a k. of grass@|@zegen@
@a k. of musical instrument@|@qobuz@
@a little@|@az@
@a mass of hair@|@jabahy, zabahy@
@abandon@|@qoj-@
@above@|@ohary, ör@
@acid@|@achy@
@Adam's apple@|@bohurdaq, boqqur@
@add to@|@taq-@
@additionally@|@dahy-da@
@age@|@zylqy, žylqy@
@air@|@xaua@
@alder@|@žerk@
@alive@|@tiri@
@all@|@bary@
@also@|@bla@
@ancient@|@eski@
@and@|@em@
@anger@|@öch, öpke@
@angle@|@müjüš@
@angry@|@qajyr@
@ankle joint@|@ašyq@
@ant@|@kümursxa, qumurchxa, qumursqa, qumursxa@
@apple@|@alma@
@area covered with stones@|@saj@
@arm@|@köl, qol@
@arrow@|@ok', oq@
@ash@|@kiul@
@ash tree@|@küjrüch, kürüch@
@ashes@|@kül@
@asp-tree@|@elme@
@aunt@|@aba@
@autumn@|@kiuz, küz@
@aware@|@saq@
@awl@|@miz@
@axe@|@balta@
@back@|@arqa, arqa, art, kire, syrt@
@bad@|@aman, osal, tas@
@badger@|@borsuq@
@bark@|@qabuq@
@barley@|@arpa@
@barren cow@|@qysyr@
@be satisfied@|@una-@
@beads@|@minchaq@
@bear@|@aiu@
@beard@|@sakal@
@become pale@|@ong-@
@bed@|@unguruk@
@bed-bug@|@qandahaj@
@bee@|@bal chibin@
@beer@|@sipa@
@beetle@|@qamažaq@
@belly@|@qaryn@
@bend@|@qyjsaj-@
@berry@|@žilek@
@big@|@mijik, ullu@
@big vessel@|@chapchaq@
@bird@|@kahatli, quš@
@black@|@qara@
@bladder@|@quwuq@
@blanket@|@juwurhan, žürhan, zuwurhan, žuwurhan@
@blessing@|@alhyš@
@block@|@tomuraw@
@blood@|@qan@
@blue@|@kök@
@boar@|@qaban@
@boat@|@kayik, keme@
@body@|@boj, zat@
@bogy@|@abachy@
@bone@|@süek, süjek@
@book@|@kitap@
@bosom@|@qojin@
@bow@|@žaja@
@brain@|@mije@
@branch@|@butaq@
@brave man@|@jigit, zigit@
@bread@|@ötmek@
@breast@|@kökürek, töš@
@bridge@|@këpür@
@bridle@|@jügen@
@brother@|@kapindaš@
@brown@|@mor@
@bull@|@buha@
@butterfly@|@gebehek, göbelekke@
@calf@|@buzow@
@calf of leg@|@baldyr, baltyr@
@camel@|@tüje@
@camping@|@qoš@
@camping-site@|@žurt@
@candle@|@jau chirak@
@cap@|@börk@
@caress@|@syjpa-@
@cat@|@kichtik@
@cattle@|@tuwar@
