@English@|@Balochi@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@a 2-anna piece@|@sháhí@
@a bag@|@barzí, loth, zik@
@a band of mares@|@galagh@
@a basket@|@khárí@
@a bee@|@Benagh-mahisk@
@a bell@|@tilú@
@a born idiot@|@Asulá gannokh@
@a branch of a tree@|@lar@
@a bride@|@naukh@
@a bridge@|@puhal@
@a bucket@|@dol@
@a bush@|@kontar, maivar, phatrík, phífal, phífal, phog, tauzh, tauzh, tholagh-kunar@
@a cairn erected in irony@|@dambul@
@a cap@|@top@
@a certain@|@pilan@
@a certain time@|@dání@
@a chaddar@|@phushtí@
@a cock's comb@|@táj@
@a colt@|@khuragh@
@a cook@|@borchi@
@a cousin@|@trí-zákht@
@a creeping plant@|@asindagh@
@a crowd@|@julgav@
@a cup@|@kadah@
@a debt.@|@badhal@
@a deer@|@ásk@
@a ditch@|@kháhí@
@a domed building@|@kubba@
@a drop@|@phurí@
@a dry skeleton@|@hushken@
@a dust-storm@|@othar@
@a fast@|@roshagh@
@a fawn@|@khaulú@
@a female camel@|@dáchí@
@a female kid@|@gísh@
@a fighter@|@miyokh@
@a fine@|@chatí@
@a firelock@|@troredár@
@a flock of birds@|@jahár@
@a flower@|@phul@
@a footman@|@piyádhagh@
@a forcible contribution@|@danphúr@
@a fort@|@thul@
@a fox@|@rofro@
@a garden@|@bágh@
@a gelding@|@gwáthagh@
@a goat given as wages@|@phogrí@
@a guide@|@chárí@
@a halt@|@otak@
@a heap of corn at harvest@|@jauhán@
@a hero@|@bahádhur@
@a hoe@|@bel@
@a hole@|@tong, tung@
@a hone@|@tezhaghí-khoh@
@a hook@|@kundí@
@a horse@|@markhav@
@a horsefly@|@Bíng-mahisk, Gu ránd@
@a houri@|@hír@
@a kiln@|@bhattí@
@a kind of fly@|@ásk-mahisk@
@a kind of grass@|@áf-drik, karkaní, karkaní, kulishk, mainar@
@a kind of partridge@|@sakatar@
@a kite@|@hil@
@a large bag@|@júl@
@a large hill torrent@|@khaur@
@a large lizard@|@goj@
@a law-case@|@shará@
@a leather bag for flour@|@aphan@
@a light cloud@|@istín@
@a line@|@líkh@
@a little@|@chiklo, náchíken@
@a little while@|@katre@
@a mattock@|@kudál@
@a measure of corn@|@ganjí, harwár, kása@
@a medal@|@jung-bilá@
@a melon@|@tezhagh@
@a message@|@paighám@
@a moth@|@patang, phurú@
@a mountain@|@phawád@
@a mountain pass@|@kandagh@
@a mountain peak@|@they@
@a negro@|@shídí@
@a nephew@|@birázákht@
@a pair@|@juft@
