@English@|@Bashkir@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@a bastard of a wolf and a dog@|@iger@
@a bridle detail@|@bujlyq@
@a dying plant@|@bujaq@
@a k. of berry@|@bördögen@
@a k. of falcon@|@har@
@a k. of fern@|@abaha@
@a k. of grass@|@jekän@
@a k. of musical instrument@|@qubyd@
@a k. of reed@|@quha@
@a k. of short coat@|@jelän, jelbägäj@
@a k. of small hawk@|@jahylbaj@
@a k. of upper clothes@|@säkmän@
@a little@|@ad, äd@
@a man's wife's younger sister@|@baldyd@
@a mass of hair or wool@|@jabahy@
@a pinch@|@semte-m@
@a promised bride@|@käläš@
@a river weed@|@saj@
@a young calf@|@tana-turpaq@
@abandon@|@quj-@
@abhor@|@jerän-@
@above@|@juhary, ür@
@acacia@|@qarahan@
@acid@|@asy@
@add to@|@taq-@
@advice@|@kängäš@
@after@|@hung@
@again@|@jänä, tahy@
@age@|@jylqy@
@alder@|@jerek@
@alive@|@tere@
@all@|@bary@
@also@|@-benen@
@an ending of the 2d person@|@-ng@
@ancient@|@iske@
@anger@|@üpkä, üs@
@angle@|@mügeš@
@animal trace on snow@|@sar@
@animal's hair@|@tök@
@ant@|@qymyrsqa@
@appointed time@|@tyna@
@apricot@|@ürük, ürük@
@area covered with stones@|@haj@
@arm@|@qul@
@arrow@|@uq@
@artery@|@tamyr@
@ash tree@|@qoros-ahas@
@ashes@|@köl@
@at first@|@täw@
@attack@|@tary-@
@attention@|@qont@
@aunt@|@apa@
@autumn@|@köd@
@aware@|@haq@
@awl@|@bed@
@axe@|@balta@
@back@|@arqa, art@
@back side of blade@|@šöjdä@
@bad@|@alama, jaman, jawyd-, jawyd-, usal@
@badger@|@burhyq@
@bag@|@jansyq@
@baked bread@|@äpäj@
@bald@|@tad@
@ball of wool@|@jomhaq@
@bandit@|@qaraq@
@bark@|@qabyq, qajry@
@barley@|@arpa@
@barren cow@|@qysyr@
@barren mare@|@qysyraq@
@bat@|@jar-hanat@
@be brought together@|@qawyš-@
@be confused@|@hataš-@
@be lazy@|@jašyq@
@be on one's way@|@jeber-@
@beads@|@munsaq@
@beard@|@hahaq, hangaq@
@beard of grain@|@qylhan@
@become pale@|@ung-@
@bed-bug@|@qandala@
@beetle@|@qungyd@
@before@|@boron@
@bell@|@qungyraw@
@bellows@|@kürek@
@belly@|@qaryn@
@bend@|@qajyr-, qyjšanda-@
@berry@|@jeläk@
@big@|@bejek, ölkän@
@big needle@|@tibän enä@
@big vessel@|@sapsaq@
@big wooden vessel@|@hamar@
