@English@|@Basque@
@Author name@|@Guy T. Gambill@
@Font@|@Arial\12\Arial\12@
@(conviction)@|@aitormen@
@(he/she) had (them)@|@zituen@
@(in) the bedroom@|@logela(n)@
@(to home)@|@extera@
@(Viscaya)@|@Bizkaia@
@(water) heater@|@berogailu@
@(who) was walking@|@zebilen@
@a blow@|@kolpe@
@a bout of fever@|@sukarraldi bat@
@a clasp@|@mako@
@a clothes horse@|@esekitoki@
@a criminal act@|@egintza kriminal@
@a criminal offense@|@delitu bat@
@a cry of anger@|@oihu@
@a cup of tea@|@katilu bat te@
@a free translation@|@itzulpen libre bat@
@a green Basque wine@|@txakoli@
@a hard drinker@|@edale amorratu bat@
@a hard life@|@bizimodu latz bat@
@a literal translation@|@hitzez hitzeko itzulpen@
@a little@|@pixka bat@
@a lucky number@|@zorioneko zenbaki bat@
@a man of distinction@|@ospe handiko gizona@
@a man of straw@|@lastozko gizon bat@
@a mark of respect@|@begirunezko keinua@
@a murder@|@hiltze@
@a myriad of thoughts@|@gogoeta ugari@
@a new design@|@modelo berri bat@
@a pair@|@pare bat@
@a piece of furniture@|@altzari bat@
@a piece of pottery@|@eltzeko bat@
@a protest (against something)@|@protesta egin@
@a swarm of mosquitoes@|@eltxo-mordo bat@
@a type of shirt@|@arkondara@
@a wink@|@keinada@
@a/the big mountain@|@mendi zabala@
@abandon ship!@|@hustu ontzia!@
@abbreviation@|@laburtze@
@abbreviations@|@laburpenak@
@abdomen@|@errai@
@ability@|@ahalmen@
@abroad@|@atzerri, kanpoan@
@absolute change@|@aldaketa absolutu@
@abyss@|@leize@
@academy@|@akademia@
@accident@|@istripu@
@accident insurance@|@istripurako aseguru@
@accompanying@|@(r)ekin@
@accord@|@akordio@
@account@|@kontu@
@account number@|@kontu-zenbaki@
@accountant@|@kontulari@
@accusative (gramm.)@|@akusatibo@
@accused@|@akusatu@
@ace@|@bateko@
@ache@|@min@
@acorn@|@ezkur@
@acquaintance@|@ezagun@
@acquisition@|@eskuratze@
@actor@|@aktore, komediante@
@acute triangle@|@triangelu zorrotz@
@addition sign@|@batuketa-ikur@
@additional@|@gainerako@
@address@|@helbide@
@adequate@|@egoki@
@adjective@|@adjektibo@
@adjustable pipe wrench@|@tutuentzako giltza zabalgarri@
@adjustable spanner@|@giltza zabalgarri@
@adjustable tap wrench@|@terrail etxe zabalgarri@
@adoration@|@adorasiño@
@adore@|@gurtu@
@adult game@|@joku@
@advantageous@|@hobe@
@adverb@|@adberbio, aditzondo@
@advocate@|@abokatu@
@aerogenerator@|@sorgailu eoliko@
@affection@|@maitasun, xaru@
@after@|@gero@
@afternoon@|@arratsalde@
@afterwards@|@gero@
@again@|@berriro@
@against@|@aurka, kontra@
@age@|@adin, kira@
@aggressive@|@eraso-kor@
@agreement@|@adostasun, akordio@
@air@|@aire, haize@
@air attack@|@aire-eraso@
@air currents@|@aire-korronteak@
@air force@|@aire-armada@
@air hammer@|@mailu pneumatiko@
@airplane@|@hegazkina@
@airport@|@aireportu@
@aisle@|@pasabide@
@alarm@|@alarma@
@Alava@|@Araba@
@album@|@album@
@alcove@|@txoko@
@algebra@|@algebra@
@alive@|@bizi, bizirik, bizkirk@
@all@|@gutzi, guzti, guztia, guztiak, oro@
@all alone@|@bakar-bakarrik@
@all but@|@ia@
@all hands@|@untziko guztiak@
@all her life@|@bere bizitza osoan@
@all of them@|@haiek guztiak@
@all out@|@ahalik eta gehien@
@all right@|@konforme, ongi, ongi da@
@all the better@|@hainbat hobe@
@all the time@|@denbora guztian@
@allegation@|@alegatu, alegazio@
@allen wrench@|@allen giltza@
@allergy@|@alergia@
@alloy@|@aleazio@
@ally@|@aliatu@
@almond tree@|@almendrondo@
@almost@|@la@
@alone@|@bakarrik@
@along with something@|@e-kin batera@
@alongside@|@-(r)en alboan@
@alphabet@|@alfabeto@
@already@|@dagoeneko, jadanik@
@also@|@baita...ere, ere@
@altar@|@aldare@
@altar boy@|@meza-laguntzaile@
@aluminum@|@aluminio@
@aluminum wire@|@aluminiozko hari@
@amber@|@anbar@
@amendement@|@zuzentze@
@amiable@|@atsegin@
@among@|@artean@
@ample@|@nahiko, zabal@
@amplifier@|@anplifikadore@
@amulet@|@kutun, zinginarri@
@an exquisite dish@|@ahogozagarri bat@
@an hours delay@|@ordubeteko atzerapena@
@an indistinct memory@|@oroimen nahasia@
@anatomy@|@anatomia@
@ancestor@|@as-aba@
@anchovy@|@antxoa, bokarta@
@ancient@|@antzinako@
@ancient customs@|@aspaldi-aspaldiko ohiturak@
@and@|@eta@
@angel shark@|@aingeru guardako arrunt@
@angelfish@|@aingeru guardako arrunt@
@angle@|@angelu@
@angry@|@petral@
@angular@|@zoko-tsu@
@animosity@|@gorroto@
@ankle@|@orkatila@
@anomaly@|@anomalia@
@another@|@beste@
@answer@|@erantzun@
@ant@|@inurri@
@anybody@|@edonor, inor@
@anyone@|@inor@
@apartment@|@pisu@
@apex@|@erpin, puntu@
@apparatus@|@aparatu, mekanismo@
@apple@|@sagar, sagarra@
@apple cider@|@sagarrardoa@
@apple tree@|@sagarrondo@
@appletree@|@sagarondoa@
@apricot@|@albarikoke@
@apricot tree@|@arbeletexeko-arbola@
@April@|@Apirila@
@apron@|@mantal@
@arc light@|@arku-argi@
@archaeology@|@arkeologia@
@archbishop@|@artzapezpiku@
@architecture@|@arkitektura@
@ardently@|@sukar-ki@
@area@|@eskualde@
@arid@|@siku@
@arm@|@beso@
@armchair@|@besaulkia@
@around@|@inguru, inguruan@
@around here@|@hemendik@
@arrest@|@atxilotze@
@arriving@|@irtetzen@
@arrow@|@gezi@
@art@|@erti@
@artery@|@arteria@
@artichoke@|@alkatxofa, orburu@
@artificial@|@artifizial@
@as@|@bai-, bezala@
@as a result@|@ondorioz@
@as an experiment@|@esperimentu bezala@
@as much as@|@aina, haina@
@as rumor has it@|@diotenez@
@as the crow flies@|@zuzen-zuzen@
@as things stand@|@gauzak diren bezala@
@asbestos@|@asbesto@
@ash@|@errauts@
@ash grove@|@lizardi@
@ashen@|@hauskara@
@ashes@|@errautsak, hauts@
@ashtray@|@hautsontzi@
@ash-tree@|@lizar@
@asleep (adverb)@|@lo@
@aspirin@|@aspirina@
@assault@|@kalteak eragin@
@assert@|@aldarrikatu, baietsi@
@assertion@|@alegazio@
@assignment@|@eginkizun@
@assistance@|@udaletxea@
@associate@|@kide@
@association@|@elkarte@
@astronomy@|@astronomia@
@at a 90 degree angle@|@90 graduko angeluan@
@at a snail's pace@|@barea baino motelago@
@at every turn@|@une oro@
@at first glance@|@begiratu batean@
@at first hand@|@ondotik@
@at one's own risk@|@bere ardurapean@
@at risk@|@arriskuan@
@at short notice@|@epe laburrean@
@at that very second@|@une hartantxe@
@at the end of the term@|@ikastaroa bukatzean@
@at the extreme end@|@buru-buruan@
@at the time@|@orduan@
@at the turn of the century@|@mendearen hasieran@
