@English@|@Blackfoot@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@american@|@innóísttoani@
@and then i will tell you@|@kitáakínai'tanisto@
@animal@|@kaawá'pomaahkaa@
@antelope@|@saokiawakaasi@
@apple@|@áípasstaamiinaamm@
@april@|@matsiyíkkapisaii'somm@
@are you afraid?@|@kitái'kó'pohpa?@
@arm@|@mo'tsis@
@arm pit@|@mo'ksís@
@armpit@|@mo'ksís@
@ashtray@|@iitáísapahtsimao'p@
@assiniboine@|@niitsísinaa@
@august@|@iitáyiitsimaahkao'p, pákkii'pistsi otsíai'tssp@
@aunt@|@iksísst@
@autumn@|@ákáó'kowa, mo'ko@
@awl@|@moksís@
@baby@|@issitsimaana, maanipokaa@
@baby rabbit@|@poká´aatisistaawa@
@bachelor@|@káta'yoohtsimi@
@back and forth@|@istsiaki@
@backbone@|@mo'kakín@
@backward@|@sskoo@
@bacon@|@áíksinóósakiksi@
@badger@|@siinaisski@
@bald eagle@|@ksikkihkíni@
@banana@|@iinán@
@bartender@|@áóttaki@
@bat@|@makápipi'kssi@
@bean@|@áótooksiinaattsi@
@beans@|@áótooksiinattsiistsi@
@berry@|@míín@
@bighorn sheep@|@miistáksoomahk ihkiaa@
@bird@|@pi'kssíí@
@bison@|@iiníí@
@black@|@sik, siksáápiikoan@
@black bear@|@sikohkiaayo@
@blackfoot@|@siksiká@
@blackfoot writing system@|@pikoni kayna siksika@
@bladder@|@moa'pahkis@
@Blood@|@Kainai@
@blood bandof blackfoot@|@káínaa@
@blood clot@|@katoyís@
@blue@|@ótssko@
@body@|@motstóm@
@bologna@|@omahkottsiimskaan@
@boy@|@saahkómaapi@
@braid@|@ippotsipistaan@
@breast@|@máókayis@
@breast bone@|@mo'kííkin@
@brother@|@niisistowahsin@
@brother-in-law@|@isstamo, ootoyoom@
@brown@|@sikotahko@
@brown bear@|@ootsimiohkiaayo@
@buffalo women's society@|@máóto'kiiksi@
@bullet@|@awákksoopan@
@buttock@|@mootóópis@
@cake@|@pisátsskiitaan@
@calf@|@mohkinán@
@candy@|@ohkomiaapiiníiwaan@
@cap@|@isttsomo'kaan@
@carpenter@|@áísátsaaki@
@cat@|@poos@
@cheek@|@mootstsipinnaan@
@cheese@|@iitsskonnikis@
@child@|@oko's@
@chin@|@mohpsskína@
@chipmonk@|@i'kayssi@
@chocolate@|@áópakíítsskii'p@
@coffee@|@niitá'paisiksikimi@
@cold@|@sstowa'pií@
@cook@|@ihkiitaa@
@corn@|@áóhpiikiinaatts@
@courthouse@|@iitáókakihtsimaan@
