@English@|@Bonan@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@1st Sg. ps. pronoun obl. case@|@näd-@
@above@|@de-Gong@
@afternoon@|@udu@
@agreement@|@ganžëng@
@all@|@hane@
@anger@|@hor@
@animals@|@žinžiGë@
@arm@|@xar@
@armpit@|@soxo@
@arrow@|@sëmong@
@ashes@|@homsong@
@awl@|@sebgu, sëbkë@
@bare@|@niskong@
@be heated@|@he-@
@be located@|@bei-, va-, vi-@
@beautiful@|@sexang@
@become cold@|@där-@
@below@|@doGong@
@belt@|@se@
@besom@|@sir, šire-@
@between@|@žabte@
@big span@|@te@
@black@|@xera@
@blind@|@soxor@
@blood@|@chisong@
@bone@|@jasong@
@breast@|@kugo@
@bucket@|@solGë, sulGe@
@buttocks@|@boGor@
@button@|@tobchi@
@chute@|@gëbi@
@clay@|@hbar, šbar@
@clean@|@arung@
@close@|@xä-@
@cloud@|@ölong, ulong@
@collect@|@Gorudë-@
@coral beads@|@sirë@
@cow@|@unang@
@crops@|@tarang@
@crosswise@|@guandëlang@
@cup@|@(a)jiGë@
@daughter@|@oken@
@daughter-in-law@|@vere@
@dawn@|@or@
@day@|@udër@
@deep@|@gung@
@descendant@|@fëre, fure@
@difficult@|@kunte, kuntë@
@direct@|@durë-@
@direction@|@soG@
@dissolve@|@šëngë-@
@donkey@|@nžige@
@door@|@ndang@
@ear@|@chixang, chixong@
@early@|@ete@
@earth@|@širo, siru@
@edge@|@nžor, užir@
@egg@|@ndegi@
@elbow@|@toxui@
@employ@|@žare-@
@end@|@sanchig, šienchix@
@enjoy@|@bese-@
@excrements@|@basong@
@eye@|@nedong@
@face@|@nor, nör, nur@
@family@|@kete, kute@
@far@|@Golo, xolo@
@fart@|@-song, hongGë-@
@fat@|@gum, šgum@
@father@|@äbe, abo@
@fathom@|@aldë@
@feather@|@hotong@
@few@|@chong@
@finger-nail@|@Gomsong@
@fire@|@xal@
@fish@|@žil(G)asong@
@fist@|@nëdërGa@
@flea@|@bërgë@
@floor@|@holër@
@fly@|@mësë-, mose-@
@food@|@badang@
@foot@|@kul, kuol@
@four@|@derang, derong@
@fragile@|@kurëg@
@friend@|@noker@
@front of cloth@|@ënggër@
@gall@|@selsong@
@glue@|@žulsë@
@good@|@sang@
@grass@|@vësong@
@grasshopper@|@žaGžaG@
@green@|@koge, kugo@
@guard@|@säGe-@
@hair@|@sung@
@hand@|@xar@
@hard@|@batë, xotong@
@hare@|@toli@
@he@|@noge@
@head@|@terong@
@headstall@|@loxtë@
@heart@|@žirge@
