@English@|@Bosnian@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@1:00@|@jedan sat@
@1:45@|@jedan i cxetrdesetpet, petnaest do dva@
@12:45@|@chetvrt do jedan@
@3:05@|@tri i pet@
@3:15@|@kvarat poslije tri, tri i petnaest@
@4:15@|@chetvrt poslije chetiri@
@6:10@|@šest i deset@
@7:13@|@sedam i trinaest@
@7:30@|@sedam i pol@
@a little@|@malo@
@a lot@|@puno@
@a teacher had a book@|@uchitelj je imao knjigu@
@about@|@o kome@
@acceptance@|@prihvatanje, usvajanje@
@accountant@|@knjigovod'a, rachunovo?a@
@again@|@iznova, još jednom@
@airport@|@aerodrom@
@alcohol@|@alkohol@
@all@|@all@
@almond@|@badem@
@almost@|@za malo@
@always@|@uvjek@
@am i right?@|@jesam li u pravu?@
@american@|@amerikanac, amerikanka@
@and@|@a, i@
@and we asked the teacher@|@i upitali smo uchitelja, i upitali smo uchitelje@
@apartment@|@stan@
@apple@|@jabuka@
@apricot@|@kajsija@
@april@|@april@
@arabic@|@arapski@
@are you hungry?@|@jeste li gladan?@
@arm chair@|@fotelja, stolica sa naslonom@
@arrival@|@dolazak@
@asparagus@|@špargla@
@At which side is the exit?@|@Sa koje strane je izlaz?@
@attic@|@potkrovlje@
@august@|@august@
@aunt@|@tetka@
@australia@|@australija@
@australian@|@australijanac, australijanka@
@austria@|@austrija@
@austrian@|@austrijanac, austrijanka@
@autumn@|@jesen@
@avenue@|@avenija@
@baby@|@djete@
@back stairs@|@sporedno stepenište@
@bacon@|@slanina@
@bad@|@losxe@
@balance@|@stanje rachuna@
@balcony@|@balkon@
@banana@|@banana@
@bank@|@banka@
@banknote@|@konvertibilna marka, novchanica@
@barrack@|@baraka@
@basement@|@temelj@
@bathroom@|@kupatilo@
@bay window@|@istureni prozor@
@bed@|@krevet@
@bed clothes@|@posteljina@
@bed sheet@|@charšaf@
@beef@|@govedina, govedinom@
@beefsteak@|@biftek@
@beer@|@pivo@
@beret@|@beretka@
@beverage@|@picye@
@bill@|@rachun@
@biology@|@biologija@
@bird@|@ptica@
@birthday@|@rodjendan@
@black@|@crn, crna, crno@
@blanket@|@deka, pokrivach@
@blouse@|@bluza@
@blue@|@plav, plava, plavo@
@book@|@knjiga@
@bottle@|@boca@
@boy@|@djechak@
@bra@|@broš@
@bracelet@|@narukvica@
@braces@|@tregeri@
@bread@|@hljeb, kruh@
@breakfast@|@dorucxak@
@bridge@|@most@
@british@|@britanac, britanka@
@brooch@|@broš@
@brother@|@brat@
@brown@|@smed, smeda, smedo@
