@English@|@Bourbonese@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@a good quantity@|@un bon peu@
@a lot@|@gros@
@a lot of@|@tout plein de@
@a medicine@|@un remède@
@a pork@|@un cochon, un habillé de soies, un lard, un siam@
@a short time@|@un rien de temps@
@a trousers@|@une culotte@
@about hundred@|@un cent@
@abundance@|@abonde@
@abundantly@|@en veux-tu en voilà@
@acorn@|@aillond@
@again@|@inquère@
@agile@|@habile@
@alfalfa@|@luzarne@
@alley@|@rouetton@
@amiss@|@de gingouin@
@animal@|@animau@
@ant@|@maze@
@apple@|@poume@
@as@|@coume@
@ash@|@fragne@
@ass@|@troufignon@
@at@|@cheu, vé@
@attic@|@gueurnier@
@axe@|@cougne@
@ball@|@gobille@
@barrow@|@barouette@
@be in the middle of the path@|@être au milieu de la carrée@
@beautiful@|@gente@
@bee@|@mouche à miel@
@beef@|@boeu@
@beet@|@blette@
@between@|@entrmi@
@big and neglected woman@|@poufiasse@
@big bag@|@bauge@
@big ball@|@boulet@
@big blouse@|@biaude@
@big cat@|@maraud@
@big distance@|@tirée@
@big grain of sand@|@gravelle@
@big piece of a food@|@tarigot@
@big storm@|@orisse@
@billbook to long sleeve@|@gouyard@
@billion@|@millard@
@bird@|@osiau@
@bitch@|@chine@
@blow@|@bouffer@
@bone@|@ausse@
@born@|@naissu@
@bouquet@|@bouquiet@
@boxtree@|@rameau@
@boy@|@gars@
@boyfriend@|@bon ami@
@bramble@|@éronce@
@brat@|@garitou@
@bucket@|@siau@
@bud@|@bourre@
@bush@|@bouchure@
@but more serious@|@catole@
@buzzard@|@beuse@
@cake@|@freta@
@cap@|@bounet@
@case@|@croffe@
@castle@|@châtiau@
@catnap@|@pregnière@
@chair@|@selle@
@child@|@chtit, chtite@
@cider@|@citre@
@clock@|@reloge@
@clothes@|@beseugnes@
@coif@|@coueffe@
@collapsed@|@ébouellé@
@complicated@|@tortin@
@complication@|@emmanche@
@cost@|@coutance@
@cough fat@|@crailler@
@crazy@|@brelaud@
@cricket@|@grelet@
@crust of bread@|@crognon@
@delicious@|@bon de la vie@
@deposit@|@erres@
@diaper@|@bourrasse@
@diarrhea@|@drille@
@disagreeable remark@|@fion@
@dispute@|@baraille@
@district@|@taillon@
@dog@|@chin@
@doll@|@catin@
@domain@|@doumaine@
@donkey@|@bourri@
@dresses of night@|@penêts@
@drover@|@bouyer@
@dwarf@|@nine@
@earth@|@tarre@
@egg@|@oeu@
@embarrassed@|@embrené@
@enclosure@|@ouche@
@enough@|@prou@
@every time@|@à tout coup@
