@English@|@Brazilian Portuguese@
@Author name@|@Alexis B. Lemos@
@Font@|@Arial\12\Arial\12@
@1st@|@1°/1ª@
@2nd@|@2°/2ª@
@3rd@|@3º/3ª@
@4th@|@4º/4ª@
@a@|@cada, por, um (uma)@
@A@|@lá (nota musical)@
@a bad lot (AUS)@|@pessoa má, pessoa nefasta (gíria)@
@a bit of@|@algo de, um pouco de@
@a bunch of grapes@|@um cacho de uvas@
@a cappella@|@a cappella, sem acompanhamento musical@
@a Chinaman's chance@|@sem chance alguma@
@a close shave@|@por pouco, por um triz@
@a cove or little bay@|@angra@
@a cuckold man/woman@|@chifrudo(a)@
@a dead certainty@|@certeza absoluta@
@a disaster@|@cagada (vulgar), um desastre@
@a double barrelled gun@|@uma arma com dois canos@
@a failure@|@cagada (vulgar), um fracasso@
@a female parakeet@|@periquita@
@a fit of cold@|@calafrio@
@A flat@|@lá bemol@
@a foregone conclusion@|@uma conclusão inevitável@
@a funk music lover@|@funqueiro (gíria)@
@a girl having big buttocks@|@popozuda@
@a going concern@|@empresa em funcionamento, uma empresa em ação@
@a good deal@|@muito, uma boa quantidade@
@a good innings@|@uma vida longa@
@a good many@|@bastante, muitos, uma boa quantidade@
@a great deal@|@uma grande quantidade@
@a half@|@um meio (1/2)@
@a hefty fine@|@uma multa substancial@
@a high opinion@|@uma opinião positiva, uma ótima opinião@
@a hundred@|@cem@
@a hundred per cent@|@cem por cento@
@a la carte@|@a la carte@
@a little@|@um pouco@
@a little bit@|@um pouco@
@a little more@|@um pouco mais@
@a long time ago@|@há muito tempo@
@a lost case@|@uma causa perdida@
@a lot@|@pacas (gíria), um monte@
@a lousy soccer player@|@perna-de-pau@
@a lump in the throat@|@um nó na garganta@
@A major@|@lá maior@
@a man of parts@|@um homem talentoso@
@a matter of course@|@algo óbvio, algo que já é rotina@
@a matter of opinion@|@uma questão de opinião@
@a million@|@um milhão@
@A minor@|@lá menor@
@a native of Rio de Janeiro city in Brazil@|@carioca@
@a New York minute@|@num instante@
@a nobody@|@nulidade@
@a one@|@de primeira, ótimo@
@a pair of pincers@|@tenaz@
@a pat of butter@|@um tablete de manteiga@
@a person of consequence@|@uma pessoa importante@
@a pop@|@cada, por cabeça@
@a posteriori@|@depois do acontecido@
@a pretty kettle of fish@|@uma bela confusão@
@a priori@|@a priori, desde o começo, sabido com antecedência@
@a problematical person (Brazil-NE)@|@nó cego@
@A Programming Language (APL)@|@APL (linguagem de programação)@
@a quarter@|@um quarto@
@a remote place@|@casa do caralho (vulgar), um lugar distante@
@a request for information@|@um pedido de informação@
@a roar@|@bramido@
@a round number@|@um número arredondado@
@a scoop of ice cream@|@uma bola de sorvete@
@a sexy woman@|@boazuda (coloquial)@
@A sharp@|@lá sustenido@
@a square meal@|@uma refeição substancial@
@a striking piece of evidence@|@uma prova irrefutável@
@a suit of clothes@|@terno@
@a third@|@um terço (1/3)@
@a thousand@|@mil@
@a tight corner@|@uma situação difícil@
@a tiny bit@|@um pouquinho@
@a very hard-working student@|@cê-dê-efe (cu-de-ferro)@
@a vote of confidence@|@um voto de confiança@
@a whit@|@um nadinha, uma pitada@
@a wild goose chase@|@perseguição ao impossível@
@a wise person@|@sábio@
@a work of art@|@um trabalho artístico, uma obra de arte@
@A.A.R. (against all risks)@|@contra todos os riscos@
@a.k.a. (also known as)@|@também conhecido por@
@a.m. (ante meridien)@|@antes do meio-dia@
@A/C (account)@|@C/C (conta corrente)@
@A/D (after date)@|@após a data@
@A-1 (first class)@|@primeira classe@
@aardvark@|@aardvark (Orycteropus afer)@
@abaci@|@ábacos@
@aback@|@contrário (vento), de surpresa@
@abacus@|@ábaco@
@abalone@|@molusco do gênero Heliotis@
@abandon@|@renúncia@
@abandoned@|@abandonado, deserto (vazio)@
@abandonment@|@abandono@
@abased@|@abatido, humilhado, rebaixado@
@abashed@|@encafifado@
@abasing@|@degradante, humilhante@
@abatement@|@baixa@
@abatis@|@abatis (tipo de obstáculo)@
@abattoir@|@abatedouro, matadouro@
@abbacy@|@abadia@
@abbess@|@abadessa, madre superiora@
@abbey@|@abadia, mosteiro@
@abbot@|@abade@
@abbreviation@|@abreviação, abreviatura@
@abdication@|@abdicação@
@abdomen@|@abdômen, ventre@
@abdominal@|@abdominal@
@abductee@|@abduzido(a)@
@abduction@|@abdução, rapto@
@abeam@|@pelo través (Náutica)@
@aberration@|@aberração@
@abetment@|@incitamento@
@abeyance@|@inatividade temporária, suspensão@
@abeyant@|@suspenso, temporariamente inativo@
@abhorrence@|@repulsa@
@abhorrent@|@abominável, detestável, repulsivo@
@abiding@|@eterno, perpétuo@
@ability@|@aptidão, capacidade, habilidade, talento@
@abject@|@abjeto@
@abjection@|@abjeção, degradação@
@ablative@|@ablativo@
@ablaze@|@brilhante, flamejante, inflamado (sexualmente)@
@able@|@capaz@
@able-bodied@|@fisicamente capaz, sadio@
@ablution@|@ablução@
@ably@|@competentemente, habilmente@
@abnegation@|@abnegação@
@abnormal@|@anormal@
@abnormality@|@anomalia, anormalidade@
@abnormally@|@de forma não usual, excepcionalmente@
@aboard@|@a bordo, lado a lado, na base (beisebol)@
@abolition@|@abolição@
@A-bomb@|@bomba-A, bomba atômica@
@abominable@|@abominável, execrável@
@abomination@|@abominação, repulsa@
@aboriginal@|@aborígene@
@aborigine@|@aborígine@
@abortion@|@aborto@
@abortion pill@|@pílula abortiva, pílula do dia seguinte@
@abortive@|@abortado, malogrado@
@about@|@a ponto de, aproximadamente, cerca, sobre@
@about face !@|@meia-volta volver !@
@about-face@|@meia-volta, mudança de atitude, reversão@
@aboutness@|@acerca-de@
@above@|@acima@
@above all@|@acima de tudo, antes de mais nada, sobretudo@
@above mentioned@|@supra-citado@
@ABR (Available Bit Rate)@|@ABR (Taxa de Bit Disponível)@
@abracadabra@|@abracadabra@
@abrasion@|@abrasão, esfoladura@
@abrasive@|@abrasivo, lixa, mordaz@
@abreast@|@lado a lado@
@abrupt@|@abrupto, íngreme, repentino, súbito@
@abscess@|@abcesso@
@absent@|@ausente, desaparecido, inexistente@
@absentee@|@ausente (pessoa)@
@absenteeism@|@absenteísmo@
@absent-minded@|@distraído@
@absent-mindedness@|@distração@
@absolute@|@absoluto, completo, pleno@
@absolute assignment@|@cessão absoluta@
@absolutely@|@absolutamente@
@absolution@|@absolvição@
@absolutism@|@absolutismo@
@absorbed@|@absorto@
@absorbent@|@absorvente@
@absorbing@|@cativante, interessante@
@absorption@|@absorção@
@abstemious@|@abstêmio, sóbrio@
@abstention@|@abstenção, abstinência@
@abstract@|@abstrato, resumo, sinopse@
@abstract thought@|@raciocínio abstrato@
@abstraction@|@abstração, generalização, pintura abstrata@
@absurd@|@absurdo@
@abundance@|@abundância, fartura@
@abundant@|@abundante@
@abuse@|@abuso, injúria, insulto@
@abusive@|@abusivo, ofensivo, ultrajante@
@abysm@|@abismo@
@abysmal@|@abismal, abissal@
@abyss@|@abismo@
@AC (Alternating Current)@|@corrente alternada@
@academic@|@acadêmico@
@academy@|@academia@
@Acc. (acceptance)@|@aceite@
@accelerated@|@acelerado@
@accelerated benefits@|@benefícios acelerados@
@accelerated death benefit@|@benefício acelerado por morte@
@accelerated testing@|@ensaio acelerado@
@acceleration@|@aceleração@
@acceleration clause@|@cláusula de antecipação@
@accelerator@|@acelerador@
@accent@|@sotaque@
@accentuation@|@acentuação, ênfase@
@acceptable@|@aceitável@
@acceptance@|@aceitação, aceite@
@acceptance sampling@|@amostragem para aceitação@
@acceptor@|@aceitante@
@access@|@acesso, admissão, entrada@
@access point@|@ponto de acesso@
@access time@|@tempo de acesso@
@accessibility@|@acessibilidade@
@accessible@|@acessível@
@accession@|@aquisição, concordância@
@accessories@|@acessórios@
@accessory@|@acessório, cúmplice, suplemento@
@accident@|@azar, desastre@
@accident prevention@|@prevenção de acidentes@
@accidental@|@acidental, casual@
@accidental death benefit@|@benefício por morte acidental@
@accident-prone@|@propenso a acidentes@
@acclaim@|@aclamação, aplauso@
@acclamation@|@aclamação, aplauso@
@acclimation@|@aclimatação, adequação@
@accommodation@|@acomodação, ajustamento@
@accommodation endorsement@|@endosso de favor@
@accomodating@|@complacente, obsequioso@
@accomodation note@|@letra de câmbio, papagaio (gíria financeira)@
@accomplice@|@comparsa, cúmplice@
@accomplished@|@consumado, estabelecido, hábil, talentoso@
@accomplishment@|@habilidade, realização@
@accomplishment instructions@|@instruções de execução@
@accord@|@acordo, conformidade, harmonia@
@accordance@|@conformidade@
@accordant@|@conforme, em acordo, em harmonia@
@according@|@de acordo@
@according to@|@conforme@
@accordion@|@acordeon@
@account@|@conta, descrição, explicação, história, relato@
@account statement@|@extrato de conta@
@accountable@|@explicável, responsável@
@accountancy@|@ciência contábil, contabilidade (profissão)@
@accountant@|@contador@
@accounting@|@contabilidade (atividade)@
@accounts payable@|@contas a pagar@
@accreditation@|@credenciamento@
