@English@|@Budukh@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@1st (masc.) class marker@|@-0-@
@2d class marker@|@-r, -r-@
@3d sing. class marker@|@-b-, -w-@
@a diminutive suffix@|@-ng@
@a k. of fancy bread@|@kuk@
@a prohibitive particle@|@m-@
@a small thing@|@ketket@
@ache@|@tut-kar-@
@Adam's apple@|@qultuxum@
@anger@|@qele@
@aorist@|@-v@
@apple@|@jech@
@arm@|@kyl@
@ashes@|@räq@
@ass@|@lem@
@autumn wool@|@jiz@
@axe@|@jok@
@back@|@jiq-izh@
@barberry@|@cunu@
@barley@|@mux@
@basket for hay@|@kud@
@be frayed@|@a=ch-@
@bear@|@sor, xo=su@
@beard@|@mochor@
@bed-bug@|@šud, šut@
@belly@|@täpän@
@belt@|@qoltal@
@besom@|@mogul@
@big@|@bo'lu@
@bind@|@w-e=t?l-@
@birch@|@merx@
@bitch@|@käch@
@black@|@la'a@
@blood@|@ird@
@blue@|@coru@
@boar@|@wäk@
@bone@|@kerep@
@bottom@|@qan@
@bow-string@|@ruch@
@braid@|@fur@
@branch@|@cile@
@bread@|@fu@
@breast@|@mäm, maxar@
@breath@|@'al@
@bride@|@suz@
@broad leaf@|@xalat@
@brother@|@ši-d@
@bud@|@kuruk@
@burdock@|@peq@
@burn@|@'unku, s-ug-u@
@butter@|@harä-zh@
@calf@|@le', leh@
@cap@|@qemelchi@
@cat@|@gäch@
@chaff@|@nox@
@cheek@|@kutun@
@cheese@|@nusu@
@clay@|@luzu@
@cliff@|@qol@
@cloud@|@zhuf@
@cold@|@'atxa@
@conditional@|@-an, -iz, -nan@
@cornel@|@zhumäl@
@cornfield@|@nik@
@cow's dung@|@xid@
@cradle@|@qu-su@
@cubit@|@juq@
@cuckoo@|@gugut@
@dark@|@michi@
@dative@|@-z@
@daughter@|@riž@
@day@|@jygh@
@dem. pronoun@|@ad, al@
@demonstrative pronoun@|@ad@
@dog@|@xor@
@dream@|@neq-ir@
@dried carcass@|@q:ax@
@drop@|@tik@
@drum@|@daldam@
@dry@|@q:uru, sa'a@
@dry clay@|@kykäl@
@dry dung@|@put@
@dust@|@rug@
@ear@|@ibir@
@ear of corn@|@qyl@
@earth@|@noq@
@egg@|@kusxud@
@eight@|@myjä-d@
@elative@|@-r@
@empty@|@hechi@
@ergative@|@-r, -ra@
@essive@|@-a. -ä@
@eye@|@'ül@
@eye secretion@|@chuq@
@face@|@izhin@
@far@|@jix-ta@
@fat@|@ma'@
@feather@|@pisi@
@female@|@xydli@
@few@|@mike@
@finger@|@til@
