@English@|@Cantonese@
@Author name@|@Freelang@
@Font@|@Arial\12\Arial\12@
@a can@|@gwoon tau@
@a cold@|@seung fung@
@a copy@|@foo boon@
@a fly@|@woo ying@
@a packet(of cigarettes)@|@yat baau (yin jai)@
@a park@|@gung yuen@
@a piece@|@yat gin@
@able (to be)@|@hoh nang@
@aboard@|@sing daap@
@about@|@daai yeuk@
@above@|@seung min@
@accept@|@jip sau@
@account(bank)@|@woo hau@
@acrobatic@|@jaap gei@
@across@|@waang gwoh@
@actor@|@yin yuen@
@address@|@dei ji@
@admission fee@|@yap cheung fai@
@adult@|@daai yan@
@advantage@|@yau sai@
@advice@|@gin yi@
@aerogram@|@hong hung yau gaan@
@aeroplane@|@fei gei@
@afraid@|@pa@
@after@|@ji hau@
@afternoon@|@ngaan jau@
@again@|@joi chi@
@age@|@nin ling@
@agency@|@doi lei@
@agree@|@tung yi@
@agriculture@|@nung ngai@
@ahead@|@chin min@
@aid(help)@|@bong mong@
@AIDS@|@ngoi ji beng@
@air@|@hung hei@
@air-conditioned@|@hung tiu@
@airport@|@gei cheung@
@airport tax@|@gei cheung sui@
@alarm clock@|@naau jung@
@alcohol@|@jau jing@
@allergy@|@gwoh man@
@allow@|@jun hui@
@alone@|@daan duk@
@already@|@yi ging@
@always@|@ging seung@
@amateur@|@yip yue@
@amount@|@ngan ma@
@and@|@tung maai@
@angry@|@nàu@
@animals@|@dung mat@
@anniversary@|@jau nin gei nim@
@annoying@|@kwan yiu@
@annual@|@mooi nin@
@answer@|@wooi daap@
@antinuclear@|@faan hat@
@antiques@|@goo dung@
@antiseptic@|@siu duk@
@appetizer@|@chaan chin siu sik@
@appointment@|@yue yeuk@
@arm@|@sau bei@
@arrivals@|@do daat@
@art@|@ngai sut@
@art gallery@|@mei sut gwoon@
@arts@|@man ngai@
@ashtray@|@yin fooi gong@
@aspirin@|@a si pat ling@
@assault@|@mo yuk@
@asthma@|@haau chuen@
@atlas@|@dei to@
@ATM@|@ji dung tai foon gei@
@attention@|@jüe yï@
@automatic@|@ji dung@
@autumn@|@chau gwai@
@average@|@ping gwan@
@awful@|@hoh pa dik@
@baby@|@ying yi@
@baby food@|@ying yi sik ban@
@baby powder@|@ying yi song san fan@
@babysitter@|@bo mo@
@backpacker@|@booi nong haak@
@bad@|@m ho@
@bag@|@doi@
@baggage@|@hang lei@
@baggage claim@|@tai chui hang lei chue@
@bakery@|@min baau po@
@ball@|@boh@
@bamboo@|@juk@
@band@|@ngok dui@
@bandage@|@bang daai@
@bank@|@ngan hong@
@bar@|@jau ba@
@barber@|@fei faat po@
@basket@|@laam@
@bathroom@|@chung leung fong@
@battery@|@din chi@
@beach@|@sa taan@
@bear@|@hung@
@beautiful@|@leng@
@because@|@yan wai@
@bedroom@|@sui fong@
@beer@|@be jau@
@before@|@ji chin@
@beggar@|@hat yi@
@begin(to)@|@hoi chi@
@behind@|@hau bin@
@below@|@ha bin@
@beside@|@jak bin@
@best@|@jui ho@
@better@|@gang ho@
@between@|@ji gaan@
@bib@|@wai jui@
@bicycle@|@daan chè@
@big@|@dâai@
@bill@|@dàan@
@binoculars@|@mong yuen geng@
@bird@|@jeuk niu@
@birth certificate@|@chut sai ji@
@birthday@|@saang yat@
@bitter@|@foo@
@black@|@hak@
@black and white@|@hak baak@
@black market@|@hak si@
@blanket@|@jìn@
@bleed(to)@|@lau huet@
@bless you@|@juk nei@
@bless(to)@|@juk fuk@
@blind@|@maang@
@blood@|@huet@
@blue@|@laam sik@
@boarding pass@|@dang gei jing@
@boat@|@suen@
@body@|@san tai@
@bone@|@gwat@
@book@|@sue@
@booking@|@yue yuek@
@bookshop@|@sue dim@
@boot(shoes)@|@hèuh@
@bored@|@môon@
@boring@|@mo yan@
@borrow@|@je@
@boss@|@boh si@
@bottle opener@|@hoi ping hei@
@bottom@|@dái@
@bottoms up !@|@gon booi !@
@box@|@hap@
@boyfriend@|@naam pang yau@
@bra@|@hung wai@
@brake@|@saat che@
@brave@|@yung gam@
@bread@|@min baau@
@breakfast@|@jo chaan@
@breast@|@yue fong@
@breathe(to)@|@foo kap@
@bridghe@|@kiu@
@bright@|@gwong@
@bring(to)@|@ling@
@brother@|@hing dai@
@brown@|@fe sik@
@bruise@|@yue sèung@
@brush@|@chaat@
@Buddhism@|@fat gaau@
@budget@|@yue suen@
@bus (in China)@|@gung gung hei chè@
@bus stop@|@ba si jaam@
@bus terminal@|@ba si jung jaam@
@bus(in Hong Kong)@|@ba si@
@business@|@yip mo@
@business class@|@seung mo haal wai@
@business hour@|@ying yip si gaan@
@businessman@|@seung yan@
@busy@|@mong@
@but@|@bat gwoh@
@butter@|@ngau yaui@
@butterfly@|@woo dip@
@button@|@náu@
@buy@|@maai@
@cake@|@sai beng@
@calculator@|@gai so gei@
@calendar@|@yat lik@
@camelia@|@cha fa@
@camera@|@ying seung gei@
@can (to be able to)@|@hoh yo@
@can opener@|@gwoon tau do@
@cancel(to)@|@chui siu@
@candle@|@laap juk@
@cannot@|@m hoh yi@
@capital@|@sau do@
@car@|@che@
@car park@|@ting che cheung@
@card@|@kaat@
@careful !@|@yan jue !@
@carnival@|@ga nin wa@
@cash@|@yin gam@
@cashier@|@chut naap@
@cassette@|@ka sik luk yam daai@
@casual dress@|@bin jong@
@cat@|@maau@
@cathedral@|@daai gau tong@
@catholic@|@tin jue gaau@
@caves@|@dung yuet@
@CD@|@lui se dip@
@celebrate(to)@|@hing juk@
@certificate@|@jing sue@
@chair@|@dang@
@champagne@|@heung ban@
@chance@|@gei woo@
@change@|@woon@
@changing room@|@gang yi sat@
@cheap@|@peng@
@check-in@|@dang gei sau juk@
@check-out(hotel)@|@tui fong@
@chef@|@chue si@
@chemist@|@yuek jai si@
@cheque@|@ji piu@
@cherries@|@che lei ji@
@cherry blossom@|@ying fa@
@chess@|@kéi@
@chewing gum@|@heung hau gaau@
@children@|@sai lo goh@
@china@|@jung gwok@
@chocolate@|@jue goo lik@
@choose(to)@|@suen jaak@
@chopsticks@|@faai ji@
@christian@|@gei duk to@
@christmas@|@sing daan jit@
@chrysanthemum@|@guk fa@
@church@|@gaau tong, lai baai tong@
@cicada@|@sim@
@cigar@|@suet ga, süet gà@
@cigarette@|@yin jai@
@cinema@|@hei yuen@
@circus@|@ma hei@
@citizenship@|@gung man@
@city@|@sing si@
@city center@|@si jung sam@
@city centre[us]@|@si jung sam@
@clean@|@ching git@
@cleaning@|@da so@
@client@|@haak woo@
@cliff@|@yuen ngaai@
@cloakroom@|@yi mo gaan@
@clock@|@si jung@
@close@|@gwaan bai@
@clothing@|@yi fuk@
@cloudy@|@yam tin@
@coach(bus)@|@daai haak chè@
@coach(training)@|@gaau lin@
@coat@|@ngoi to@
@cocaine@|@hoh ka yan@
@cocktail party@|@g, gai mei jau wooi@
@cocoa@|@guk goo@
@coffee@|@ga fe@
@cold@|@dung@
@cold water@|@dung sui@
@cold(adj)@|@dung@
@collect call@|@dui fong foo foon@
@colour(color)@|@choi sik@
@comb@|@sòh@
@come(to)@|@loi@
@comedy@|@hei kek@
@comfortable@|@sue fuk@
@community@|@se kwan@
@company@|@gung si@
@compass@|@ji naam jam@
@computer@|@din no@
@concert@|@yam ngok wooi@
@condoms@|@bei yan to@
@confirm(to)@|@kok ying@
@congratulations !@|@gung hei !@
@conservative@|@bo sau@
@constipation@|@bin bei@
@consulate@|@ling si@
@contact lenses@|@yan ying ngaan geng@
@contraception@|@bei yan@
@contract@|@hap tung@
@cook(to)@|@júe@
@coolie@|@goo lei@
@coriander@|@yuen sai@
@corn@|@suk mai@
@cost(to)@|@fa fai@
@cotton@|@min@
