@English@|@Cebuano@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@10.000@|@dyes-myel, napulò ka libo@
@100.000@|@syen myel, syento-mil, usa ka gatos ka libo@
@101@|@syento-uno@
@102@|@syento-dos@
@103@|@syento-tres@
@104@|@syento-kwatro@
@105@|@syento-singko@
@106@|@syento-says@
@107@|@syento-syete@
@108@|@syento-otso@
@109@|@syento-nuybe@
@11.000@|@onse-myel@
@110@|@syento-dyes@
@111@|@syento-onse@
@112@|@syento-dose@
@113@|@syento-trese@
@114@|@syento-katorse@
@115@|@syento-kinse@
@116@|@syento-disisays@
@117@|@syento-disisyete@
@118@|@syento-disi-otso@
@119@|@syento-disinuybe@
@12.000@|@dose-myel@
@120@|@syento-baynte@
@13.000@|@trese-myel@
@14.000@|@katorse-myel@
@15.000@|@kinse-myel@
@16.000@|@disisays-myel@
@17.000@|@disisyete-myel@
@18.000@|@disi-otso-myel@
@19.000@|@disinuybe-myel@
@199@|@syento-nubenta-i-nuybe@
@2.000@|@dos-myel, duha ka libo@
@20.000@|@baynte-myel@
@200@|@dos-syentos, duha ka gatos@
@200.000@|@dos syentos myel, duha ka gatos ka libo@
@21@|@baynte-uno@
@22@|@baynte-dos@
@23@|@baynte-tres@
@24@|@baynte-kwatro@
@25@|@baynte-singko@
@26@|@baynte-says@
@27@|@baynte-syete@
@28@|@baynte-otso@
@29@|@baynte-nuybe@
@3.000@|@tres-myel, tulo ka libo@
@300@|@tres-syentos, tulo ka gatos@
@300.000@|@tres syentos myel, tulo ka gatos ka libo@
@31@|@traynta-i-uno@
@32@|@traynta-i-dos@
@33@|@traynta-i-tres@
@34@|@traynta-i-kwatro@
@35@|@traynta-i-singko@
@36@|@traynta-i-says@
@37@|@traynta-i-syete@
@38@|@traynta-i-otso@
@39@|@traynta-i-nuybe@
@4.000@|@kwatro-myel, upat ka libo@
@41@|@kwarenta-i-uno@
@42@|@kwarenta-i-dos@
@43@|@kwarenta-i-tres@
@44@|@kwarenta-i-kwatro@
@45@|@kwarenta-i-singko@
@46@|@kwarenta-i-says@
@47@|@kwarenta-i-syete@
@48@|@kwarenta-i-otso@
@49@|@kwarenta-i-nuybe@
@5.000@|@lima ka libo, singko-myel@
@500.000@|@lima ka gatos ka libo, singko-syento-mil, tunga sa milyon@
@51@|@singkwenta-i-uno@
@52@|@singkwenta-i-dos@
@53@|@singkwenta-i-tres@
@54@|@singkwenta-i-kwatro@
@55@|@singkwenta-i-singko@
@56@|@singkwenta-i-says@
@57@|@singkwenta-i-syete@
