@English@|@Cherokee (Aniyawiya)@
@Author name@|@Shawn Buchanan Greene@
@Font@|@Arial\12\Arial\12@
@0@|@wulosásdá uyádla@
@1@|@sakuu@
@1/2@|@ayeli iyá@
@10@|@sgohi@
@11@|@sadu@
@12@|@talidu@
@13@|@tsogadu@
@14@|@nigadu@
@15@|@sgigadu@
@16@|@daladu@
@17@|@galikuadu@
@18@|@neladu@
@19@|@sone-ladu@
@2@|@talli@
@20@|@talasgohi@
@3@|@tso-i@
@30@|@tsosgohi@
@4@|@ná-gi@
@40@|@nágisgohi@
@5@|@hi-sgi@
@50@|@hisgisgohi@
@6@|@sudali@
@60@|@sudalisgohi@
@7@|@galikuo-gi@
@70@|@galikuasgohi@
@8@|@tsune-la@
@80@|@nelasgohi@
@9@|@sone-la@
@90@|@sone-lasgohi@
@abandoned@|@duyosági@
@abase@|@eladi igánododi@
@abasement@|@eladi nanáenehá@
@abate@|@adadisásedi@
@abated@|@unadadadisáselá@
@abatement@|@anadadisáseha@
@abator@|@adadisásehi@
@abdicate@|@usulagotsági@
@abdication@|@asulagogái@
@abdomen@|@uskuoli@
@abduct@|@adatihnawidádi@
@abduction@|@agatihnawidisgá@
@abet@|@adaniladedi@
@abetment@|@anadaniladehá@
@abettor@|@adaniladehi@
@abhor@|@ganayehisdi@
@abhorrence@|@aninayesgá@
@abide@|@adagatidisdi@
@abiding@|@anadagatiyá@
@ability@|@násinasá@
@abjection@|@eladi nigalisdisgá@
@abjure@|@adasdiyi@
@ablaze@|@adawelagisgá@
@able@|@yelikua iyadánedi@
@abnormal@|@kali nigesána@
@aboard@|@atsodiyi@
@abode@|@ganelá@
@abolish@|@diyohisdi@
@aboriginal@|@nánehiya@
@about@|@gáwaduwidá@
@above@|@galáladitlá@
@abridge@|@askualádodi@
@abroad@|@iná@
@abscess@|@gawosgái@
@absence@|@nádoháná@
@absent@|@nedohána@
@absorb@|@akayododi@
@abstinence@|@asulagoisdi@
@abstract@|@adadalododi, nudohiyusána@
@absurd@|@nudohiyusána@
@abundant@|@gáwalosásdi@
@abuse@|@uyoigánedi@
@academy@|@igái utana tsunadelokuasdi@
@accelerate@|@gatsanulahisdi@
@accent@|@gánedi kaneisdi@
@accept@|@didaniláisdi@
@acceptable@|@didanilátsáhi@
@access@|@galuhisdi@
@accessory@|@uwotsaládisgi@
@accidence@|@udasegatselá@
@accident@|@udasegatsedi@
@accidental@|@usegatselá@
@acclaim@|@asdaya diganotsalodi@
@accommodate@|@alisdeládi@
@accomodation@|@dilasdeládi@
@accompany@|@aligonedi@
@accomplish@|@askuadisdi@
@accord@|@didadolatseláhi@
@accordance@|@didolagi@
@accordingly@|@kali didolagi@
@accost@|@adalinohedodi@
@account@|@gánigesá igánedi@
@accountant@|@adela ugasesdi@
@accrue@|@udanekuotsedi@
@accumulate@|@gasátasdi@
@accurate@|@kali didolagi@
@accuse@|@adaduhisdodi@
@accustomed@|@ogisadá@
@ace@|@igáyi@
@ache@|@ehisdá@
@achieve@|@alinigánedi@
@acknowledge@|@gohiyudodi@
@acknowledgment@|@gohiyutanáhi@
@acorn@|@gule@
@acquaint@|@dádolagá@
@acquaintance@|@didolisdi@
@acquainted@|@dinadolagi@
@acquiesce@|@kali didolisdi@
