@English@|@Cheyenne@
@Author name@|@Guy T. Gambill@
@Font@|@Arial\12\Arial\12@
@//Dictionary//@|@//Dictionary//@
@abandon SB@|@noo'o'tsé'tov (vta), noo'ôhová'tov (vta ai+o), noo'ôhtsé'tov (vta ai+o)@
@abandon SB: move and ~@|@noo'êhé'tov (vta ai+o)@
@abandon ST@|@noo'êhé'tá (vti)@
@abandon ST behind@|@noo'ehe (vti ai+o)@
@abdomen@|@ohtá (mbp)@
@abdominal cramps: have ~@|@hestôhtáotse (vai)@
@abdominal pain: he has ~@|@épa'ôhtáotse (vai)@
@abomination@|@oxêstátamaahestôtse (ni nom)@
@about@|@év (p)@
@about nothing@|@hová'êhéstónêhéva (obl)@
@about to@|@éšêto'se- (pv)@
@above@|@he'am- (i), he'äma (p), he'amo'ome- (pv)@
@above world@|@he'amo'omëë'e  (ni)@
@absent minded: be ~@|@ó'ôsetanó (vai)@
@absolutely everywhere@|@nâhóhpo (p)@
@absorbed: become ~@|@estsévanéeotse (vii), póanéotse (vii)@
@abstain from it/SB@|@nâhestov (vta)@
@abstain from ST@|@nâhestá (vti)@
@abstained from@|@nâhestohe (vai)@
@abundance of everything@|@oótâhámâhestôtse, oótâhámâhestôtse (ni nom)@
@abundant@|@oótâháme- (pv), oótâhómo (vii)@
@abundant: it is ~@|@éoótâhámo (vii)@
@abuse (verbal abuse)@|@totónêšenêhestôtse (ni nom)@
@abuse: domestic ~@|@taa'é (vai)@
@accident@|@a'to'omenêhestôtse (ni), ó'ôhto'omenêhestôtse, ó'ôhto'omenêhestôtse (ni nom)@
@accident: bump into SB by ~@|@a'ta'ov (vta)@
@accidentally@|@a's (p), a't (p)@
@accidentally cut SB@|@a'tas  (vta)@
@accidentally cut ST@|@a'taxá  (vti)@
@accidentally hit SB@|@a'toh(n)  (vta)@
@acclimated to cold weather@|@héose (vai)@
@accompany@|@vé'hahtsé (vai), vése- (pv), véstoeotse (vai)@
@accompany SB@|@vé'ôhtsém (vta)@
@accompany SB (variant)@|@vé'ôhtsémôsané (vai)@
@accompany ST@|@vé'ôhtsémó'tá (vti)@
@accomplish@|@éšestsé (vti), vá'ôhto'eétahe (vai)@
@accomplished ST: he ~@|@ééxo'eétahe (vai)@
@accordingly@|@osáane- (pv)@
@account@|@hósêstoo'o (ni)@
@accounts@|@hósêstóonôtse (ni pl)@
@accusation@|@ho'é'êstómanestôtse (ni nom)@
@accuse SB@|@ho'é'evátam (vai)@
@accuse SB of ST@|@ho'é'êšé'tov (vta)@
@accustom SB@|@hó'xeet (vta)@
@accustomed to@|@hó'x- (i), hó'xahe (vai), hó'xatsêstahe (vai), hó'xe- (pv)@
@accustomed to lack of sleep: be ~@|@héano'xe (vai)@
@accustomed to SB: be ~@|@hó'xátam (vta)@
@accustomed to SB: become ~@|@hó'xatamáotsé'tov (vta)@
@accustomed to ST@|@hó'xátsestá (vti)@
@accustomed to taste of ST: be ~@|@nôhtóve'ahtá (vai)@
@accustomed to work@|@hó'xotse'ohe (vai)@
@accustomed to: become ~@|@hó'xeotse (vai)@
@ace (lit excrement)@|@máase (ni)@
@ache: he has a stomach ~@|@éónêxôhtáóhtse (vai)@
@aches: have leg ~@|@hó'ho'enáohtsé (vai)@
@achieve@|@hohtaméstá (vti)@
@achieve ST@|@hohtamésto'tá (vti)@
@across@|@hoóma (p), hóxov- (i), hóxove- (pv), hóxovêhooma (p), hóxoveto (p)@
@across (lit across on the other side)@|@hóxovooma (p)@
@act@|@matšêstšetsestôtse (vai), o'eétahe (fai)@
@act as a child to SB@|@ka'êškónemaov (vta)@
@act different toward SB@|@nétâhévemaóev (vta)@
@act disrespectful@|@totó'hohtahe (vai)@
@act helpless@|@popá'etanóotse (vai)@
@act like@|@hetov (vta)@
@act like a white person@|@vé'ho'éva'ó (vai)@
@act like SB@|@hetomóét (vta)@
@act toward SB@|@tónêstá'tov (vta)@
@active: become ~@|@homôheotse (vai)@
@actually@|@ó'- (pv)@
@Adam's apple@|@nêhpo'hoo'ôtse (ni)@
@add@|@ho'xêstan (vti), hóna'(ov)- (i), hotona'ove- (pv)@
@add on@|@hóna'óéstse (vti)@
@add on ST@|@hóna'ovoëstse (vti)@
@add on to ST in speaking (that is to say more)@|@hóna'ovestá (vti)@
@add to in ceremony@|@no'o'eétahe (vai)@
@add to ST by mouth@|@hóna'óhtá (vti)@
@addiciton@|@vó'keme (ni poss)@
@addition@|@ho'xêstanenestôtse (ni nom)@
@additional@|@hóna'ove- (pv)@
@adequate: it's ~@|@énêšêpéva'e (p)@
@adhere@|@pâho- (i)@
@adhere to@|@pâho(n)- (i), pâhonoe'tov (vta)@
@adopt@|@mone- (pv)@
@adopt SB (lit choose birth FTA)@|@monóehné'tov (vta)@
@adopted person@|@ane'emêseo'o (na)@
@adopted persons@|@ane'emêseono (na pl)@
@adultery: commit ~@|@oe'kehe (vai)@
@advantage@|@vovónanovahtôtse (ni nom)@
@adversaries@|@óhnetsêstâhé'heono (na pl)@
@adversary@|@óhnehe (na), óhnetsêstâhé'heo'o (na)@
@adversely@|@óhne- (pv)@
@advise@|@hoonéstâhtóohe (vai)@
@advise SB@|@óo'háevam (vta), pêhévo'emáov (vta)@
@affect intensely@|@háeohtsé (vii)@
@affect: thus ~@|@heta'ósanétó (vii)@
@affected him a  lot (ex got him really mad)@|@éháavo'e'oo'e (vta)@
@affix@|@pâho(n)- (i)@
@affix ST@|@pâhovan (vti)@
@affix ST/SB@|@pâhoen (vti)@
@afford ST: cannot ~@|@novêhoo'e (vti)@
@afraid of him: he is ~@|@ée'hóho (vta)@
@afraid of SB: be ~@|@e'šévaen (vta)@
@afraid of SB: become ~@|@e'hahtáotsé'tov (vta)@
@afraid: he is ~@|@ée'tóhtahe (vai)@
@afraid: he's ~@|@ée'tóhtahe (vai)@
@African American@|@mo'ôhtáeve'ho'e (na)@
@afterbirth@|@hésta'he (ni), htsésta'he (ni poss)@
@afterbirth sac@|@hestôhpó'hánóto (ni)@
@afternoon: it's ~@|@éénêsétovoésta (vii)@
@afterwards@|@hó'hóma (p), novêse- (pv), novôse- (pv)@
@afterwards: shortly ~@|@ho'homaéveto (p)@
@again@|@hóse- (pv), hóseto (p)@
@again and again@|@tâxó'e (p)@
@against@|@hó'os- (i)@
@against (lean)@|@hó'os/hó'oht (p)@
@against SB: be ~@|@óhnetsêstov (vta)@
@against ST: be ~@|@óhnetsestá (vti)@
@against the side@|@hó'hameto (p)@
@against the side of ST@|@hó'ham- (i)@
@agate@|@vóestao'honáá'e (na)@
@age as SB: be of the same ~@|@vé'êhahém (vta)@
@age: be of such ~@|@he'éhahe (vai rr), he'xóve'éhahe (vai), nêhe'éhahe (vai), nêhetó'êhahe (vai)@
@age: be of the same ~@|@vé'êhahe (vai)@
@age: become of such ~@|@nêhe'xóve'éhahéotse (vai)@
@age: of such an ~@|@heto'xóve'éhahe (vai rr)@
