@English@|@Chulym@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@2-year-old bear-cub'@|@çarhyn@
@a 2-year-old maral@|@sara-dax@
@a k. of bird@|@kergen@
@a k. of dragonfly@|@sarynçqa@
@a k. of musical@|@qobus@
@a k. of plant@|@ozyj, yzy@
@a k. of small hawk@|@çahylbaj@
@a little@|@as@
@a man's wife's younger sister@|@pasty@
@a pinch@|@çymçyx, šimçik@
@a voodoo way of curing@|@tügen@
@a young calf@|@torbax@
@above@|@çoghar@
@acacia@|@qaraghan, xaraghan@
@accusation@|@chong@
@additionally@|@daa, taa@
@after@|@song, soo, soon@
@age@|@çylghy@
@alive@|@täräg, tirig@
@all@|@parçan@
@an ending of the 2d person@|@-ng@
@anger@|@ökpe, üs@
@ant@|@qumystaš, qymyrtaš, xumusxa, xymysxa@
@archness@|@tögün@
@area covered with stones@|@saj@
@arm@|@qol, xol@
@armour@|@xujax@
@arrow@|@oq, syr, ux@
@arrow head@|@sohan@
@as well@|@paza@
@ashes@|@kül, xox@
@at once@|@am-oq@
@aunt@|@aba-eçe, abiçe@
@autumn@|@küs@
@aware@|@sax@
@awl@|@päs, pis@
@axe@|@malta, palty@
@back@|@arha, pil, syrt, uça@
@bad weather@|@çut@
@badger@|@çoraxa, morsyx, moršyx, porsuq, porsyx@
@bag@|@nançyh, nandyx@
@bald@|@tas@
@ball of wool@|@nyngmax@
@band on a shaman's beater@|@syzym@
@bark@|@xabyx, xastyryx@
@barley@|@arba@
@barren cow@|@qyzyr, xyzyr@
@barren mare@|@xyzyrax@
@bat@|@çar-xanat@
@bay@|@sip@
@be in a hurry@|@tabyra-@
@be lazy@|@çazyh@
@beads@|@monçyx, monnyx@
@bear@|@apšaq@
@beard of grain@|@xylha@
@beaver@|@xam-nos, xam çat@
@become pale@|@ong-@
@become satiated@|@tos-@
@bed-bug@|@xandala@
@beetle@|@xos@
@believe@|@kirtä-n-@
@bell@|@qongra, xongro@
@bellows@|@köräk@
@belly@|@qarny, xaryn@
@belt@|@xur@
@bend@|@xazyr-@
@berry@|@xat@
@big@|@pözäk, ulugh@
@big needle@|@tibe änge@
@big vessel@|@saban, šapçaq, sapçax@
@birch bark@|@tos, toš@
@birch tree@|@qazyng, xazyng@
@bird@|@xus@
@bird-cherry@|@nybyrt, nymyrt@
@black@|@qara, xara@
@black-cock@|@kürkü, kürtkü, kürtük@
@bladder@|@qoq, xox@
@blanket@|@çorghan@
@blood@|@qan, xan@
@blue@|@kök@
@boat@|@kebe, kime@
@body@|@syn@
@bone@|@sök@
