@English@|@Chuukese@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@above@|@wóó-@
@all@|@meyinisin@
@and@|@me, mé ngé, nge@
@ash@|@fanang@
@at@|@i-, nee-, ree-@
@back@|@sékúr, sékúrú-@
@bad@|@ngngaw@
@belly@|@saa, wupwa-(n), wuupw@
@below@|@faa-@
@big@|@nap, napanap, nnap, watte@
@bird@|@maan, mach-chang, nikááp@
@black@|@chóchchón, chón@
@blood@|@chcha, chchaa-@
@bone@|@chúú, chúú-@
@branch@|@ráá, ráá-n@
@breast@|@ttú-, ttú-(n)@
@child@|@naaw, néwú-, néwú-n, se-miriit@
@cloud@|@kuchu, kuchuu-(n)@
@cold@|@ffééw@
@correct@|@pwúngu-, pwúúng@
@day@|@ráán, rááni-@
@dirty@|@pwpún@
@dog@|@konaak@
@dry@|@pwas@
@dull@|@kkopw, kkopwu-@
@dust@|@fanang@
@ear@|@senig@
@earth@|@pwpwún, pwpwúnú, sóón@
@egg@|@sókkun, sókunnu-(n), sókuun@
@eye@|@maas, masa-(n), mese-(n)@
@far@|@too-(w), too-(waaw), toow@
@fat@|@kiriis@
@father@|@saam, seme-(n)@
@feather@|@úún, wúne-(n), wúne-(n), wúún, wúún@
@fire@|@ááf, efi-@
@fish@|@iik@
@flower@|@péé-, péé-n@
@four@|@fa-, faa-, faan, fáán@
@fruit@|@wuwa, wuwaa-(n)@
@good@|@eech, mwirinné, ris@
@Good afternoon@|@Neekkunuion annim@
@Good evening@|@Neepwong annim@
@good morning@|@Neesor annim@
@Good night@|@Neepwong annim@
@Goodbye@|@Kene nom@
@grass@|@fetin, fetini-(n)@
@green@|@araw, arawaraw@
@hair@|@wúne-(n), wúún@
@hand@|@kumwuch, paaw, péwú-(n)@
@he@|@-a-, -n, e, iiy, iiy@
@head@|@wúnú-(n), wúnúún wúnúúnú-(n), wúnúúne-(n), wúún@
@head (1)@|@mékúr@
@heavy@|@ch-chow, chchow, chchowu-@
@hello@|@Ran annim@
@house@|@iimw, imwa-(n)@
@how?@|@ifa@
@husband@|@pwúnú-wa-(n)@
@I@|@-ey, -y, ngaang nganga, wú@
@if@|@are, ika@
@in@|@nnó-, nnó-(n), nóó-(n)@
@intestines@|@aff, taa, taa-(n)@
@leaf@|@chéé, chéé-@
@left@|@-feefin, -mééng, -mmééng@
@leg@|@peche, pechee-(n)@
@lightning@|@fi, fiifi@
@liver@|@áá-yá, yááyá@
@long@|@áney, áneyi-(n), ánney, nááney@
@louse@|@kúú, kúú-(n), kúúwe-(n)@
