@English@|@Cornish@
@Author name@|@Guy T. Gambill@
@Font@|@Arial\12\Arial\12@
@a cat@|@an gath@
@a chair@|@an gador@
@a day@|@an jydh@
@a dress@|@gwisk@
@a drinking glass@|@gwedrenn@
@a farmer@|@an diogyon@
@a fart@|@bramm@
@a girl@|@an vowes@
@a people@|@an bobel@
@abandon@|@forsakya@
@abdomen@|@pengasen@
@ability@|@gallos@
@able@|@abel@
@abnormal@|@ant thy, antýthy@
@abolish@|@dyléa@
@abortion@|@defendyans@
@abrasion@|@dysr scans@
@abridge@|@berh, berhé@
@abruptly@|@cot@
@absence@|@dyfyk@
@abstract@|@devyn@
@accident@|@droglam, droklam@
@account@|@acont, reken@
@accuracy@|@kewerder@
@accurate@|@compes@
@accursed@|@mollothek@
@accuser@|@cuh dhor@
@acidity@|@trenkter@
@acolyte@|@colyta@
@acorn@|@mesen@
@acrobat@|@lappyor@
@actions@|@gwr ansow@
@activity@|@bewder@
@actress@|@gwaryeres@
@actually@|@dhew r@
@adamant@|@bysy@
@adapter@|@ewnor@
@adaption@|@compassans@
@addition@|@junnyans@
@address (n.)@|@trygva@
@adequate@|@lowr@
@adherent@|@holyer, ment nour@
@adjacent@|@ogas@
@adjourn@|@hokkya@
@adjunct@|@junnyans@
@admiral@|@amyral@
@admirer@|@carer@
@adoption@|@m thrynans@
@adultery@|@avowtry@
@advance@|@avonsya, avonsyans@
@adviser@|@cus lyer@
@advisor@|@cus lyer@
@advocate@|@dathelor@
@advocate (n.)@|@pledyer@
@affable@|@debon r@
@affinity@|@havalder@
@afflict@|@grevya@
@affluent@|@rych@
@affront@|@despyt, scorn@
@afternoon@|@dohaje-th@
@against@|@erbyn, offendya@
@agility@|@scafter@
@agitate@|@am vya@
@agnostic@|@dyscryjyk@
@ailment@|@cleves@
@air@|@ayr@
@airplane@|@ayrplen@
@alacrity@|@bewder, mal@
@alcohol@|@gwyras@
@alehouse@|@corjy@
@alliance@|@kefr syans@
@allusion@|@campollans@
@almighty@|@ollgallosek@
@alphabet@|@abecedary@
@already@|@solabr s@
@although@|@kyn@
@altitude@|@ughelder@
@alto@|@conternot@
@amary@|@cupboard@
@amateur@|@carer@
@amazing@|@barth sek@
@ambition@|@gorvyn@
@amenable@|@gostyth, plegadow@
@amenity@|@whekter@
@american@|@americanek@
@amiable@|@hegar@
@amongst@|@ynter@
@analysis@|@degemysk@
@analyst@|@degemysker@
@anarchy@|@dyrewl@
@ancestor@|@hendas@
@ancestry@|@lynyeth@
@ancient@|@hén@
@anguish@|@angus, angüs@
@angular@|@pedrak@
@animal@|@best@
@ankle@|@üfern@
@annoint@|@unctya@
@announce@|@nótya@
@annuity@|@rent@
@anomaly@|@ancothfos, dygomposter@
@another@|@aral@
@antelope@|@gavrewyk@
@anvil@|@anwan@
@anxiety@|@fyenas, fyenasow, preder@
@anxious@|@prederys@
@anybody@|@nepd n, nepdén@
@anymore@|@namoy@
@anysort@|@éghen@
@anything@|@neppyth@
@anything (adv.)@|@neptra@
@anything (n.fem.)@|@travyth@
@anywhere@|@nepl, neplé@
@apartment@|@ranjy@
@aperture@|@toll@
@apology@|@dyharas@
@apostate@|@negedhys@
@apostle@|@abostol@
@apparel@|@aparell, dyllas@
@apparent@|@apert@
@appeals@|@pysadowow@
@appease@|@dyserry@
@appetitie@|@ewl@
@applause@|@gormola@
@apple@|@aval@
@appointment@|@appoyntyans@
@approach@|@dós@
@approval@|@comendyans, commendyans@
@apricot@|@brykethen@
@April@|@mýs-Ebrel@
@apron@|@apern@
@aptitude@|@gwywder@
@aquarium@|@pusketty@
@aqueduct@|@dowrbons@
@arduous@|@cales@
@argument@|@dathel, dathelva@
@aridity@|@crasteer, seghter@
@arm@|@brégh@
@armchair@|@cadarvreghek@
@armless@|@dyvr gh, dyvrégh@
@armsload@|@bréghas@
@arousal@|@sordyans@
@arrival@|@devedhyans@
@arrogant@|@prowt@
@arrow@|@seth@
@arsenal@|@arvjy@
@artefac@|@gwythres@
@article@|@artykyl, tra@
@articles@|@taclow@
@artifice@|@sotelneth, trayn@
@artisan@|@creftor, sér@
@artist@|@lymner@
@artless@|@dycreft@
@ashamed@|@edrygys@
@ashtree@|@enwedhen@
@aspirin@|@aspyryn@
@assassin@|@moldrer@
@assault@|@drokhandla, drokhandlans, omsettyans@
@assembly@|@cuntellva, cuntellyans@
@asterisk@|@sterennyk@
@astrike@|@gaulak@
@astutely@|@fýn@
@atheism@|@dyscryjyans@
@athlete@|@athlet@
@atrocity@|@garowder@
@attached@|@serghak@
@attempt@|@assay@
@attitude@|@chér@
@auction@|@strýfwwerth@
@audacity@|@bólder@
@audience@|@cuntelles, cuntellyans@
@August@|@mýs-Est@
@aunt@|@modryp@
@austere@|@asper@
@autocrat@|@týront@
@autumn@|@kynyaf@
@aversion@|@cás@
@avidity@|@pýthneth@
@awfully@|@üthek@
@ax@|@ból@
@baby@|@baban@
@bachelor@|@bacheler@
@back@|@keyn@
@backload@|@sawgh@
@backside@|@kyl@
@backward@|@hell@
@bacon@|@bakken, kýk-mogh@
@bad@|@drog@
@badger@|@brogh@
@badness@|@sherewneth@
@bailiff@|@bayly@
@baker@|@peber@
@baker-shop@|@popty@
@bakery@|@popty@
@baking pan@|@padel horn@
@balance@|@mantol@
@baldness@|@molder@
@ball@|@pel, pél@
@balloon@|@ballon@
@bandag@|@lysten@
@bank@|@arghannti, arghantty@
@banker@|@arghanser@
@banquet@|@gol, gól@
@baptism@|@bysyth@
@baptist@|@bysydhyer@
@baptizer@|@baptyst@
@barbaric@|@gwyls@
@barber@|@barver@
@bardess@|@bardhes@
@bareness@|@lomder@
@bargain@|@chyffar@
@bark@|@rüsken@
@barking@|@harth@
@barley@|@barlysen@
@barn@|@skyber@
@barnacle@|@bernakyl@
@barrack@|@soudorjy@
@barrier@|@let@
@baseness@|@vylta@
@bashful@|@methek@
@basinet@|@basnet@
@bathroom@|@stevel omwolhy@
@battered@|@brew@
@bauxite@|@gossen@
@bawdier@|@dydhysca@
@be@|@bos@
@beach@|@treth, tréth@
@beach trees@|@fowydh@
@bean@|@faven@
@beans@|@fav@
@bear@|@ors@
@beard@|@barf@
@bearded@|@barvek@
@beating@|@frappyans@
@beautify@|@tekh, tekhé@
@because@|@awos@
@becoming@|@semly@
@bed@|@gweli, gwely@
@bedroom@|@chambour@
@beds@|@gweliow@
@bedsheet@|@lyengwely@
@bedstraw@|@godroth@
@bee@|@gwenenen, gwenyn@
@beech tree@|@fawen@
@beef@|@kýk bowyn@
@beer@|@coref, korev@
@beet@|@betysen@
@beetle@|@whýlen@
@beginner@|@dallether@
@begotten@|@denythys@
@beguile@|@flattra@
@believer@|@crýjyk@
@bellman@|@clogher@
@beloved (adj.)@|@kerensedhek@
@beloved (n.)@|@keresyk@
@belt@|@grügys@
@benefice@|@benefys@
@benefit@|@dader@
@bequest@|@kemmynadow@
