@English@|@Czech@
@Author name@|@Zdenek Broz@
@Font@|@Arial\12\Arial\12@
@10th@|@desátý@
@11th@|@jedenáctý@
@12th@|@dvanáctý@
@13th@|@třináctý@
@14th@|@čtrnáctý@
@15th@|@patnáctý@
@16th@|@šestnáctý@
@17th@|@sedmnáctý@
@18th@|@osmnáctý@
@19th@|@devatenáctý@
@20th@|@dvacátý@
@24th@|@dvacátý čtvrtý@
@25th@|@dvacátý pátý@
@26th@|@dvacátý šestý@
@27th@|@dvacátý sedmý@
@28th@|@dvacátý osmý@
@29th@|@dvacátý devátý@
@4th@|@čtvrtý@
@5th@|@pátý@
@6th@|@šestý@
@7th@|@sedmý@
@8th@|@osmý@
@9th@|@devátý@
@a@|@neurčitý člen, za@
@a babe in arms@|@malé dítě@
@a babe in the woods@|@bezbranná osoba@
@a bad taste in my mouth@|@mít špatný pocit, tušit něco zlého@
@a bad time@|@nedostatek času, pozdě@
@a ball-park figure@|@přibližný odhad@
@a bar fly@|@barovej povaleč@
@a bar star@|@barová holka@
@a bare-faced lie@|@úmyslná lež@
@a barnburner@|@napínavá hra, úspěšný výsledek, významná událost@
@a barrel of laughs@|@hromada srandy, velká zábava@
@a basket case@|@ruina, troska, ruina, zřícenina@
@a bawling out@|@udělené kázání@
@a bed of roses@|@na růžích ustláno, záhon růží@
@a beehive of activity@|@místo plné pracovitých lidí@
@a big bloob@|@hromotluk@
@a big do@|@velká zábava@
@a big shot@|@papaláš@
@a big wheel@|@mocný člověk@
@a big wig@|@velké zvíře@
@a bimbo@|@hloupá dívka@
@a bit@|@trochu@
@a bit at sea@|@být nejistý@
@a bit mental@|@neracionální, nevyrovnaný@
@a bit of fluff@|@kočka, žena@
@a bit off@|@neracionální@
@a bite to eat@|@něco k snědku, trocha jídla@
@a bitter pill@|@bolestivá zkušenost@
@a black mark@|@černý puntík@
@a blackout (TV)@|@úmyslné nevysílání TV@
@a blackout (war)@|@zákaz svítit světlem@
@a blank look@|@nechápavý pohled@
@a blast@|@odstřelit pomocí trhaviny, vyhodit do vzduchu, zaútočit - napadnout, zničit@
@a blessing in disguise@|@problém řešicí jiný problém@
@a blowout@|@píchnutá pneumatika@
@a bone to pick@|@jablko sváru@
@a breath of fresh air@|@milá změna@
