@English@|@Danish@
@Author name@|@Freelang / Holger Terkelsen@
@Font@|@Arial\12\Arial\12@
@'risk-taker' (cowboy)@|@cowboy (en der foretager riskable foretagender-uden grundige overvejelser)@
@-wise (way)@|@-mæssigt (f.x. tids-mæssigt)@
@– (Alt+0150)@|@halvgeviert(-en)@
@— (Alt+0151)@|@geviert@
@- and that's flat@|@- og dermed basta@
@"@|@anførselstegn, tomme (")@
@"5 classes-before 1953 cons.DK@|@rangklasse@
@"afterthought"@|@få barn op i alderen, sildefødning@
@"air the question (again)"@|@fremsæt spørgsmålet, rundkaste, rundkaste (spørgsmålet/emnet)@
@"barn roof"@|@gambreltag (hollandsk tag)@
@"canapé"@|@snitte (lille brødskive), snitte (lille brødskive+pålæg), snitte (skive)@
@"captain's daughter"@|@nihalet kat@
@"casting lots"@|@rafle, trække lod@
@"Charge of the Light Brigade"@|@rytteriangreb@
@"chuck-and-duck" chipper@|@kvashugger(-en)@
@"cross"@|@dagger (asterisk)@
@"day of reckoning"@|@dommedag, udbetalingsdag@
@"fakir"@|@selvplager@
@"food maven"@|@gourmet(-en), madekspert(-en)@
@"foreplay"@|@parringsleg@
@"full slice of a loaf (rye)"@|@rundtenom (rugbrød)@
@"handfast"(betrothal)@|@håndfæstning@
@"headbutt'er"@|@skallesmækker@
@"hooligan"@|@skallesmækker@
@"hotdog"@|@pølse@
@"inaugural address"@|@trontale@
@"killjoy" (to oneself)@|@selvplager@
@"lap-child"@|@skødebarn@
@"lectern"@|@skrivepult@
@"maiden speech"@|@tiltrædelsestale@
@"metaphore"@|@slang@
@"milestone"@|@kilometersten(-en)@
@"my fault"@|@mea culpa@
@"on the primrose path"@|@loppetjans(-en)"@
@"open sandwich maiden"@|@smørrebrødsjomfru@
@"ratlines (between shrouds)"@|@rebstige, rebstige" (i vantet)@
@"right as rain"@|@soleklart@
@"running back and forth"@|@rutefart@
@"scapegoat"@|@offerlam@
@"sinecure"@|@loppetjans(-en)"@
@"soliloquiesingly"@|@solo@
@"some time in the 1800s"@|@i attenhundrede-tallet@
@"songbirds"@|@spurvefugl, sangfugle@
@"spinner of plausible tales"@|@spindoktor ('rådgiver')@
@"terror-stricken"@|@sanseløs@
@"The descent of man" (Darwin)@|@tilblivelseshistorie@
@"trunk exchange"@|@rigstelefon@
@"Turkish bath"@|@romersk bad@
@"voyeurism"@|@smugkigge@
@"what a tangled web we weave"@|@speget (indviklet)@
@#@|@nummer tegn, nummer tegn(-et)@
@# (hashtag)@|@# (havelåge)@
@# (in the name of God)@|@in nomine dei (#)@
@$@|@Alt+36 (på nummertastatur), dollartegn@
@&@|@og-tegn@
@("male member")@|@tæppebanker@
@((s*(s-a)*(s-b)*(s-c))^0.5@|@Herons formel (trekantareal)@
@(?!) question-exlamation sign@|@(?!) kombineret tegn@
@(^) circumflex@|@(^) accent cirkumfleks@
@(ambition)@|@opdrift@
@(attire: depending on culture)@|@sørgedragt@
@(automotive telematics)@|@optagervogn@
@(black hawks)@|@helikopterforældre@
@(brightened visibly)@|@lyse kendeligt op, oplivet@
@(broad jump)@|@længdespring(-et)@
@(brown bread)@|@grahamsbrød(-et)@
@(call in militia under arms)@|@væbning@
@(cf. round church/belfry)@|@barfred (hovedtårn-borg)@
@(compulsively neat)@|@ordensmenneske@
@(eureka)@|@jeg har det!@
@(fallopia sachalinensis)@|@falsk boghvede (kæmpe-pileurt@
@(fx. verdegris)@|@patina@
@(fx.~by hand)@|@snerydning, fx. med håndkraft@
@(heureka)@|@forklarelse@
@(honi soit qui mal y pense)@|@hosebåndsorden, hosebåndsorden (devise)@
@(hunter-gatherer society)@|@samler (tidsalder jæger-samler)@
@(infatuation)@|@forblindelse(-en)@
@(J. Bentham/J. S. Mills)@|@nyttefilosofi, nyttemoral@
@(knife-edged crease)@|@pressefold (skarp)@
@(large beads-Our Father)@|@rosenkrans@
@(letter) file@|@brevordner(-en)@
@(Lighthouse & Tender)@|@Fyrtårnet og Bivognen (Fy&Bi) (Dansk komikerpar)@
@(Matthew-Mark-Luke)@|@synoptiske evangelier (NT)@
@(originally colonial goods)@|@kolonialvarer@
@(past-present-future)@|@norne (Urd-Verdande-Skuld)@
@(pork barre@|@valgløfte@
@(protective custody)@|@politibeskyttelse@
@(prowling shoes)@|@listesko@
@(rare)@|@halvstegt@
@(rest home)@|@nerveklinik(-en)@
@(rubbish)@|@fyld(-et)@
@(ruled by men)@|@patriarkat@
@(shaft-driven motorcycle)@|@nimbus@
@(Sirius close to the Sun)@|@hundedagene (23.juli-23.aug.)@
@(small four-stringed guitar - Hawaii)@|@ukulele@
@(Speech Day)@|@translokation@
@(Subscriber Identity Module)@|@SIM-kort@
@(symptom of meningitis)@|@nakkestivhed@
@(tail of a fox)@|@fukssvans(-en)@
@(the)female sex@|@kvindekøn@
@(toboggan)@|@hundeslæde@
@(travois)@|@hundeslæde@
@(U+2122) ™@|@patentrettighed, varemærke@
@(witches' sabbath)@|@Valborgsaften@
@(worker and peasant symbol)@|@hammer og segl@
@* (multiplication sign)@|@* (multiplikationstegn(-et)), gangetegn(-et)@
@. pro EU person@|@EU-tilhænger@
@.BMP@|@.BMP (billedformat)@
@.exe (executable file)@|@.exe (eksekverbar fil)@
@.pdf@|@faksimile(-en)@
@.pdf (doc)@|@transportabelt fil format@
@.TIFF@|@.TIFF (billedformat)@
@/= not equal to@|@/= ikke lig med@
@\@|@omvendt skråstreg@
@\ backslash@|@henviser til "roden"@
@^ circumflex@|@^ accent cirkumfleks@
@^(1/3)@|@kubikrod@
@~ swung dash@|@~ tilde, tilde (~)@
@~ tilde@|@~ tilde@
@~ together@|@krage søger mage@
@~65 ha@|@quarter section@
@~euphemism/red-light districts@|@luderdistrikt(-et)@
@~for the hearing impaired@|@tekstet for hørehæmmede, TH (tekstet for hørehæmmede)@
@~hogshead (238 litre)@|@oksehoved (228 liter)@
@~where angles fear to tread"@|@~hvor engle frygter at træde"@
@'~where angles fear to tread"@|@~hvor engle frygter at træde@
@¨ diaeresis@|@¨ accent trema@
@¨ dieresis@|@¨ accent trema@
@< less than (Alt+060)@|@mindre end@
@<> not equal to@|@<> ikke lig med, Alt+8800@
@<> not equal to/opposite of@|@<> ikke lig med/modsat@
@> (larger than@|@større end (>)@
@> (larger than)@|@> (Alt+062), > (større end)@
@> more than (Alt+062)@|@mere end@
@÷ (Alt+0247) division chr.@|@divisions tegn (engelsk)@
@£ (libra pondo - latin)@|@pund (engelsk)@
@§@|@paragraf, paragraf@
@© (U+A9)@|@patentrettighed@
@® (U+AE)@|@patentrettighed@
@° (C-F-K-R)@|@° (Alt+0176), grad (C-F-K-R), grad(-en)@
@¶ (Pilcrow sign)@|@¶ (afsnitstegn(-et))@
@0.276 cords@|@rummeter@
@0.5 kg@|@pund (dansk)@
@0° (360°)@|@N (nord)@
@0°K = -273.15°C@|@0° Kelvin, det absolutte nulpunkt@
@02214×10^23@|@mol/avogadros tal@
@¼ (Alt+0188)@|@kvart@
@½ (Alt+0189)@|@halv@
@½ a hurricane@|@en halv pelikan (blæse~)@
@½ an hour@|@glas (maritim tidsenhed)@
@½ geviert/En (typ.)@|@En – (U+2013/Alt+0150)@
@¾ (Alt+0190)@|@trekvart@
@1@|@en, et, først, første@
@1 £@|@100 pence@
@1 minute of arc@|@geografisk mil (engelsk)@
@1 newtonmeter@|@joule@
@1 stère (wood)@|@1 rummeter, kubikmeter ( 1 m³), kubikmeter (m³)@
@1 swallow doesn't summer make@|@enlig svale gør ingen sommer@
@1 u gain on the merry-go-round@|@det får man ind på karrusellerne@
@1 what you lose on the swings@|@det man sætter til på gyngerne@
@1. Kings  3:16-28@|@salomonisk@
@1. May@|@Internationale Arbejderes Dag@
@1. Sunday after Pentecost@|@trinitatis(søndag efter pinse)@
@1.363 acres@|@1. tønde land@
@1/16@|@sekstendedel@
@1/16" read at 20'@|@1½ mm set klart på 6 m afstand@
@1/20@|@tyvendedel@
@1/3@|@tredjedel@
@1/4 of a Danish mile@|@kvartmil (1883.12 m), kvartmil(-en)@
@1£@|@1 pund sterling (1 £)@
@10 øre- coin (1/10 of a krone)@|@tiøre (indtil 1989)@
@10.(24.5-28.4 m/s)@|@10.Beaufort-Storm@
@100@|@hundrede@
@100 Danish pounds (50 kg)@|@centner(-et)@
@100 m dash@|@100 m løb@
@100 m sprinting event@|@100 m løb@
@100 m² = 10 m square(d)@|@100 m² = kvadratside 10 m@
@100 years@|@sekel@
@1000 (10³)@|@tusinde@
@1000 kg@|@ton@
@10-4@|@OK@
@10-4 (ten-four/OK)@|@meddelelseskode (politi US)@
@10th@|@tiende@
@11.(28.5-32.6 m/s)@|@11.Beaufort-Stærk storm@
@11.2 km/s@|@undvigelseshastighed (jorden)@
@112.5°@|@ØSØ (øst-sydøst)@
@11th@|@elvte@
