@English@|@Dolgan@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@a little@|@bosko@
@a man's wife's younger sister@|@balys@
@about@|@haga@
@above@|@örüte@
@acid@|@ahý@
@additionally@|@ebï@
@all@|@bar, bary@
@amble@|@is-@
@an ending of the 2d person@|@-ng@
@angle@|@mung, munnuk@
@archness@|@tüökün@
@ashes@|@kül@
@autumn@|@kühün@
@back@|@köksü@
@barren@|@kytarak@
@be helpful@|@tuha-lä-@
@beetle@|@komurduos@
@before@|@iligine@
@belt for fastening loads@|@ötü@
@berry@|@ahylyk@
@big@|@ulakan, ulü@
@birch bark@|@tuos xä@
@birch tree@|@katyng@
@bird-seed@|@menge@
@black@|@kara@
@blood@|@kän@
@blue@|@küök@
@bone@|@onguok@
@bosom@|@konnok@
@bow@|@hä, sä@
@branch@|@mutuk, talak@
@break into small pieces@|@kakryj-@
@breast@|@tüös@
@breast (fem.)@|@emij@
@burn@|@ubaj-@
@butter@|@arý@
@button@|@timek, timëk@
@camping-site@|@hurt@
@cap@|@bergehe@
@cape@|@tumus@
@carry on back@|@yrdä-@
@cheek@|@hyngäk@
@claw@|@tyngyrak@
@cloud@|@bylyt@
@coal@|@kömör@
@cold@|@tymný@
@compassionate@|@amarak@
@courage@|@hürek@
@craftsman@|@üs@
@crush@|@ogus-@
@curse@|@kyrä-@
@deep into@|@batary@
@deer@|@taba@
@dew@|@hïk@
@different@|@egin-egin@
@distant@|@yräk@
@distribute@|@üllehin-@
@diverse@|@engin-engin@
@dog@|@yt@
@drag out@|@orö-@
@drill@|@ieregej@
@dry@|@kuränak@
@duck@|@kus@
@ear@|@kulgäk@
@earth@|@buor@
@edge@|@kyrý, uhuk@
@egg@|@hymýt@
@elder brother's wife@|@hangas@
@enemy@|@östök@
@evening@|@kiehe@
@everything old@|@ötök@
@evil@|@aný@
@eye@|@karak@
@eyebrow@|@käs@
@fat@|@emis, hya@
@father@|@aga@
@feather@|@tü@
@file@|@igï, igï@
@fire@|@uot@
@fish@|@balyk@
@flour@|@burduk@
@fly@|@haksyrga@
@foal@|@tugut@
@foot@|@atak, halbax@
@for the sake of@|@ihin@
@forehead@|@hüs@
@foundation@|@törüt@
@four@|@tüört@
@freeze@|@tong-@
@frozen@|@tong@
@full@|@toloru, tot-, tuol-@
@gather@|@terij-@
@gift@|@belek@
@girl@|@kýs@
@glowing coals@|@huos@
@glue@|@hilim@
@go astray@|@mun-@
@god@|@tangara@
@good@|@ötüö@
@good fortune@|@kut@
@goose@|@käs@
@grandfather@|@ehe@
