@English@|@Dutch@
@Author name@|@Freelang@
@Font@|@Arial\12\Arial\12@
@a@|@binnen, in, per, te@
@a.m.@|@in de morgen, voor de middag@
@aalii@|@kleverige dodonea@
@aardvark@|@aardvarken@
@Aaron@|@Aäron@
@aback@|@achteruit, achterwaarts, rugwaarts@
@abacus@|@abacus, telraam@
@abaft@|@op de achtersteven@
@abalone@|@haliotis@
@abandon@|@afleggen, opgeven, prijsgeven@
@abandoned@|@gemeen, immoreel, onzedelijk@
@abandonedly@|@immoreel@
@abandonment@|@afstand, cessie, concessie, toegeving@
@abase@|@kleinmaken, vernederen, verootmoedigen@
@abasement@|@vernedering, verootmoediging@
@abash@|@beschaamd maken, beschamen@
@abashed@|@bedeesd, bevangen, blo, timide@
@abashment@|@benardheid, hinder, knelpunt, penarie@
@abatable@|@verminderbaar@
@abate@|@bedaren, bekoelen, luwen@
@abatement@|@afname@
@abattoir@|@abattoir, slachterij, slachthuis@
@abbacy@|@jurisdictie van een abt@
@abbatial@|@op een abt betrekking hebbend@
@abbess@|@abdis@
@abbey@|@abdij@
@abbot@|@abt@
@abbreviate@|@afkorten, bekorten, inkorten@
@abbreviation@|@afkorting@
@abdicate@|@afstand doen, bedanken, neerleggen@
@abdication@|@afstand, ontslagname, ontslagneming@
@abdomen@|@achterlijf, onderlijf@
@abdominal@|@onderbuik-@
@abduct@|@ontvoeren@
@abduction@|@ontvoering@
@abductor@|@abductor, afvoerder@
@abeam@|@dwars, dwarsscheeps@
@abed@|@op bed@
@abele@|@abeel, witte abeel, zilverpopulier@
@aberrance@|@afwijking@
@aberrant@|@afdwalend, afwijkend@
@aberration@|@aberratie, afwijking@
@abet@|@agiteren, ophitsen, opruien, opstoken@
@abetment@|@medeplichtigheid@
@abetter@|@mededader, medeplichtige@
@abettor@|@mededader, medeplichtige@
@abhor@|@een afschuw hebben van, verafschuwen@
@abhorrant@|@misselijk, onsmakelijk, stuitend@
@abhorrence@|@gruwel, gruweldaad, verschrikking@
@abhorrent@|@afschuwelijk@
@abide@|@afhalen, te wachten staan, wachten@
@abiding@|@aanhoudend, bestendig, blijvend@
@ability@|@bekwaamheid, kundigheid@
@abiogenesis@|@abiogenesis@
@abject@|@nietswaardig, verachtelijk@
@abjection@|@verachtelijkheid@
@abjuration@|@afzwering@
@abjure@|@afzweren@
@Abkhazia@|@Abchazië@
@Abkhazian@|@Abchazisch@
@ablative@|@ablatief@
@ablaze@|@gloeiend, verterend, verzendend, vurig@
@able@|@bekwaam, capabel, kundig@
@able-bodied@|@gezond van lijf en leden@
@abloom@|@bloeiend, fleurig@
@ablution@|@wassing@
@abnegate@|@abnegeren, zichzelf verloochenen@
@abnegation@|@abnegatie, versterving@
@abnormal@|@abnormaal@
@abnormality@|@abnormaliteit, afwijking@
@aboard@|@aan boord@
@abode@|@domicilie, woonplaats@
@abolish@|@afschaffen@
@abolition@|@afschaffing@
@abolitionism@|@anti-slavernijbeweging@
@abolitionist@|@tegenstander van slavernij@
@abominable@|@afgrijselijk, ijselijk@
@abominate@|@een afschuw hebben van, verafschuwen@
@abomination@|@gruwel, gruweldaad, verschrikking@
@aboriginal@|@inboorling@
@aborigine@|@aboriginal, Australische inboorling@
@abort@|@een miskraam krijgen, mislukken@
@abortion@|@abortus, abortus provocatus@
@abortionist@|@aborteur@
@abortive@|@mislukt@
@abound@|@in overvloed aanwezig zijn@
@about@|@circulerend, in omloop@
@about-face@|@keer, omkeer, verandering, verzetting@
@above@|@benoorden, ten noorden van@
@above-board@|@degelijk, eerlijk, eerzaam@
@above-mentioned@|@bovengenoemd@
@abracadabra@|@wartaal@
@abrade@|@afschaven, schaven@
@Abraham@|@Abraham@
@abrasion@|@afschaving@
@abrasive@|@bijtend, doordringend, fel, guur@
@abreact@|@afreageren@
@abreast@|@naast elkaar@
@abridge@|@begrenzen, beknotten, beperken@
@abridgement@|@afkorting, verkorting@
@abridgment@|@afkorting, verkorting@
@abroad@|@in het buitenland@
@abrogate@|@afschaffen@
@abrogation@|@afschaffing@
@abrupt@|@abrupt, bot, bruusk, kortaf, steil@
@abruptly@|@abrupt, botweg, kortaf@
@abscess@|@abces, etterbuil, ettergezwel@
@abscissa@|@abscis@
@abscond@|@drossen, weglopen, wegrennen@
@abseil@|@afdalen langs een dubbelbevestiabseil@
@absence@|@absentie, afwezigheid, mangel@
@absent@|@verstrooid@
@absentee@|@afwezige, wegblijver@
@absenteeism@|@absenteïsme@
@absent-minded@|@afgetrokken, verstrooid@
@absinth@|@absint, absintlikeur@
@absinthe@|@absint, absintlikeur@
@absolute@|@absoluut, onvermengd@
@absolutely@|@absoluut, beslist, ten enenmale@
@absolution@|@absolutie, kwijstschelding, vrijspraak@
@absolutism@|@absolutisme@
@absolve@|@absolutie geven, absolveren@
@absorb@|@absorberen, in beslag nemen, opslorpen@
@absorbent@|@absorberend@
@absorbing@|@betoverend, boeiend, fascinerend@
@absorption@|@absorptie, opslorping@
@abstain@|@zich abstineren, zich onthouden@
@abstemious@|@bezadigd, matig, nuchter, sober@
@abstention@|@onthouding, terughoudendheid@
@abstinence@|@abstinentie, geheelonthouding@
@abstract@|@abstract, afgetrokken@
@abstracted@|@afgetrokken, verstrooid@
@abstraction@|@abstract begrip, abstractie@
@abstruse@|@geheimzinnig, mysterieus@
@absurd@|@absurd, dwaas, ongerijmd, onzinnig@
@absurdity@|@absurditeit, onding, ongerijmdheid@
@abundance@|@onbekrompenheid, overvloed@
@abundant@|@abundant, copieus, rijk, uitbundig@
@abundantly@|@in overvloed, rijkelijk, ruimschoots@
@abuse@|@gescheld@
@abusive@|@beledigend, grievend, krenkend@
@abut@|@belenden, grenzen aan@
@abutment@|@beer, schoor, steunbeer@
@abysmal@|@ondoorgrondelijk, onpeilbaar@
@abyss@|@afgrond, kolk@
@Abyssinia@|@Abessinië, Ethiopië@
@Abyssinian@|@Abessinisch, Ethiopisch@
@acacia@|@acacia@
@academic@|@academisch, akademisch@
@academician@|@lid van een geleerd genootschapacademician@
@academy@|@academie, genootschap, hogeschool@
@acanthus@|@acanthus, bereklauw@
@accede@|@lid worden@
@accelerate@|@accelereren, bespoedigen, verhaasten@
@acceleration@|@acceleratie, versnelling@
@accelerative@|@versnellend@
@accelerator@|@accelerateur, gaspedaal, versneller@
@accent@|@accentueren, beklemtonen@
@accentuate@|@accentueren, beklemtonen@
@accept@|@aanvaarden, accepteren@
@acceptable@|@aannemelijk, aanvaardbaar, acceptabel@
@acceptance@|@aanneming, aanvaarding, onthaal@
@acceptation@|@standaardbetekenis v.e. woord@
@accepted@|@aanvaard, erkend, gangbaar@
@acceptor@|@acceptant@
@access@|@oprijlaan, oprit@
@accessible@|@genaakbaar, toegankelijk@
@accession@|@aanwinst, acquest, buit, prooi@
@accessorie@|@aanhangsel@
@accessories@|@accessoires@
@accessory@|@bijbehorend, bijkomend, bijkomstig@
@accidence@|@toeval, toevalligheid@
@accident@|@accident, ongeluk, ongeval@
@accidental@|@incidenteel, toevallig@
@accident-prone@|@een grotere kans op ongelukken accident-prone@
@acclaim@|@bij acclamatie benoemen, toejuichen@
@acclamation@|@acclamatie, bijval, toejuiching@
@acclimate@|@acclimatiseren@
@acclimatization@|@acclimatisering@
@acclimatize@|@acclimatiseren@
@acclivity@|@glooiing, helling@
@accolade@|@eerbetoon, eerbetuiging@
@accommodate@|@aanpassen, adapteren, afstemmen@
@accommodating@|@inschikkelijk, meegaand, toegevend@
@accommodation@|@aanpassing@
@accomodate@|@aanpassen, accommoderen@
@accomodation@|@compromis@
@accompaniment@|@accompagnement, begeleiding@
@accompanist@|@begeleider, metgezel@
