@English@|@Enets@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@a k. of arrow@|@muggeo@
@a k. of berry@|@moðagga, moragga@
@a k. of fish@|@faeha@
@a k. of insect@|@addu@
@a k. of marten@|@purru@
@a k. of metal@|@bese@
@a k. of salmon@|@adde, jiddu@
@an elder relative@|@káda'a, kára'a@
@animal's stomach@|@fédiko@
@annual ring on a tree@|@ti, tî@
@armpit@|@séði, séri@
@arrow@|@tu-ni@
@back@|@maha@
@back part@|@fuo', fuone, fuonô, fuonône@
@bark@|@koba, kuba@
@basket@|@ku', kuðo'@
@bast@|@sesa@
@become dark@|@fei, feide, feire, fösuma@
@behind@|@taha', tahone, tehone@
@bend@|@se'@
@berry@|@ode, ore@
@bifurcation of a river@|@boda, bora@
@big@|@ina@
@birch@|@kua, küa@
@birch bark@|@te, të@
@blood@|@bide, bire@
@body@|@keðe', kere'@
@boil@|@fedi'a-, feri'a-, fiði-, fie-, fire-@
@bone@|@lídi, liri@
@bow@|@iddo@
@bowstring@|@jéddi@
@breath@|@beddu', bedduo, bedu'@
@bridle@|@sa, so@
@cap@|@soe@
@carry@|@iðá-, jirá-@
@cartilage@|@ny', nyr-@
@case@|@koðei, koðoi, kôre, kure@
@charcoal@|@tü-sio@
@cheek@|@faede, färu, paede@
@chew@|@to'a-, tu'a-@
@chin@|@eu, nangu@
@claw@|@kóda, kóra@
@community@|@kode@
@comrade@|@iðu, juru@
@cradle@|@licho@
@crane@|@kori@
@curve@|@muna-, munua-@
@daughter@|@nere-kétschu@
@daughter-in-law@|@më, mï@
@day@|@däre, dere, jéðe, jére@
@deep place in water@|@joðe, jore@
@deer@|@tia, tyjæ@
@dew@|@jote@
@die@|@je'oa-@
@diver@|@nieni, nioni@
@divide@|@tengabo-@
@door@|@ngia, no, nu@
@down@|@muddute'@
@elder female relative@|@óba@
@end@|@oðo, oðoti, orete@
@end of trunk@|@tabo, taima@
@ermine@|@fïdu, pidu, pïdu@
@eye@|@sei@
@fat of a reindeer@|@tu, tü, tudo', turo'@
@father@|@acha', ädäa, ede@
@fathom@|@tibe, tïe@
@female@|@nä@
@fence@|@bä'@
@fight@|@tarunga-@
@find@|@koa-, kua-@
@fine snow@|@kadu, káru@
@fir@|@kadi, kari@
@fire@|@tu, tü@
@fish@|@kaðe, kare@
@five@|@biu'@
@flat@|@lota@
@flat surface@|@lóba, lóbi@
@frost@|@koddi-@
@girdle@|@bine, nieijo, niojo@
@give@|@teda-, tera-@
@glue@|@ie, jï@
@go@|@todde'e-@
