@English@|@Evenki@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@1 deer (1 year old)@|@möjikän, möjka, möjkachän@
@a female deer@|@negdi@
@a hoof disease@|@butu-, butun@
@a hook@|@goli@
@a k. of cloth@|@n'armakän@
@a k. of duck@|@andi, anni, ende, kan-dirä, karbukï, karbukï, kongor@
@a k. of duck (1)@|@ilagli, leGegdi, liglakï@
@a k. of fish@|@dukchá@
@a k. of insect@|@chímechïldün@
@a k. of midge@|@chakimukta@
@a k. of moss@|@lawikta@
@a k. of overcoat@|@chobaqa@
@a k. of plant@|@n'un'aldiwün@
@a k. of salmon@|@azhin@
@a k. of water insect@|@kë'mkän@
@a k. of white-fish@|@mökchakä@
@a k. of willow@|@churumkurë, n'amn'ïkta@
@a lonely deer@|@nuken@
@a road sign@|@lapki, lapku@
@a small bird@|@chipi-chä@
@a small carpet@|@kumalän@
@a small hill@|@chulbikän@
@a wood stack@|@chumche@
@accompany@|@bodo-@
@air@|@bolgo@
@alder@|@dulgik@
@all@|@kükte@
@an ungulate animal@|@bejün@
@angle@|@kocho@
@angry@|@kaki@
@antler@|@lawä@
@arrive@|@eme-@
@arrow@|@n'ur@
@arrow head@|@chalï@
@autumn@|@bolo@
@avenge@|@guncha-@
@awl@|@chiwuke@
@back@|@arkan, darama@
@back of the head@|@gedimuk@
@bad@|@eru@
@bad smell@|@mukën@
@bait@|@be, ïlbï@
@barren of a female deer@|@ketem@
@bastard@|@bulumzhu@
@bat@|@mokolochï, nelbighë@
@bathe@|@elbeskët@
@be a guest@|@n'ime-@
@be born@|@baldi-@
@be smeared with dirt@|@n'angn'a@
@bead@|@chikti@
@beads@|@churikta@
@beak@|@chongkï@
@bear eating ants@|@mödikä@
@bear skin@|@nakita@
@beautiful@|@guzhej@
@become dull@|@bül-@
@become lean@|@chulbi-@
@bell@|@köngäkte@
@belt@|@umul@
@bend@|@mödan, mödar@
@big@|@këter@
@birch bark@|@bukun, chalban, kiwe, kiwë, kïwe@
@birch juice@|@n'uksen@
@bird@|@degi@
@black@|@-rin, kongno-mo@
@blinded@|@mëlkësë@
@blow of wind@|@bolï-@
@blue@|@kuku, kuku-šin@
@blunt@|@mumö@
@boat pole@|@ga-wun@
@bobber@|@kewilde@
@body@|@ille@
@bone@|@giramna@
@bow@|@nemki@
@box@|@kamit@
@brain@|@irge@
@breast@|@dilba, kengtire@
@breast bone@|@bokoli@
@breast vertebra@|@n'agda, n'egde@
@breath@|@erin@
@bride@|@kuwer@
@broken@|@ë'p-@
@brook@|@jakta@
