@English@|@Faroese@
@Author name@|@Jens Nielsen@
@Font@|@Arial\12\Arial\12@
@a little@|@eitt sindur, lítið sindur, sera lítið@
@a lot of@|@mangur, nógvur@
@a.m.@|@fyrrapartin@
@abandon@|@fara frá@
@abash@|@koma í kløtur@
@abashed@|@blúgvur, smæðin@
@abashment@|@trupulleiki@
@ABC@|@stavrað@
@abdomen@|@búkur@
@aberration@|@mistak@
@abet@|@ganga til handa, ørkymla@
@abhorrence@|@andstygd@
@abide@|@bíða, halda fram, halda út, orka, tola, vænta@
@ability@|@heimild, megi, serkunnleiki@
@abject@|@neyðar, neyðars@
@abjure@|@fáa aftur, gera til einkis@
@able@|@málførur, serkønur@
@abnormity@|@óregluleiki@
@abode@|@íbúð@
@abolish@|@gera til einkis@
@abomination@|@andstygd@
@aboriginal@|@innføddur@
@abort@|@miseydnast@
@abortion@|@miseydna@
@abound@|@tyrpast@
@about@|@næstan, rundan um, um leið, viðvíkjandi, viðvíkjandi@
@above@|@upp, uppi, yvir@
@above all@|@serstakliga@
@above-board@|@heiðurligur, heilhugaður, reinmeintur, sannur@
@abrade@|@hølva@
@abrogate@|@gera til einkis@
@abrupt@|@brattur, snubbutur@
@abscess@|@svullur@
@absent onself@|@fara avstað@
@absent-minded@|@burtur í øðrun heimi@
@absolute@|@fullfíggjaður, markleysur@
@absolute ruler@|@einræðisharri@
@absolutely@|@avgjørt@
@absolve@|@fyrigeva@
@absorb@|@drekka í seg, ráða yvir, súgva upp@
@abstract@|@koma til@
@abstracted@|@burtur í øðrun heimi@
@abstruse@|@dularfullur, gátuførur@
@abundant@|@ríviligur@
@abuse@|@brek, gera firtnan, misbjóða, misnýta, skemdarorð, vamm@
@abysmal@|@ræðuligur@
@abyss@|@avgrund@
@academy@|@fróðskaparsetur, málnevnd@
@accede@|@samtykkja@
@accelerate@|@skunda undir@
@accent@|@dentur, herða á ljóð, herðing, herðing, leggja áherðslu á, leggja dent á@
@accentuate@|@herða á ljóð, leggja áherðslu á, leggja dent á@
@accept@|@taka ímóti, taka við@
@accessible@|@atkomandi, komandi at@
@accident@|@vanlukka@
@acclaim@|@fagnaðarróp@
@acclamation@|@fagnaðarróp@
@acclivity@|@brekka, halli@
@accommodation@|@íbúð@
@accomodate@|@enda, laga eftir@
@accompany@|@fylgja@
@accomplish@|@fullføra, náa@
@accomplished@|@gávuríkur, málførur, serkønur@
@according as@|@eftir, sambært@
@according to@|@eftir, sambært@
@accordingly@|@tískil@
@accordion@|@harmonika@
@account@|@frágreiðing, frágreiðing, frásøgn, grund, rokna sum, rokning, søga, trúgva, upplýsing, virða@
@account book@|@listi@
@account for@|@greiða frá@
@accredit@|@kanna, trúgva@
@accretion@|@akurskritt@
@accrue@|@koma av, vaksa, vera ættaður frá@
@accumulate@|@hópast@
@accurate@|@nágreiniligur, neyvur@
@accusative@|@hvønnfall@
@accuse@|@kæra, klaga, leggja undir, melda, stevna@
@accustom@|@plaga, vera vanur@
@ace@|@ess@
@acerbic@|@beiskur@
@acetous@|@súrur@
@ache@|@leingjast eftir, pína, suffa@
@achieve@|@fáa, fullføra, náa@
@achievement@|@gerð@
@acid@|@súrur, sýra@
@acidness@|@glósa, spei@
@acknowledge@|@ganga við@
@acne@|@døkkormur, pirrur, spýggjormur, útbrot@
@acolyte@|@limur, viðhaldsfólk@
@acquaint@|@lata vita, siga frá, upplýsa@
@acquaintance@|@kenningur@
@acquire@|@fáa@
@acquisitive@|@grammur@
@acquit@|@fyrigeva@
@across@|@handan fyri, hinumegin, yvir um@
@act@|@bera fram, fara til verka, gera, gerð@
@act as agent@|@ganga ímillum@
@act for@|@umboða@
@actinium@|@sjónota@
@action@|@ávirkan, bardagi, gerð@
@activate@|@orsaka@
@active@|@arbeiðssamur@
@actor@|@sjónleikari@
@actual@|@veruligur, veruligur@
@actually@|@í grundini, tá ið samanum kemur, veruliga@
@actuate@|@flyta, røra@
@acuity@|@ansur@
@acute@|@listilærdur, sniðfundigur@
@ad@|@lýsing@
@adage@|@orðatak@
@add@|@leggja afturat, leggja saman, telja saman@
@add up@|@leggja saman, telja saman@
@adder@|@høggormur@
@additional@|@hin@
@addled@|@tápuligur@
@address@|@atsetur, uttanáskrift@
@adept@|@meistari, viðhaldsfólk@
@adherent@|@viðhaldsfólk@
@adhesive plaster@|@heftiplástur@
@adieu@|@farvæl@
@adjective@|@lýsingarorð@
@adjourn@|@bíða við, drála@
@adjudication@|@dómur, úrskurður@
@adjunct@|@fullfíggjan, sagnarfylling@
@administration@|@ríkisstjórn, stjórn@
@admire@|@hávirða@
@admit@|@ganga við, játta@
@admonish@|@mæla til, studla@
@adore@|@tilbiðja@
@adorned@|@uppskrýddur@
@adroit@|@dugnaligur, lívligur, vakin@
@adultery@|@hor@
@advance@|@fáa til, framgongd, framstig, gera framstig, hava framgongd, skjóta upp, studla@
@advancement@|@framgongd, framstig@
@advantage@|@fyrimunur, gagn@
@advantageous@|@hollur, nýttigur@
@adventure@|@ævintýrligur@
@adverb@|@hjáorð@
@adversary@|@fíggindi, óvinur@
@advertence@|@ansur@
@advertency@|@ansur@
@advertise@|@boða frá, geva upplýsing, mæla fyri@
@advertisement@|@lýsing@
@advise@|@geva boð, geva ráð, ráða til@
@adze@|@øks@
@aerial@|@kampur@
@affair@|@fall, mál, rættarmál, søk, tilburður@
@affecting@|@hugtakandi@
@affection@|@kærleiki, sinnisrørsla, vælvild@
@affiliate@|@úthandil@
@affiliation@|@úthandil@
@affirm@|@leggja dýran við, vissa um@
@affliction@|@kvøl@
@affluent@|@ríkur@
@afraid@|@ræddur@
@afresh@|@av nýggjum@
@after@|@aftan fyri, eftir@
@afternoon@|@seinnapartur@
@afterwards@|@seinni, síðan@
@again@|@av nýggjum@
@age@|@aldur, tíðarvend@
@agent@|@amboð, fyristøðumaður, umboð, umboðsmaður@
@agglutinate@|@líma saman, loypa saman@
@aggrandize@|@økja, vaksa um@
@agile@|@lívligur, vakin@
@agitate@|@ørkymla, rista, skaka@
@agitated@|@fjálturstungin, fjálturstungin, nervaveikur, nervaveikur@
@agog@|@forvitin@
@agony@|@andaleypsbrot, angist@
@agree@|@samtykkja@
@agreeable@|@fittligur@
@agreement@|@samlyndi@
@ague@|@fepur, hitasótt, hiti@
@ah@|@áh, eya meg@
@aha@|@áh, eya meg@
@ahead@|@fram, frameftir, frammanfyri, frammanundan, fyrst@
@aid@|@ganga til handa@
@AIDS@|@eyðkvæmi@
@ailment@|@sjúka@
@aim@|@kýta seg, sjabba, stevnumið, strevast@
@air@|@luft@
@aircraft@|@flogfar@
@alacrity@|@eldhugi@
@alarm@|@bilsni, ræða, skelkur@
@alas@|@tíverri@
@albumen@|@eggjahvíti@
@ale@|@øl@
@alert@|@lívligur, vakin@
@alga@|@alga, tari@
@alien@|@fremmandur, útlendskur@
@alike@|@líkur@
@all@|@allar, allir, alskyns, alt, alt samalt, øll@
@all about@|@allastaðni@
@all of a sudden@|@brádliga, knappliga@
@all of it@|@alt samalt@
@all over again@|@av nýggjum@
@all the@|@allir, hvør, hvørt@
@all the time@|@í heilum@
@allow@|@sleppa undan@
@alloy@|@málmbland@
@allude@|@benda á, reka fram undir, sipa til@
@alluvion@|@strandvarp@
@alluvium@|@strandvarp@
@almond@|@mandla@
@almost@|@næstan, umleið@
@alms@|@olmussa@
@alone@|@bert, einsamallur, einsliga@
@alphabet@|@stavrað@
@already@|@longu@
@also@|@eisini@
@altogether@|@alt, tilsamans, yvirhøvur@
@always@|@altíð@
@amber@|@rav@
@ambiguous@|@tvískiltur@
@ambitious@|@framasøkin@
@ambush@|@fjala seg, liggja í slysi, lúra@
@America@|@Amerika@
@ammunition@|@lóður@
@amoeba@|@skaploysingur@
@among@|@millum@
@amount@|@samløga, tal, upphædd@
@amusement@|@stuttleika, stuttleiki@
@analyse@|@greina@
@anarchy@|@løgloysi, løgloysi@
@anathema@|@bannseting@
@anchor@|@akker@
@anchorage@|@akkerspláss@
@anchovy@|@ansjós@
@ancient@|@fortíðar-, gamal@
@and@|@og@
@and also@|@síðani@
@and so on@|@og so framvegis@
@anecdote@|@lítil skemtisøga, lítil søga@
@anew@|@av nýggjum@
@angel@|@eingil@
@angelica@|@hvonn@
@anger@|@øði@
@angina@|@hálstak@
@angle@|@horn@
@anguish@|@angist@
@animal@|@djór, djór, dýr@
@ankle@|@økil@
@annex@|@innlima@
@announce@|@boða frá@
@annoyance@|@ekki, gremjan@
@annul@|@gera til einkis@
@anoint@|@mutra, smyrja@
@anomaly@|@óregluleiki@
@another@|@annað fólk@
@another man@|@annað fólk@
@answer@|@svara@
@ant@|@meyra@
@Antarctic Ocean@|@Suðuríshav@
@antenna@|@kampur@
@anthem@|@lovsongur@
@antidote@|@móteitur@
@antique@|@fortíðar-, gamal@
@antiseptic@|@sóttreinsandi@
@anus@|@gat, rumpuhol@
@anvil@|@amboltur, stiði@
@anything@|@okkurt@
@anyway@|@onkursvegna@
@anywhere@|@onkustaðni@
@apart@|@fyri seg@
@apart from@|@umframt@
@apathetic@|@kensluleysur, líkasælur@
@ape@|@apa@
@aperture@|@hol, munni, op@
@apiary@|@býflugugarður@
@apology@|@verjurøða@
