@English@|@Finnish@
@Author name@|@Kimmo Hämäläinen@
@Font@|@Arial\12\Arial\12@
@(no) longer@|@enää@
@(no) thing@|@mitään@
@(not) any more@|@enää@
@(not) ever@|@ikinä, koskaan, milloinkaan@
@(not) once@|@ikinä, koskaan@
@(not) quite@|@juurikaan@
@(not) very@|@juurikaan@
@(still) the same@|@ennallaan@
@... in hand@|@vireillä@
@0@|@nolla@
@1@|@yksi@
@20th@|@kahdeskymmenes@
@24 hours@|@vuorokausi@
@2nd lieutenant@|@vänrikki@
@a@|@(epämääräinen artikkeli), eräs, yksi@
@a bad business@|@ikävä juttu@
@a bad hat@|@lurjus@
@a bit@|@hivenen@
@a certain person@|@eräs@
@a few@|@jokunen@
@a great deal@|@runsaasti@
@a homeless drunkard@|@puliukko, pultsari, spurgu@
@a little@|@hivenen, jonkin verran, rahtu@
@a long way away@|@etäällä@
@a lot@|@kosolti, roima, runsaasti, usea@
@a lot of@|@moni, tukuittain, viljalti, yllin kyllin@
@a man of straw@|@olkinukke@
@a moment ago@|@vasta, äsken@
@a music style@|@humppa@
@a posteriori@|@jälkeenpäin@
@a priori@|@ennalta@
@a tiny fire@|@tuikku@
@a wrong move@|@erehdys@
@aardvark@|@muurahaiskarhu@
@äärivanhoillinen@|@ultraconservative@
@abaft@|@taakse@
@abandon@|@alistua, hillittömyys, hylätä@
@abandoned@|@asumaton, asuttamaton, autio, eloton, hylätty, perijätön@
@abandonment@|@hylkäys@
@abase@|@alentaa, häpäistä, nöyryyttää@
@abasement@|@alennus@
@abashment@|@pula@
@abate@|@asettua, laantua, lauhtua, rauhoittua@
@abatement@|@helpotus, huojennus, lievennys@
@abatis@|@rytövarustus@
@abattis@|@rytövarustus@
@abbess@|@abbedissa@
@abbey@|@apottiluostari, luostari, luostarikirkko@
@abbot@|@apotti@
@abbreviate@|@lyhentää@
@abbreviation@|@lyhennys, lyhentäminen@
@ABC-book@|@aapinen, aapiskirja@
@abdicate@|@luovuttaa@
@abdomen@|@masu (childish), takaruumis, vatsa@
@abduce@|@esittää@
@abduct@|@kidnapata, siepata@
@abduction@|@sieppaus@
@abend@|@virhelopetus@
@aberrance@|@poikkeama@
@aberrancy@|@poikkeama@
@aberration@|@erehdys, mielenhäiriö, poikkeama, virhe, vääristymä@
@abet@|@kannustaa, kiihottaa, yllyttää, ärsyttää@
@abhor@|@inhota, inhottaa, kammoksua, kammota@
@abhorrence@|@inho, kammo@
@abhorrent@|@vastenmielinen@
@abidance@|@asuminen@
@abide@|@kestää, kärsiä, odottaa, pysyä, sietää, viipyä@
@abide by@|@kunnioittaa@
@abiding@|@asuminen@
@ability@|@kyky, kyvykkyys, lahjakkuus, pätevyys, taito@
@abject@|@alhainen, alistunut, alistuva, halpa, kurja, kurja, nöyrä, turmeltunut, viheliäinen@
@abjure@|@perua, peruuttaa, vetää takaisin@
@ablactate@|@vieroittaa@
@ablate@|@sulaa@
@ablative@|@ablatiivi@
@ablaze@|@tulessa@
@able@|@etevä, kykenevä, kyvykäs, pystyvä, pätevä@
@able-bodied@|@roteva, vahva, voimakas@
@abloom@|@kukassa, kukkiva, täydessä kukassa@
@ably@|@taitaen, taitavasti, taiten@
@abnormal@|@epänormaali, epäsovinnainen, epäsäännöllinen, epätavallinen, epätavanomainen, epätyypillinen, poikkeava, poikkeuksellinen, säännötön@
@aboard@|@mukana@
@abode@|@asuintila, asunto, kotipaikka@
@abode of evil spirits@|@horna@
@abolish@|@lakkauttaa, lopettaa@
@abolition@|@lakkautus@
@a-bomb@|@atomipommi, ydinpommi@
@abominable@|@hirvittävä, ikävä, kauhea, sanomaton, vastenmielinen@
@abominate@|@inhottaa, kammoksua@
@abomination@|@hirmuteko, inho, kammo@
@aboriginal@|@kanta-@
@aborigine@|@alkuasukas@
@abort@|@epäonnistua, surkastua, virhelopetus@
@abortion@|@abortti, raskauden keskeytys@
@abortive@|@epäonnistunut, tulokseton, turha@
@abortive fetus@|@keskonen@
@abounding@|@runsas@
@about@|@-sta, -stä, hujan hajan, jotain, korvilla, kutakuinkin, likellä, lähellä, lähistöllä, miltei, noin, siellä täällä, suunnilleen, tienoilla, ympärillä@
@about it@|@siitä@
@about that@|@siitä@
@above@|@ylhäällä, ylhäältä, yllä, yläpuolella@
@above all@|@ensi sijassa, etenkin@
@above-board@|@rehellinen@
@abradability@|@hioutuvuus@
@abradant@|@hioma-aine@
@abrasion@|@hankautuma, kuluma, naarmu@
@abrasive@|@hankausaine, hioma-aine, hiova, raapiva, raastava, terävä@
@abrasive disc@|@hiomalaikka@
@abrasive material@|@hioma-aine@
@abrasive paper@|@hiomapaperi@
@abrasive wheel@|@hiomalaikka@
@abreast@|@rinnakkain, rinta rinnan@
@abridge@|@lyhentää, pätkäistä@
@abridged@|@lyhennetty, lyhensi, lyhensivät@
@abridged version@|@lyhennelmä@
@abridgement@|@lyhennelmä@
@abridgment@|@lyhennelmä@
@abroad@|@meren takana, ulkomailla, ulkomaille@
@abrupt@|@epäystävällinen, jyrkkä, tyly, töykeä, yllättävä, äkillinen, äkkinäinen@
@abruptly@|@yht'äkkiä, yhtäkkisesti, yhtäkkiä, yllättäen, äkillisesti, äkisti, äkkiä@
@abscess@|@paise@
@abscessus@|@paise@
@abscissa@|@vaakaviiva@
@abscond@|@karata, livahtaa, paeta, riehaantua@
@absence@|@kato, poissaolo@
@absent@|@ilman, poissa, poissaoleva, puutteellinen@
@absentee@|@poissaolija@
@absentminded@|@poissaoleva@
@absent-minded@|@hajamielinen@
