@English@|@French (History)@
@Author name@|@Freelang@
@Font@|@Arial\12\Arial\12@
@Abbasid@|@Abbasside@
@Abdera@|@Abdère@
@Absalom@|@Absalon@
@abstract(art)@|@abstrait(art)@
@Abu Bakr@|@Abou-Bakre@
@Abyssinia@|@Abyssinie, Ethiopie@
@Abyssinian@|@abyssin@
@Acadia@|@Acadie@
@Acarnania@|@Acarnanie@
@Achab@|@Achab@
@Achaea@|@Achaïe@
@Achaia@|@Achaï@
@Achilles@|@Achille@
@Actaeon@|@Actéon@
@Adherbal@|@Adhérbal@
@Admetus@|@Admète@
@Adrianople@|@Andrinople@
@Aecus@|@Éaque@
@Aegina@|@Égine@
@Aegisthus@|@Égisthe@
@Aelianus@|@Élien@
@Aemilian@|@Émilien@
@Aemilius@|@Émile@
@Aeneas@|@Enée, Énée@
@aeolis@|@Éole@
@Aeolus@|@Eole@
@Aeschylus@|@Eschyle@
@Aesculapius@|@Esculape@
@Aesop@|@Ésope@
@Agamemnon@|@Agamemnon@
@Agesilaus@|@Agésilas@
@Agincourt@|@Azincourt@
@Agrigentum@|@Agrigente@
@Agrippina@|@Agrippine@
@Ahura Mazda@|@Ahura Mazda@
@Aïda@|@Aïda@
@Ajax@|@Ajax@
@Akhenaton@|@Akhenaton@
@Akkadian@|@Akkadien@
@Aladdin@|@Aladin@
@Alaric@|@Alaric@
@Alba@|@Albe@
@Albanian(ling.)@|@Albanais(lang.)@
@Albigensian crusade@|@Croisade des Albigeois@
@Alcaeus@|@Alcée@
@Aleksandr Nevski@|@Alexandre Nevsky@
@Aleksandr(Prince of Moscow)@|@Alexandre(Prince de Moscou)@
@Aleksei(Czar)@|@Alexie (Tsar)@
@Alexander@|@Alexandre@
@Alexandria@|@Alexandrie@
@allegorical@|@allégorique@
@Allied Occupation@|@Occupation Allié(l')@
@Almohad@|@Almohade@
@Almohad Empire@|@Empire des Almohades@
@Almoravids@|@Almoravides@
@Alpheus@|@Alphée@
@Altai Monts@|@L'Altaï, Monts Altaï(les)@
@Amazon@|@amazone@
@Ammianus@|@Ammien Marcelin@
@Amorite@|@Amorite@
@Anastasius@|@Anastase@
@Anatolia@|@Anatolie@
@Anaxagoras@|@Anaxagore@
@Anchises@|@Anchise@
@Ancyra@|@Ancyre@
@Andalusia@|@Andalousie@
@Andalusian@|@andalou@
@Andrei III@|@André III@
@Andromache@|@Andromaque@
@Andromeda@|@Andromède@
@Anglican@|@anglican@
@Anglo-Egyptian Sudan@|@Soudan Anglo-Égyptien@
@Anglo-French@|@Anglo-Français@
@Anglo-Indian@|@Anglo-Indien@
@Anglo-Irish@|@Anglo-Irlandais@
@Anglo-Latin@|@Anglo-Latin@
@Anglo-Norman@|@Anglo-Normand@
@Anglo-Saxon@|@anglo-saxon@
@Anglo-Saxon(ling)@|@Anglo-Saxon(lang.)@
@Anna Ioannovna@|@Anne(Tsarevna)@
@annexation(hist.)@|@annexion@
@Antaeus@|@Antée@
@Antigonus@|@Antigone@
@Antioch@|@Antioche@
@Antiochus III@|@Antiochus III@
@Antisthenes@|@Antisthène@
@Antonines@|@Antonins@
@Antoninus@|@Antonin@
@Antonius Pius@|@Antonin le Pieux@
@Antony@|@Antoine@
@anu@|@anou@
@Apennines@|@Apennins@
@Aphrodite@|@Aphrodite@
@Apollo@|@Apollon@
@Apollodorus@|@Apollodore@
@Appian@|@Appien@
@Apuleius@|@Apulée@
@Apulia@|@Pouille, Pouilles@
@Aqueduct@|@Aqueduc@
@Aquileia@|@Aquilée@
@Arab@|@Arabe@
@arabesque@|@arabèsque@
@Arabia@|@Arabie@
@Arabia Petraea@|@Arabie Pétrée(l')@
@Arab-Israeli Wars@|@Guerres Israëlo-Arabe@
@Aramaic@|@araméen@
@Arbela@|@Arbèles@
@Arcadia@|@Arcadie@
@Arcesilaus@|@Arcésilas@
@Archiduke Maximillian@|@Archiduc Maximillien(l')@
@Archimedes@|@Archimède@
@Argolis@|@Argolide, Argolide@
@Ariadne@|@Ariane@
@Ariansim@|@Arianisme@
@Ariovistus@|@Arioviste@
@Aristarchus@|@Aristarches@
@Aristophanes@|@Aristophane@
@Aristotle@|@Aristote@
@Armenia@|@Arménie@
@Armenian@|@Arménien@
@Armenian(ling.)@|@Arménien@
@Armistice@|@Armistice@
@Armorica@|@Armorique@
@Art Nouveau@|@Art Nouveau@
@Artabanus@|@Artaban@
@Artemisia@|@Artémise@
@Aryan@|@aryen@
@Ascalon@|@Ashkalon@
@Ascanius@|@Ascagne@
@Ashanti@|@Achantis@
@Asia@|@Asie@
@Asia Minor@|@Asie Mineure@
@Asian@|@Asiatique@
@Asoka@|@Açoka@
@Asoka's Empire@|@L'Empire D'Açoka@
@Assisi@|@Assise@
@Assyria@|@Assyrie@
@Assyrian@|@assyrien@
@Assyrian(ling.)@|@Assyrien(lang.anc.)@
@astronomy@|@astronomie@
@Atalanta@|@Atalante@
@Athalia@|@Athalie@
@Athanasius@|@Athanase@
@Athena@|@Athéna@
@Athenian@|@athénien@
@Athens@|@Athènes@
@Atlantis@|@Atlantide@
@Atlas@|@Atlas@
@Atreus@|@Atrée@
@Attalus@|@Attale@
@Attica@|@Attique@
@Augeas@|@Augias@
@Augustus@|@Auguste@
@Aulis@|@Aulide@
@Aulus Gellius@|@Aulu-Gelle@
@Aurelian@|@Aurélien@
@Ausonia@|@Ausonie@
@Ausonius@|@Ausone@
@australopithecus@|@australopithèque@
@Austrasia@|@Austrasie@
@Averno@|@Averne(l'), Averne(l')@
@Avestan(ling.)@|@Avestan(lang.)@
@Avicenne@|@Avicenne@
@Axum@|@Axoum@
@Aztec@|@aztèque@
@Baal@|@Baal@
@Babylonian@|@Babylonien, Babylonien@
@Babylonian(ling)@|@Babylonien@
@Bactra@|@Bactre@
@Bactria@|@Bactriane@
@Baetica@|@Bétique(la)@
@Baltic(lang.)@|@Baltique(langue)@
@Balto-Slavic@|@Balto-Slave@
@Barbarossa@|@Barberousse@
@Barca@|@Barca@
@Bari@|@Bari@
@Barka@|@Barka@
@Baroque@|@Baroque@
@Batavia@|@Batavia@
@Bathsheba@|@Bethsabée@
@Baton Rouge@|@Baton-Rouge:fondé en 1803@
@Battle of Actium@|@Bataille d'Actium@
@Battle of Aegates Islands@|@Bataille des Îles Aégates -240@
@Battle of Allia 390BC@|@Bataille d'Allalia  390.av.jc@
@Battle of Beneventum 275 BC@|@Bataille de Benevent 275 av.jc@
@Battle of Cannae 216 BC@|@Bataille de Cannes 216 av.jc, Cannes@
@Battle of Chaeronea@|@Bataille de Chéronée@
@Battle of Drepanum 249 BC@|@Bataille de Drépante 249 av.jc@
@Battle of Heraclea 280 B.C@|@Bataille d'Héraclée 280 av.jc@
@Battle of Horseshoe(1814)@|@Bataille de Horseshoe@
@Battle of Lake Trasimene 217BC@|@Bataille du lac Trasimène, Bataille du Trasimène@
@Battle of Lepanto 1571@|@Bataille de Lépante(la)@
@Battle of Marathon 490 BC@|@Bataille de Marathon(la)@
@Battle of Metaurus 207 BC@|@Bataille du Métaure 207 av.jc@
@Battle of Plassey 1757@|@Bataille de Plassey@
@Battle of Sedan 1870@|@Bataille de Sedan(la)@
@Battle of Tannenberg 1914@|@Bataille de Tannenberg(la)@
@Battle of Thapsus 46 BC@|@Bataille de Thapse 46 av.jc, Thapse@
@Battle of the Marne 1914@|@Bataille de la Marne(la)@
@Battle of Trafalgar 1805@|@La Bataille de Trafalgar, Trafalgar@
@Beelzebub@|@Belzébuth@
@Belisarius@|@Bélisaire@
@Bellona@|@Bellone@
@Belshazzar@|@Balthazar@
@Bengali(ling.)@|@Bengali(lang.)@
@Berlin Congress 1878@|@Congrès de Berlin@
