@English@|@French@
@Author name@|@Luc Peyrebrune@
@Font@|@Arial\12\Arial\12@
@} [a surface]@|@peinture {f} [surface peinte]@
@} [a work]@|@peinture {f} [travail de ~]@
@A {n} [MUS]@|@la {m} [MUS]@
@A {n} [Roman alphabet]@|@A {m} [alphabet latin]@
@a latere [adj phr]@|@a latere [REL‚ loc adj]@
@a latere [adv phr]@|@a latere [REL‚ loc adv]@
@A major {n} [MUS]@|@la {m} majeur [MUS]@
@A minor {n} [MUS]@|@la {m} mineur [MUS]@
@a priori [adj]@|@a priori [loc adj], à priori [loc adj‚ RO]@
@a priori [adv]@|@a priori [loc adv], à priori [loc adv‚ RO]@
@a.m. [abbr. of ante meridiem]@|@matin; du ~ [loc adv]@
@A; to give the ~ [MUS]@|@la; donner le ~ [MUS]@
@Aachen {n}@|@Aix-la-Chapelle {f}@
@Aalst [Flemish town]@|@Alost {m} [Flandre orientale]@
@aardvark {n}[ZOOL‚ ant bear ¤]@|@cochon {m} de terre [ZOOL], oryctérope {m} [ZOOL]@
@Aargau [canton in Switzerland]@|@Argovie {f} [canton suisse]@
@ABA‚ abbr. of abscisic acid@|@ABA‚ abr. d'acide abscissique@
@abacus {n (-ci or -cuses)}@|@abaque {m} [boulier], boulier {m}, tablette {f} à calculer@
@abacus{n(-ci or -cuses)}[ARCH]@|@abaque {m} [ARCH], tailloir {m} [ARCH]@
@abaft [adv]@|@arrière; sur l'~ [loc adv], arrière; vers l'~ [loc adv]@
@abalone {n} [ZOOL]@|@ormeau {m} [ZOOL]@
@abandon [v tr]@|@abandonner [v tr‚ renoncer à], délaisser [v tr], renoncer à [v tr ind]@
@abandon {n}@|@désinvolture {f}@
@abandoned [adj]@|@abandonné(e) [adj‚ déserté], abandonné(e) [adj‚ esseulé]@
@abandoning [pp]@|@abandonnant [pp]@
@abandonment {n}@|@abandon {m} [renoncement]@
@abandonment of service {n}@|@abandon {m} de poste@
@abase [v refl; to ~ oneself]@|@humilier; s'~ [v pr]@
@abase [v tr]@|@humilier [v tr], rabaisser [v tr]@
@abased [adj]@|@humilié(e) [adj]@
@abasement {n}@|@abattement {m} [accablement], humiliation {f}@
@abash [v tr]@|@confondre [v tr‚ LITTER], décontenancer [v tr]@
@abashed [adj]@|@confus(e) [adj], honteux (-euse) [adj]@
@abashedly [adv]@|@confusément [adv]@
@abashment {n}@|@confusion {f} [perplexité], embarras {m} [perplexité]@
@abate [v intr]@|@baisser [v intr], diminuer [v intr], faiblir [v intr]@
@abated [adj]@|@diminué(e) [adj]@
@abatement {n}@|@diminution {f}, rabais {m}, réduction {f}, remise {f} [rabais]@
@abbatial [adj]@|@abbatial [adj]@
@abbé {n} [in France]@|@abbé {m}@
@abbess {n}@|@abbesse {f}@
@abbey {n}@|@abbaye {f}@
@abbot {n}@|@abbé {m}@
@abbreviate [v tr]@|@abréger [v tr‚ écourter], raccourcir [v tr]@
@abbreviated [adj]@|@abrégé(e) [adj]@
@abbreviation {n} [short form]@|@abréviation {f} [sigle], sigle {m}@
@abbreviation {n} [the process]@|@raccourcissement {m}@
@abdicate [v tr]@|@abdiquer [v tr], renoncer à [v tr ind]@
@abdication {n}@|@abdication {f}@
@abdomen {n} [ANAT‚ Insects]@|@abdomen {m} [ANAT‚ Insectes]@
@abdomen {n} [ANAT‚ Mammals]@|@abdomen {m} [ANAT‚ Mammifères], ventre {m}@
@abdominal [adj‚ ANAT]@|@abdominal(e) [adj‚ ANAT]@
@abdominal cavity {n} [ANAT]@|@cavité {f} abdominale [ANAT]@
@abdominal pain {n}@|@douleur {f} abdominale@
@abduct [v tr‚ JUR]@|@enlever [v tr] (une personne), ravir [v tr; LITTER‚ enlever]@
@abducted [adj]@|@enlevé(e) [adj‚ kidnappé]@
@abducting {n}@|@enlèvement {m} [rapt], kidnapping {m}, rapt {m}@
@abduction {n} [JUR]@|@enlèvement {m} [rapt], kidnapping {m}, rapt {m}@
@abductor [adj‚ ANAT]@|@abducteur [adj‚ ANAT]@
@abductor {n} [ANAT]@|@abducteur {m} [ANAT]@
@abductor {n} [JUR]@|@kidnappeur {m}, ravisseur {m}@
@abed [adv]@|@alité(e) [adj], lit; au ~ [adj‚ alité]@
@abelmoschus {n} [BOT]@|@ambrette {f} [BOT]@
@aberrance {n}@|@anomalie {f}@
@aberrant [adj]@|@aberrant(e) [adj‚ anormal], anormal(e) [adj]@
@aberration {n}@|@aberration {f}@
@aberration {n} [BIO]@|@aberration {f} [BIO], déviation {f} [BIO]@
@abet [v tr]@|@encourager [v tr], soutenir [v tr‚ défendre]@
@abetter {n}@|@complice {m/f}@
@abetting {n}@|@complicité {f}, instigation {f}@
@abeyance {n}@|@suspension {f} d'activité@
@abeyance; in ~ [adj phr]@|@désuétude; en ~ [loc adj], inappliqué(e) [adj]@
@abeyant [adj]@|@attente; en ~ [loc adj]@
@abhor [v tr]@|@abhorrer [v tr], abominer [v tr], détester [v tr], haïr [v tr], horreur; avoir en ~@
@abhorrence {n}@|@atrocité {f}, haine {f} [aversion], horreur {f} [répugnance]@
@abhorrent [adj]@|@hideux (-euse) [adj‚ ignoble], ignoble [adj], odieux (-euse) [adj‚ ignoble]@
@abidance {n}@|@respect {m}, séjour {m}, soumission {f}@
@abide [v intr]@|@demeurer [v intr], rester [v intr]@
@abide [v tr]@|@endurer [v tr]@
@abide by [v tr]@|@conformer; se ~ à [v pr], fidèle; rester ~ à, respecter [v tr]@
@abide by it@|@conformer; s'y ~@
@abiding [adj]@|@constant(e) [adj]@
@Abidjan [town in Ivory Coast]@|@Abidjan [ville ivoirienne]@
@abietic acid {n}@|@abiétique; acide {m} ~@
@abietin {n}@|@abiétine {f}@
@abietinic acid {n}@|@abiétique; acide {m} ~@
@ability {n}@|@aptitude {f}, capacité {f}, dispositions {fpl} [aptitudes], faculté {f}@
@ability to pay {n}@|@solvabilité {f}@
@abiogenesis {n}@|@abiogenèse {f}@
@abiogenic [adj]@|@abiogène [adj]@
@abiosis {n}@|@abiose {f}@
@abiotic [adj]@|@abiotique [adj]@
@abiuret [adj]@|@biuret; négatif (-ive) au ~@
@abject [adj‚ despicable]@|@abject(e) [adj]@
@abject [adj‚ miserable]@|@misérable [adj]@
@abject [adj‚ self-abasing]@|@servile [adj]@
@abject apology {n}@|@servile; excuse {f} ~@
@abject poverty {n}@|@extrême; pauvreté {f} ~@
@abjection {n}@|@abjection {f}@
@abjuration {n}@|@abjuration {f}@
@Abkhazia {n}@|@Abkhazie {f}@
@Abkhazian [adj]@|@abkhaze [adj]@
@Abkhazian {n}@|@Abkhaze {m/f}@
@ablastin {n}@|@ablastine {f}@
@ablation {n} [ASTR]@|@ablation {f} [ASTR]@
@ablation {n} [GEOL]@|@ablation {f} [GÉOL]@
@ablation {n} [MED]@|@ablation {f} [MÉD]@
@ablative [adj‚ ASTR]@|@ablatif [adj‚ ASTR]@
@ablative [adj‚ LING]@|@ablatif; à l'~ [adj‚ LING]@
@ablative {n} [LING]@|@ablatif {m} [LING]@
@ablaze [adv]@|@feu; en ~ [loc adv], flammes; en ~ [loc adv]@
@ablaze with light [adj phr]@|@resplendissant(e) de lumière@
@able [adj]@|@apte [loc adj], capable [adj], compétent(e) [adj]@
@able work {n}@|@fait; travail bien ~, talent; œuvre {f} de ~@
@able; being ~ to@|@pouvant [pp]@
@able; to be ~ to@|@capable; être ~ de, pouvoir [v tr‚être capable de], savoir [v tr‚ capable de‚ BEL]@
@able-bodied [adj]@|@robuste [adj], sain(e) [adj], santé; en bonne ~ [loc adj]@
@abloom [adj]@|@fleur; en ~ [loc adj]@
@abluent [adj]@|@détergent(e) [adj]@
@abluent {n}@|@détergent {m}@
@ablution {n} [REL]@|@ablution {f} [REL]@
@ablution {n} [toilet]@|@ablution {f} [toilette]@
@ablutions; to perform one's ~@|@ablutions; faire ses ~@
@ably [adv]@|@compétence; avec ~ [loc adv]@
@abnegate [v tr]@|@abnégation; agir avec ~, dévouer; se ~ [v pr]@
@abnegation {n}@|@abnégation {f}@
@abnormal [adj]@|@aberrant(e) [adj‚ anormal], anormal(e) [adj]@
@abnormality {n}@|@anomalie {f}, anormalité {f}, bizarrerie {f}, difformité {f}@
@abnormally [adv]@|@anormalement [adv]@
@aboard [adv]@|@bord; à ~ [loc adv]@
@aboard ship@|@bord; à ~ du bateau@
@abode {n}@|@demeure {f}@
@abolish [v tr]@|@abolir [v tr], abroger [v tr], annuler [v tr]@
@abolition {n}@|@abolition {f}, abrogation {f}, annulation {f}@
@abolitionism {n}@|@abolitionnisme {m}, antiesclavagisme {m}@
@abolitionist {n}@|@abolitionniste {m/f}, antiesclavagiste {m/f}@
@abominable [adj]@|@hideux (-euse) [adj], horrible [adj], odieux (-euse) [adj]@
