@English@|@Frisian@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@a@|@ien, immen, in, yn@
@a few@|@in pear@
@a little@|@in bytsje, snjitsje@
@a lot@|@in protte@
@abandon@|@ferlitte@
@abandoned@|@skamteleas@
@abase@|@fernederje@
@abasement@|@fernedering@
@abashed@|@ferlegen@
@abate@|@ferswakje@
@abatement@|@efterútgong@
@abbreviate@|@bekoartsje, ferkoartsje@
@abbreviation@|@ôfkoarting@
@ABC@|@abee@
@abdomen@|@liif@
@abele@|@abeelje, abeeljebeam@
@aberrance@|@ôfdwale@
@aberration@|@fersin, flater@
@abet@|@oansjasje@
@abhor@|@ferspuie@
@abhorrence@|@grize, ôfgriis, ôfskrik@
@abhorrent@|@in griis, ôfgryslik@
@abide@|@biidzje, ferwachtsje, lijen, ôfwachtsje, wachtsje@
@ability@|@betûftens, fermogen, kundigens, macht@
@abjuration@|@ôfswarren@
@abjure@|@annulearje, ôfsizze, ôfswarre, skrasse@
@able@|@betûft, kundich@
@abode@|@went, wente@
@abolish@|@annulearje, ôfsizze, ôfskaffe, skrasse@
@abominable@|@in griis@
@abominate@|@ferspuie@
@abomination@|@grize, ôfgriis, ôfskrik@
@abort@|@fale, feile, mislearje@
@abortion@|@mislearring@
@abortive@|@idel@
@about@|@neistenby, oanbelangjende, oer, sawat@
@about-face@|@feroaring@
@above@|@benoarden, noard fan@
@above-board@|@earlik@
@abrade@|@skave@
@abrasion@|@skram@
@abreact@|@ôfreagearje@
@abridge@|@begrinzgje, bekoartsje, ferkoartsje@
@abridgement@|@gearfetting@
@abroad@|@bûten@
@abrogate@|@annulearje, ôfsizze, skrasse@
@abscess@|@swolm@
@absence@|@brekme, ôfwêzigens@
@absent@|@ôfwêzich@
@absolute@|@abslút, alles omfiemjend, grinsleas, hiel, totaal@
@absolute ruler@|@allinnehearsker, despoot@
@absolution@|@ferjouwing@
@abstract@|@gearfetsje, gearfetting, ôfnimme@
@abstraction@|@dieverij@
@absurd@|@absurd, healwiis@
@abundance@|@rikens, rykdom@
@abuse@|@misbrûk, misbrûke, mislediging, misledigje, rache@
@abut@|@neistlizze@
@abysmal@|@hopeleas@
@abyss@|@djipte, ôfgrûn@
@academic@|@akademikus, akademysk, studint@
@academy@|@akademy@
@accelerate@|@ferfoarlikje@
@accent@|@aksint@
@accept@|@oanfurdigje, oannimme@
@acceptable@|@te oanfurdigjen@
@acceptance@|@oanfurdigjen@
@access@|@oandrang, oandrift, oanfal, oerhaal, raam, tagong@
@access (1)@|@oandriuw@
