@English@|@Fulfulde@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@10 francs@|@sunku didi@
@1104@|@ujineere e temerre et nay@
@15 francs@|@sunku tati@
@20 francs@|@sunku nay@
@25 francs@|@sunku jowi@
@30 francs@|@sunku joweego@
@35 francs@|@sunku joweedidi@
@4 lemons for 5 francs@|@Leemuuje ney sunku@
@40 francs@|@sunku joweetati@
@45 francs@|@sunku joweenay@
@5 eggs for 40 francs@|@Geeraade joweego sunku sunku@
@5 francs@|@sunku gootel@
@50 francs@|@sunku sappo@
@a beautiful horse@|@puccu nboodngu@
@a coin@|@siisi@
@A deaf-mute@|@muukaajo@
@A Hangar@|@dank@
@A heap of trash@|@jiddere@
@A mad@|@ginnado@
@A net of sin@|@zubawol@
@a pigeon@|@poola@
@A poor@|@laafudo@
@A snake@|@nboodi@
@A spear@|@labbo@
@A thorn@|@gi'al@
@An elm@|@ganki@
@be done@|@Vendugo@
@Beard@|@wakkude@
@Because we know@|@ngam 'en 'anndi@
@Bring me@|@o don hokka mmi, waddan am@
@But@|@ammaa@
@Butter@|@leebol@
@Come here@|@war haa do@
@Come therefore@|@war le@
@District@|@fattude@
@Don't come here@|@taa war haa do@
@don't enter@|@taa taa naastu@
@Don't leave@|@taa dillu, taa taa dillu@
@Don't touch me there!@|@Wota memam dhon!@
@Each prefers its village@|@koomoy yidi wuro mum@
@eat@|@ñaam@
@eight@|@jeetati, njoweetato, njoweetaton@
@eight hundred@|@temedde jeetati@
@eight thousand@|@ujine jeetati@
@eighteen@|@sappo e jeetati@
@eighty@|@cappande jeetati, cappande jeetti, hemere bambara@
@eleven@|@sappo e go'o@
@Enter two by two@|@Naaste dido dido@
@fatigue@|@comri@
@fifteen@|@sappo e jowi@
@fifty@|@cappande jowi@
@five@|@jowi, njowo, njowon@
@five children@|@bikkon njowon@
@five hundred@|@temedde jowi, ujine jowi@
@five thousand@|@ujine jowi@
@Food is cooked@|@Gniri bendi@
@For nothing@|@meere@
@forty six@|@cappande nay e jeego@
@four@|@nay, nayo, nayon@
@four hundred@|@temedde nay, ujine nay@
@four thousand@|@ujine nay@
@fourteen@|@sappo e nay@
@fourty@|@cappande nay@
@Friday@|@jum'aare@
@give@|@hokku@
@Give me@|@hokk am, ndaa ko nbii don dam, ndokkee dam, o hokkat am@
@Give to him@|@hokku mo@
@Go you of it@|@dillu@
@half@|@reeta@
@he@|@himo, kanko, mo, o, omo@
@he asked@|@O yami@
@he broke@|@O fusi@
@he came@|@O wari@
@he comes@|@O don wara@
@he cultivated@|@O remi@
