@English@|@Gagauz@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@a beauty@|@dilber@
@a fine@|@ceremä@
@a little@|@az@
@a man's wife's younger sister@|@baldysqa@
@a mass of hair@|@japä@
@a pinch@|@chimdik@
@a relative by marriage@|@dünür@
@abandon@|@qoj-@
@abhor@|@ïren-@
@above@|@juqar, juqary, yukari@
@absolute@|@mutlak@
@abundant@|@bol@
@acid@|@aži@
@acrobat@|@cambaz@
@across@|@capraz@
@add to@|@daq-@
@additionally@|@tä@
@admonition@|@nasaat, tembih@
@advance@|@pesin@
@after@|@sonu@
@again@|@genä@
@aged@|@kart@
@aim of a gun@|@këz@
@air@|@hava@
@Albanian@|@arnaut@
@alive@|@diri@
@all@|@hep@
@almond@|@badem@
@alone@|@yalniz@
@also@|@-jlan@
@amber@|@kehlibar@
@amble@|@ieš-@
@an ending of the 2d person@|@-n@
@ancient@|@ieski@
@and@|@hem@
@anecdote@|@fikra@
@angel@|@melek@
@anger@|@üfkä, üfke@
@angle@|@bužaq@
@animal@|@hayvan@
@ankle-bone@|@topuq@
@answer@|@cuvap@
@ant@|@karimca, qarymže@
@anvil@|@örs@
@apple@|@alma@
@approximative@|@kadar@
@area@|@alan@
@arm@|@kol, qol@
@armpit@|@koltuk@
@arrange@|@jap-@
@arrogance@|@kurum@
@arrow@|@ok, oq@
@ash@|@kül@
@ashes@|@kül@
@attention@|@smirna@
@August@|@avgust@
@autumn@|@güz@
@aware@|@saq@
@awl@|@biz@
@axis@|@dingil@
@axle@|@dingil@
@baby@|@yavru@
@back@|@ärd, arka, arqa, geeri, gëri, kic@
@back of the neck@|@jensä@
@backside@|@göt, ters@
@bad@|@bet, fena, kötü@
@bag@|@canta, cual, sumka@
@balance@|@terezä@
@bald@|@kel@
@ball of wool@|@jumaq@
@band@|@tayfa@
@barber@|@berber@
@bare@|@yalin@
@bark@|@kabuk@
@barley@|@arpa@
@barn@|@ambar, dam@
@barren@|@kisir@
@barren cow@|@qysyr@
@barren mare@|@qysyraq@
@basket@|@sepet@
@bat@|@jarasa@
@bath@|@baya, hamam@
@bayonet@|@süngü@
@be brought together@|@qauš-@
@be similar@|@benze-@
@beads@|@bonžuq@
@beam@|@kiris, mertek@
@bean@|@fasülä@
@bear@|@ayi@
@beard@|@sakal@
@beautiful@|@gözäl@
@beaver@|@kunduz@
@because@|@cünkü, icin@
@bed@|@pat, yatak@
@bedding under the saddle@|@chapraq@
@bed-sheet@|@carsaf@
@bee@|@ari, ärÿ, kuan@
@beetle@|@böcek@
