@English@|@Gbari@
@Author name@|@Freelang@
@Font@|@Arial\12\Arial\12@
@(Belenogaster griseus)@|@gnamignami  (n.)@
@(Borassus aethiopicum)@|@gbago  (n.)@
@(ceiba pentandra)@|@rimi  (n.)@
@(cyperus esculentus)@|@epwa  (n.)@
@(Dioscorea alata)@|@shyama  (n.)@
@(generic) (Dioscorea guineensis)@|@etsi  (n.)@
@(Isoberlinia doka)@|@sori  (n.)@
@(Lepus crawshayi)@|@eze  (n.)@
@(Macrotyloma geocarpa)@|@shikwuya-knu  (n.)@
@(Manihot esculenta)@|@longo  (n.)@
@(Milvus migrans)@|@ezin  (n.)@
@(Prosopis africana)@|@kari  (n.)@
@able: be ~@|@cin..bo  (v.)@
@above the thigh@|@baga (n.)@
@abscess on the body@|@nyapina  (n.)@
@abundant: be ~@|@cezna (v.)@
@abuse@|@ekpnwi   (n.)@
@acca (Digitaria exilis)@|@fulu  (n.)@
@accelerate@|@gi...'na  (v.p.)@
@accept@|@goye  (v.)@
@accept to agree to assent@|@gogbe  (v.)@
@accomplished singer@|@jyanyikwe  (n.)@
@accomplished singer. cf. jyanyikwe@|@ejya (n.)@
@accustomed to: become ~@|@dawye  (v.)@
@act of saving@|@egni  (n.)@
@action@|@eºo  (n.)@
@action of going@|@golo  (n.)@
@add to@|@kpe  (v.)@
@add to (countable objects)@|@knyi..ºe  (v.)@
@add to (uncountable things)@|@to..ºe  (v.)@
@addition given when you buy smth.@|@ece  (n.)@
@address of respect for elders or wealthy people@|@zagwe   (n.)@
@admonish@|@gbetu  (v.)@
@adolescent@|@pyitse (n.)@
@adore@|@ye  (v.)@
@adultery@|@koci  (a.)@
@advance@|@bedyi (v.)@
@advantage@|@ampani  (n.)@
@adze used by woodcarvers@|@kare  (n.)@
@aerial yam (Dioscorea bulbifera)@|@kadun  (n.)@
@aeroplane@|@eya shenzhi  (n.)@
@affection@|@wyegma  (n.)@
@affirmation@|@alikewali (n.)@
@affluence@|@azeki  (n.)@
@afternoon@|@wyangosa  (n.)@
@afterwards@|@eznugbeo  (adv.)@
@again@|@de  (adv.)@
@agama lizard@|@wyeknu  (n.)@
@aggressive@|@esobeje  (a.)@
@air@|@ese  (n.)@
@alcoholic drink@|@ede  (n.)@
@algae@|@edyi  (n.)@
@alkaline mixture@|@tabwa  (n.)@
@all@|@fwyu  (a.), kyikyikiri  (a.), maama  (a.)@
@allege (s.t. against s.b.)@|@kebo  (v.)@
@alligator pepper (Aframomum melegueta)@|@yaga  (n.)@
@allow to lie@|@fwazhi  (v.)@
@-also eda@|@gada  (n.)@
@aluminium@|@ebwa  (n.)@
@Amaranthus sp. (Spiny amaranth)@|@efya'kna (n.)@
@amaranthus species@|@nasara'fya (n.)@
@Amaranthus spp.@|@efya  (n.)@
@amount of money contributed to an assoc.@|@edu  (n.)@
@an order to tell someone to shut up@|@loge! (v.)@
@anaesthetise@|@wu  (v.)@
@ancestors@|@zamango   (n.)@
@and@|@de  (conj.)@
@anger@|@nubobiya  (n.)@
@animal when slaughtered@|@bida (n.)@
@ankle@|@bwankonu   (n.), kuku  (n.)@
@another@|@dozhi  (pron.)@
@another person@|@zado  (pron.)@
@answer@|@goye  (v.)@
@ant (generic)@|@panpa  (n.)@
@ant (red or yellow biting ant)@|@dzungbe  (n.)@
@ant (small black ant)@|@panpa wuri  (n.)@
@ant (very small red ant)@|@panpa knyari  (n.)@
@antelope@|@elo  (n.), kurya  (n.)@
@antelope sp.@|@ekye  (n.)@
@antelope species@|@eke  (n.), kere  (n.)@
@antelope with striped back@|@ednu  (n.)@
@ant-hill@|@dnawun  (n.)@
@anus@|@nyibo  (n.), nyibori  (n.)@
@any@|@kiki  (a.)@
@any day@|@fedege (adv.)@
@any sharp sound@|@ewu  (n.)@
@any structure without proper walls@|@nubwi  (n.)@
@anybody@|@zadogei   (pron.)@
@anyone@|@zagodei pron.@
@anything@|@nyanya  (pron.)@
@anything mixed up@|@dobwi  (n.)@
@anything rubbed on the skin@|@tsnitsni  (n.)@
@apathetic person@|@febiyi   (n.)@
@apology@|@kuya  (n.)@
@appeasement@|@kuya  (n.)@
@appended to a question@|@hawo?  (excl.)@
@apply oil (to a cut)@|@da'mi  (v.p.)@
@arm@|@bwagma  (n.)@
@armpit@|@bwatsukoko  (n.)@
@arrange@|@jin  (v.)@
@arrow@|@etse  (n.)@
@ascend@|@gnu   (v.)@
@ash@|@tungu  (n.)@
@ask (question)@|@bi..bo  (v.)@
@ask a question@|@ºeºi  (v.), ºi  (v.)@
@ask around for s.t.@|@gigbe  (v.)@
@assist@|@bmasun  (v.)@
@assistance@|@bmasun (n.)@
@assume@|@mwi(..bo)  (v.)@
@aunt@|@nawun  (n.)@
@authority@|@zawun  (n.)@
@awaken@|@koreshin (v.)@
@axe for man used to harvest palm-fruits@|@eze  (n.)@
@axe for women to cut firewood@|@gbawun  (n.)@
@axe used to harvest palm-fruit(also called eze)@|@gbaji  (n.)@
@axe) esp. meat@|@kya  (v.)@
@baboon@|@gbegi  (n.), gbwegi  (n.)@
@back@|@zungbebwa (n.)@
@back of a person@|@ebu  (n.)@
@back yard@|@pyankpa  (n.)@
@backbite@|@gnazabo  (v.)@
@bad (also labme)@|@nabne  (a.)@
@bad (also nabne)@|@labme  (n.)@
@bad news@|@knaknari  (n.)@
@bad: be ~@|@byibyi   (v.)@
@bag used to go to farm@|@gunma (n.)@
@bag used to go to farm made from reed@|@bwasa  (n.)@
@Bambara groundnut (Vigna subterranea)@|@ebu  (n.)@
@bamboo cane@|@eshya  (n.)@
@banana@|@gbantsi  (n.)@
@banana  (Small@|@gbantsi cita  (n.)@
@banter@|@ºesari (n.)@
@baobab@|@kwala  (n.)@
@bark@|@do egu   (v.p.)@
@bark (dog)@|@dogu  (v.)@
@bark from reeds used to make mats@|@bala (n.)@
@bark of tree@|@gulu  (n.)@
@barrel-shaped drum with two heads)@|@gadagba  (n.)@
@Basa language@|@Basa (p.n.)@
@Basa person@|@Basa (p.n.)@
@basket@|@kakpe  (n.)@
@basket made of river reeds@|@gomwa  (n.)@
@batter@|@ka  (v.)@
@be@|@yi.n   (v.)@
@be (only in certain contexts)@|@dye  (v.)@
@be clever@|@ke  (v.)@
@be dry@|@kaawe  (v.), wo kawu  (v.p.)@
@be excessive@|@gna  (v.)@
@be hot@|@wo  (v.)@
@be in favour of s.o. (of a court case)@|@da   (v.)@
@be on (s.t.) (with pl. subject)@|@kpe  (v.)@
@be on (s.t.) (with singular subject)@|@tu  (v.)@
@be on heat (dog)@|@sa  (v.)@
@be or to make wet@|@pwo  (v.)@
@be ready to pluck (fruits)@|@ko  (v.)@
@be there (close by)@|@zhi  (v.)@
@be there (further away) cf. zhi@|@zha  (v.)@
@be too much@|@gna  (v.)@
@bean (type of long-podded brown bean)@|@gigi  (n.)@
@bean paste made from cowpeas@|@lakpankpa  (n.)@
@bean stew@|@gbangya  (n.)@
@bean: Lima ~@|@kpankpa  (n.)@
@beans)@|@ko  (v.)@
@beard@|@manzeyi  (n.)@
@beat@|@du   (v.), luwo  (v.)@
@beat (drum etc.)@|@dyi   (v.)@
@beat (esp. by shooting/throwing)@|@ke  (v.)@
@beat (person or animal)@|@ëu  (v.)@
@beat someone with a stick@|@wo  (v.)@
@beaten flat@|@keyari  (a.)@
@beating of lungs@|@esnu  (n.)@
@become@|@ze   (v.)@
@become blunt@|@tu  (v.)@
@become lean as result of illness@|@keca  (v.)@
@bed@|@gado  (n.)@
@bedroom@|@kate  (n.)@
@bee@|@esu  (n.)@
@bee hive@|@esu ºala  (n.)@
@beehive@|@ºala  (n.)@
@beer@|@ede  (n.)@
