@English@|@Georgian@
@Author name@|@Freelang@
@Font@|@Arial\12\Arial\12@
@@|@აადგილებს, აარსებს, აბამს, აბინძურებს, აბიჯებს, აბნელებს, აბრუნებს, აბსოლუტური, აგდებს, აგებს, აგზავნის, აგირავებს, აგროვებს, აგრძელებს, ადასტურებს, ადგენს, ადგილობროვო ხელისუფლების ორგანოთა განკარგულებები, ადიდებს, ადის, აერთებს, აერთიანებს, ავადმყოფი, ავლენს, ავსებს, ავხორცად, ავხორცი, ავხორცობა, აზღვევს, ათავისუფლებს, ათავსებს, ათეთრებს, ათვალიერებს, ათრობს, აიძულებს, აკეთებს, აკვიატებულად, აკმაყოფილებს, აკრძალვა, აკუთვნებს, ალაგებს, ალიაქოთი, ამ დროიდან, ამაგრებს, ამარაგებს, ამართლებს, ამარტივებს, ამასხარავებს, ამატებს, ამაღლებული, ამახინჯებს, ამეტფასებს, ამოკლებს, ამოძირკვა, ამოწმებს, ამსუბუქებს, ამტკიცებს, ამტკნარებს, ამუშავებს, ამშვიდებს, ამცირებს, ამხნევებს, ანადგურებს, ანაზღაურება, ანაზღაურებს, ანათებს, ანაოჭებს, ანაწილებს, ანგარიშობს, ანგრევს, ანდობს, ანებივრებს, ანელებს, ანიავებს, ანიჭებს, ანსახიერებს, ანულირება, აოთხმაგებს, აორთქლება, აოცებს, აპრიალებს, აპრიორი, არ ენდობა, არაგონივრულად, არაგონივრული, არაგულწრფელად, არამზადა, არასაიმედო, არასასურველი, არასწორად, არასწორად იგებს, არასწორი, არახელსაყრელი, არბილებს, არემონტებს, არეული, არეულობა, არეულობები, არიგებს, არსებითად, არტყამს, არღვევს, არჩევს, არჩენს, არცხვენს, არწმუნებს, ასამმაგებს, ასახიჩრებს, ასვლა, ასრულებს, ასუსტებს, ასწავლის, ასწორებს, ასწრებს, ატარებს, ატყავებს, ატყუებს, აუარესებს, აუმჯობესებს, აურზაური, აუქმებს, აფასებს, აფეთქება, აფუჭებს, აქანდაკებს, აქეზებს, აქროლა, აღადგენს, აღადგინა, აღდგენა, აღდგენები, აღდგენილი, აღელვებული, აღზრდა, აღზრდილი, აღიარებს, აღიზიანებს, აღმართავს, აღმზრდელები, აღმოაჩენს, აღორძინება, აღშფოთებული, აღწევს, აყალბებს, აყვავება, აყვავებული, აყოვნებს, აშინებს, აშკარა, აშკარად, აშორებს, აშრობს, აშხეფებს, აჩერებს, აჩვენებს, აცბუნებს, აცდენს, აცოცხლებს, აცრა, აცხადებს, აძაგებს, აძლიერებს, აძრწუნებს, აწამებს, აწარმოებს, აწებებს, აწევა, აწერს, აწესრიგებს, აწეული, აწვალებს, აწონასწორებს, აწუხებს, აჭარბებს, აჭუჭყიანებს, ახალბედა, ახალბედები, ახარისხებს, ახვევს, ახირებული, ახირებულობა, ახორციელებს, ახრჩობს, ახსნა, ახშობს, აჯამებს, აჯანყება, აჯანყებები, აჯვარებს, აჯილდოებს, ბარბაცებს, ბერავს, ბიძგები, ბიძგი, ბოროტად, ბოროტად გამოყენება, ბოროტი, ბრუნავს, ბრუნდება, ბრუნვა, ბრძოლა, ბრწყინავს, ბრწყინვა, ბრწყინვალე, ბრწყინვალება, ბუზღუნებს, ბუნდოვანი, ბუტბუტებს, გაადიდა, გაათავისუფლა, გაასწორა, გააუქმა, გააფუჭა, გაახვია, გაბატონებული, გაბედულად, გაბრაზებული, გაგება, გაგზავნა, გაგრძელება, გადაადგილდება, გადაადგილება, გადაადგილებული, გადააქვს, გადაიტანა, გადაიხარა, გადაკეთება, გადაკვეთა, გადასახლება, გადასცა, გადასცემს, გადატანა, გადატვირთული, გადაცემა, გადაცემული, გადაწერა, გადაწონის, გადახრა, გადახრილი, გადიდება, გადიდებული, გადის, გაერთიანება, გაერთიანებები, გაერთიანებული, გავრცელება, გათავისუფლება, გათავისუფლებული, გაკიცხვა, გაკიცხული, გალანძღული, გალვანიზაციას ახდენს, გამაგრებული, გამართლება, გამაფრთხილებელი, გამეორება, გამეორებები, გამეორებული, გამოასწორა, გამოაცხადა, გამოგონება, გამოეყოფა, გამოთქვამს, გამოთქმა, გამოიკვლია, გამოიწვია, გამოკვლევა, გამოკვლევები, გამოკვლეული, გამოსახავს, გამოსცემს, გამოსწორება, გამოსწორებული, გამოუვალ მდგომარეობაში აგდებს, გამოუთქმელი, გამოუსწორებელი, გამოუცდელი, გამოყენება, გამოყო, გამოყოფა, გამოყოფილი, გამოყოფს, გამოჩენილი, გამოცდილი, გამოცოცხლება, გამოცხადება, გამოცხადებული, გამოწვევა, გამოწვეული, გამოხატავს, გამოხსნა, გამრავლება, გამყიდველები, გამყიდველი, გამჭვირვალე, გამჭვირვალობა, გამჭრიახი, გამჭრიახობა, გამხდარი, გამხნევება, განადგურება, განადგურებული, განადიდებს, განათებული, განამტკიცებს, განასხვავებს, განაცალკევებს, განაწილება, განებივრებული, განთავისუფლება, განიავება, განიავებული, განმარტება, განმეორება, განსაზღვრა, განსაზღვრული, განსაკუთრებულად, განსაკუთრებული, განსახიერება, განსხვავება, განსხვავებები, განსხვავებული, განცალკევებული, განცხადება, განცხადებები, განხილვა, გაოცდა, გაოცება, გაოცებული, გარანტიები, გარბის, გარდაუვალი, გარდაქმნა, გარდაქმნები, გარდაქმნის, გარეგნობა, გარეთ, გარეუბნები, გარკვეულ ვადაში დახარჯული ნედლეულის რაოდენობა, გარს ერტყმის, გარყვნა, გარყვნილება, გარყვნილი, გარშემორტყმა, გარშემორტყმული, გასაგები, გასაოცარი, გასაოცრად, გასეირნება, გასეირნებები, გასწორებული, გაუარესება, გაუბედავად, გაუბედავი, გაუგებარი, გაუგებრობა, გაუმაძღარი, გაუმაძღრად, გაუმჯობესება, გაუმჯობესებული, გაუნათლებელი, გაურკვეველი, გაურკვევლობა, გაუქმება, გაუქმებული, გაფანტვა, გაფანტული, გაფრთხილება, გაფუჭება, გაფუჭებული, გაქცევა, გაქცეული, გაღიზიანება, გაღიზიანებული, გაყინული, გაშეშება, გაცვლა, გაცოცხლება, გაცოცხლებული, გაძარცვა, გაძლიერება, გაწმენდა, გაწმენდილი, გაწმინდა, გაწონასწორებული, გახვეული, გახვრეტა, გახსნა, გახსნილი, გეგმავს, გემები, გონებაჩლუნგი, გრუხუნი, გრძნობა, გულგატეხილი, გულგრილად, გულგრილობა, გულუხვი, გულღია, გულწრფელად, გულწრფელი, გულწრფელობა, დაადასტურა, დააკმაყოფილა, დაამახინჯა, დაამოწმა, დაამშვიდა, დაამცირა, დაარტყა, დაარღვია, დაარწმუნა, დაბნეული, დაბრკოლება, დაბრკოლებები, დაბრუნება, დაბრუნებული, დადასტურება, დადასტურებული, დაეხეტება, დაეხმარა, დაზიანებული, დათვალიერება, დათვალიერებები, დათრობა, დაიმორჩილა, დაიცვა, დაკვირვება, დაკმაყოფილება, დაკმაყოფილებული, დამატება, დამატებითი, დამახინჯება, დამახინჯებული, დამაჯერებლობა, დამოკიდებულება, დამორჩილება, დამორჩილებული, დამოუკიდებელი, დამოწმება, დამოწმებული, დამტკიცება, დამტკიცებული, დამღუპველი, დამშვიდება, დამშვიდებული, დამცველები, დამცველი, დამცინავად, დამცინავი, დამცირება, დამცირებული, დამხმარე, დამხრჩვალი, დანაოჭებული, დანგრეული, დანიშვნა, დანიშნული, დაჟანგვა, დაჟინებულად, დაჟინებული, დარტყმა, დარტყმები, დარტყმული, დარღვევა, დარღვევები, დარღვეული, დარწმუნება, დარწმუნებული, დასაშვები, დასაწყისი, დასვრილი, დასრულება, დასრულებული, დასუსტება, დასცინის, დატბორვა, დატვირთული, დაუმორჩილებლობა, დაუფიქრებელი, დაუცველი, დაუჯერებლად, დაფარა, დაფარვა, დაფარული, დაქვემდებარებული, დაყოვნება, დაშინებული, დაშორება, დაშორებული, დაცემა, დაცვა, დაცინვა, დაცინვები, დაცული, დაძაბული, დაძაბულობა, დაძლეული, დაწინაურება, დაწნა, დაწნული, დაწყევლილი, დაჭერა, დაჭერილი, დახვეული, დახმარება, დახრილი, დახრილობა, დახრილობები, დახრჩობა, დახსნა, დგამს, დებს, დევნა, დევნის, დემობილიზაციას ახდენს, დიდებულად, დიდებულება, დიდებული, ედავება, ევედრება, ეზიზღება, ეზიზღებოდა, ეთანხმება, ეკითხება, ეკლესიისგან განკვეთა, ენდობა, ერევა, ერთგულება, ერიდება, ესალმება, ეშინია, ეშმაკი, ეშმაკობა, ეშმაკობაში ჯობნის, ეშმაკურად, ეძებს, ეწინააღმდეგება, ეჭიდება, ეხმარება, ვარაუდი, ვარაუდობს, ვარგისობა, ვარდება, ვაჭრობა, ვაჭრობს, ვედრება, ვერ აფასებს, ვინც განზრახ უკიდებს ცეცხლს სხვის ან საკუთარ ქონებას, ზანგი, ზედა ტანსაცმელს იცვამს, ზედამხედველობა, ზედაპირული, ზედმეტად იძაბება, ზემოთ, ზიზღი, ზრდის, ზრუნავს, ზუსტად, ზღუდავს, თავაზიანად, თავაზიანი, თავაზიანობა, თავდასხმა, თავდასხმები, თავდაჯერებული, თავდაჯერებულობა, თავის არიდება, თავის მოჩვენება, თავისთავზე ყურადღების მიპყრობა, თავისუფალი, თავისუფლად, თავნება, თავს აბეზრებს, თავს არიდებს, თავს აჩვენებს, თავს იკავებს, თავსხმა, თავშეკავებული, თავშეკავებულობა, თავშესაფარი, თავხედი, თავხედობა, თავხედურად, თამაში, თანაგრძნობა, თანამედროვე, თანამშრომლობა, თანამშრომლობს, თანაუგრძნობს, თანმიმდევრულად, თანხლება, თანხმობა, თაღლითობა, თაყვანისმცემელი, თაყვანისმცემლები, თვლემა, თვლემს, თიშავს, თხრის, იბრძვის, იბრძოდა, იგებს, იგერიებს, იგონებს, იზოლირებას უკეთებს, იზოლირებული, იზრდება, ითხოვს, იკავებს, იკვლევს, იკლაკნება, იმალება, იმეორებს, იმონებს, იმორჩილებს, იმპროვიზებულად, იმპროვიზებული, ინახავს, ინგლისური ანბანის მე- ასო, ინტერნაციონალიზებულს ხდის, იპარავს, იპყრობს, ირჩევს, ისაკუთრებს, ისვენებს, ისვრის, იტანს, იტყუებს, იღებს, იღვრება, იცავს, იძულება, იწვევს, იწყებს, იჭერს, იჭრება, იხილავს, იხრება, იხსნის, კავშირები, კავშირი, კაკუნი, კალათები ზედმეტი ქაღალდებისათვის, კამათი, კამათობს, კანკალებს, კანკალი, კანონგარეშე აცხადებს, კანონიერად, კანონიერება, კანფეტები, კაპიტალის ძალზე მაღალი განსაზღვრა, კეთილისმყოფელი, ქველმოქმედი, მწყალობელი, განმკითხავი, კეტავს, კვალი, კვერთხები, კიდებს, კიცხავს, კლავს, კლასიფიცირებას უკეთებს, კომენტარებს უკეთებს, კონფისკაცია, კრავს, კრებს, კრეჭს, კუზიანი, ლამაზი, ლანძღავს, ლანძღვა, ლაქა, ლაქები, ლაყბობა, ლაყბობს, ლესავს, ლექსიკონები, ლოთები, ლოთი, ლოცვა, მამაცი, მამაცურად, მანერები, მართავდა, მართავს, მართვა, მართული, მარცვლებად დაყოფა, მარცვლებად ყოფს, მარწუხი, მარჯვე, მარჯვედ, მატყუარა, მატყუარები, მაღალფარდოვანი, მაწანწალები, მბრძანებლურად, მგრძნობიარობა, მდიდრულად, მემკვიდრეობა, მერყეობა, მერყეობს, მეურვეობა, მეძავები, მეძავი, მთელი, მთვრალი, მიაღწია, მიდის, მიდრეკილება, მიდრეკილებები, მიესალმა, მითვისება, მითითება, მილოცვა, მიმართავს, მიმართვა, მიმართული, მიმზიდველი, მინიჭება, მისალმება, მიუკერძოებელი, მიუწვდომელი, მიუხედავად, მიღება, მიღებული, მიღწევა, მიღწეული, მიწისქვეშა წყლების ან მინერალების ძებნა ჯადოსნური ლერწით, მიწისქვეშა წყლებს ან მინერალებს ეძებს ჯადოსნური ლერწით, მკაცრად, მკაცრი, მკერავები, მკერავი, მკვეთრად, მკვლელები, მკვლელი, მკრთალად ანათებს, მმართველები, მმართველი, მნიშვნელობა, მნიშვნელოვანი, მნიშვნელოვნად, მოასწავებდა, მოასწავებს, მოატყუა, მოახლე, მოახლეები, მოგზაური, მოგზაურობა, მოგზაურობები, მოგზაურობს, მოგონებები, მოთხოვნა, მოიპარა, მოკრძალება, მოკრძალებულად, მოკრძალებული, მოლაპარაკებას აწარმოებს, მომავალი, მომარაგება, მომარაგებული, მოპარვა, მოპარული, მორევები, მორთვა, მორთო, მორთული, მორჩილება, მოტყუება, მოტყუების გზით ჯარისკაცებს და მეზღვაურებს აგროვებს, მოტყუებული, მოულოდნელად, მოულოდნელი, მოუმზადებელი, მოუსვენარი, მოუქნელი, მოუქნელობა, მოქნილი, მოქნილობა, მოღალატე, მოჩვენებითი, მოცვი, მოწინააღმდეგე, მოწინააღმდეგეები, მოწოდება, მოწოდებები, მოჭერა, მოჭრა, მოხიბლული, მსახურები, მსახური, მსგავსება, მსგავსებები, მსუქანი, მსხვერპლად წირავს, მტანჯველი, მტკიცე, მტკიცება, მუდმივი, მუსაიფობს, მუშტი-კრივი, მფლანგველები, მფლანგველი, მღვდელი, მღვდლები, მყარი, მშვიდად, მშვიდი, მშიშარა, მცირდება, მცოდნე, მძვინვარედ, მძიმე, მძიმედ, მწიფდება, მხარდაჭერა, მხარის დაჭერა, მხარს უჭერს, მხიარულად, მხიარულება, მხიარული, ნავარაუდევი, ნავმისადგომები, ნაკლები, ნამდვილი, ნარევები, ნარევი, ნაყავს, ნაცემი, ნაწამები, ნაწინასწარმეტყველები, ნახტომები, ნახტომი, ნებას რთავს, ნების დართვა, ნიმუშები, ნიმუში, ნისლიანი ამინდისთვის გასათვალისწინებელი ფერადი ფარები, ნიშნავს, ორთქლდება, ოცდება, პარალიზებას უკეთებს, პატივისცემა, პატივმოყვარე, პატივს სცემს, პატიობს, პედანტები, პედანტი, პირდაპირ, პირდაპირი, პირდაპირობა, პირქუშად, პირქუში, პოლიციელები, პოლიციელი, პროგრამები, პროტესტს აცხადებს, პულსირებს, ჟონავს, რაკრაკებს, რაკრაკი, რეკავს, რთავს, რისამე უშუალო ზემოქმედების ქვეშ მოქცევა, რისკავს, რყვნის, რჩება, რწმენა, საარჩევნო უბნებს არათანაბრად, ტენდენციურად ყოფს, საბაჟო გადასახადითა და მოსაკრებლით დაუბეგრავი საქონლის სია, საბოლოოდ, სავარაუდო, საზიზღარი, საზიზღრად, საზღვრავს, სათბურები, საიდუმლო, საიდუმლოდ, საიმედო, საკამათო, საკვამურისმწმენდელი, საკუთრების მფლობელობის უფლებას ართმევს, საკუჭნაო, საკუჭნაოები, სამართლიანად, სამართლიანობა, სამოქალაქო ან საარჩევნო უფლებები ჩამოართვა, სამოქალაქო ან საარჩევნო უფლებების ჩამორთმევა, სამოქალაქო ან საარჩევნო უფლებებს ართმევს, სამოქალაქო ან საარჩევნო უფლებებჩამორთმეული, სასამართლო, სასამართლოში იძახებს, სასარგებლო, სასარგებლოდ, სასაცილო, სასიამოვნო, სასიამოვნოდ, სასტიკად, სასტიკი, სასურველი, საფარი, საფეხურები, საფეხური, საფრთხეში აგდებს, საქმეები, საყვედურები, საყვედური, საყვედურობს, საშინელება, საშინელი, საშინლად, საშუალო, საცხოვრებლები, საძულველი, საწინააღმდეგო, საწყობები, საწყობი, სახელმძღვანელო, სახელმძღვანელოები, სეირნობს, სერიოზულობა, სვამს, სვრის, სთავაზობს, სიაში შეაქვს, სიახლოვე, სიგნალს აძლევს, სიზუსტე, სიკვდილით დასჯა, სიკვდილით სჯის, სიმამაცე, სიმკაცრე, სიმკვრივე, სიმტკიცე, სიმშვიდე, სინანულით, სინჯავს, სირთულეები, სისასტიკე, სისულელე, სისულელეები, სისუსტე, სისწორე, სისწრაფე, სიტყვამრავლობა, სიუხვე, სიფხიზლე, სიღარიბე, სიჩუმე, სიჩქარე, სიცარიელე, სიცრუე, სიძულვილი, სიხარბე, სიჯიუტე, სრესს, სრიალებს, სრიალი, სროლა, სრულად, სრული, სტვენა, სულელები, სულელი, სუსტად, სუსტი, სუფთა, სძულს, სწავლება, სწორად, სწორი, სწრაფად, სჯის, ტანჯვა, ტბორავს, ტენის, ტვირთავს, ტვირთები, ტვირთი, ტკაცუნებს, ტკაცუნი, ტოვებს, ტრიალებს, ტრიალი, ტყორცნა, ტყორცნის, ტყუილები, ტყუილი, უადგილო, უადგილობა, უაზრო, უარი თქვა, უარის თქმა, უარს ამბობს, უარყო, უარყოფა, უარყოფილი, უარყოფს, უახლოვდება, უბედურება, უბედურებები, უბედური, უბიძგებს, უბრალო, უგემური, უგრძნობელი, უგუნური, უდავო, უდარდელი, უდარდელობა, უდროო, უეჭველად, უეჭველი, უვარგისი, უზარმაზარი, უთვალთვალებს, უკან, უკანონოდ, უკვდავყოფილი, უკვდავყოფს, უკმაყოფილო, უკნისაკენ მოძრაობს, ულოცავს, უმაღლესი, უმნიშვნელო, უნდობლობა, უპირატესობა, ურევს, ურთიერთკავშირები, ურთიერთკავშირი, ურთიერთობა, ურტყამს, ურჩევს, ურჩობა, უსაზღვრო, უსამართლობა, უსარგებლო, უსარგებლოდ, უსაქმურები, უსაქმური, უსაქმურობს, უსიამოვნება, უსიამოვნო, უსმენს, უუნარობა, უფრო მხიარული, უფრო რბილი, უფრო უცნაური, უფრო უხეში, უფრო ჭუჭყიანი, უქნარა, უქნარები, უყურადღებო, უყურადღებობა, უშვებს, უცვლელი, უცნაურად, უცნაური, უცნაურობა, უცნობი, უძრავი, უძღვნის, უწესრიგო, უჭერს, უხეშად, უხეში, უხეშობა, უხვად, უხვი, ფანტავს, ფარავს, ფარული, ფეხებს მიათრევს, ფილტრავს, ფიქრი, ფიქრობს, ფიცხი, ფლობა, ფსიქოანალიზს უტარებს, ფხიზელი, ქანაობა, ქანაობს, ქარაფშუტა, ქარაფშუტები, ქედმაღალი, ქეიფი, ქველმოქმედება, ქვეცნობიერი, ქმედითად, ეფექტიანად, ქმედითობა, ეფექტიანობა, ქონება, ქრება, ღალატი, ღალატობს, ღარიბი, ღელვა, ღობავს, ღრიალი, ღუნავს, ყბედი, ყბედობა, ყბედობს, ყვავის, ყველაზე მხიარული, ყველაზე უცნაური, ყველაზე უხეში, ყველაზე ჭუჭყიანი, ყველგან, ყვირილი, ყვირის, ყინავს, ყნოსავს, ყურადღებიანი, ყურადღებით ათვალიერებს, შეაერთა, შეამცირა, შეასრულა, შეასუსტა, შეაფასა, შეაცბუნა, შედეგები, შედეგი, შეერთება, შეერთებები, შეერთებული, შეზღუდა, შეზღუდვა, შეზღუდული, შეთავაზება, შეთავაზებული, შეთანხმება, შეთანხმებული, შეკავება, შეკითხვა, შეკითხვები, შეკრება, შეკრებილი, შემაძრწუნებელი, შემაძრწუნებლად, შემთხვევა, შემთხვევები, შემთხვევით, შემთხვევითი, შემსუბუქება, შემსუბუქებული, შემცირება, შემცირებები, შემცირებული, შემწყნარებლურად, შენახვა, შერევა, შერეული, შესაბამისად, შესაბამისი, შესავალი, შესაფერისად, შესაფერისი, შესაძლებელი, შესაძლებლობა, შესაძლებლობები, შესვენება, შესვენებები, შესრულება, შესუსტება, შეუბრალებელი, შეუბრალებლად, შეუზღუდავი, შეუმჩნეველი, შეურაცხმყოფელი, შეურაცხმყოფლად, შეურაცხყოფა, შეურაცხყოფს, შეუსაბამო, შეუსაბამობა, შეუსაბამობები, შეუსაბამოდ, შეუფასებლობა, შეფასება, შეფასებული, შეფერხება, შექმნა, შეშინება, შეშინებული, შეშლილი, შეჩერება, შეჩერებული, შეცბუნება, შეცბუნებული, შეცდომაში შეიყვანა, შეცდომაში შეყავს, შეცდომები, შეცვალა, შეცვლა, შეცვლილი, შეძრწუნებული, შეწუხება, შეწუხებული, შეწყვეტა, შეჭრა, შიფრავს, შიში, შიშინებს, შლის, შოტლანდიელები, შოტლანდიელი, შუამავალი, შუამავლები, ჩამოთვლის, ჩამორჩენილი, ჩართვა, ჩახლართული, ჩახშობა, ჩვენება, ჩვეული, ჩივის, ჩუქნის, ჩქარობს, ჩხუბები, ჩხუბი, ცდის, ცდუნება, ცელქი, ცემა, ცემს, ცვალებადი, ცვალებადობა, ცვლილება, ცვლილებები, ცვლის, ცილისწამება, ცილს წამებს, ციმციმებს, ციმციმი, ცლის, ცნობა, ცნობილი, ცნობილი ადამიანების სახელების განგებ ზერელედ წამოსროლა, ცნობილი ადამიანების სახელებს განგებ ზერელედ წამოისვრის, ცნობისმოყვარეობა, ცოცდება, ცოცხალი, ცრის, ცუდად ეპყრობა, ცუდად იქცევა, ცუდად მართავს, ცუდად მართვა, ცურვა, ცხადად, ცხადი, ცხოვრობს, ძაგება, ძალზე მაღლა განსაზღვრავს კაპიტალს, ძარცვა, ძარცვავს, ძებნა, ძირითადი, ძირკვავს, ძლევამოსილად, ძლევს, ძლიერი, ძლიერი დარტყმები, ძუნწი, წამება, წარმოადგენს, წარმოადგინა, წარმოდგენა, წარმოდგენილი, წარმოება, წარმოიდგენს, წარმოშობა, წაშლა, წევს, წერითი გამოცდის დროს გამოსაცდელებსუთვალთვალებს, წერითი გამოცდის დროს გამოსაცდელთა თვალთვალი, წესრიგში მოყავს, წვავს, წვრილმანი, წიგნის ერთ ადგილას სხვა ადგილის მითითება, წინ, წინააღმდეგობა, წინააღმდეგობა გაუწია, წინააღმდეგობაგაწეული, წინააღმდეგობას უწევს, წინააღმდეგობები, წინააღმდეგობის გაწევა, წინადადებები, წინათგრძნობა, წინაპრები, წინასწარ განსაზღვრა, წინასწარ განსაზღვრავს, წინასწარ განსაზღვრული, წინასწარმეტყველება, წინასწარმეტყველები, წინასწარმეტყველებს, წინასწარმეტყველი, წკრიალებს, წმენდს, წმენდს, ასუფთავებს, წნავს, წუწუნებს, წუწუნი, წუხილი, წუხს, წყარო, წყაროები, წყევლის, წყვეტს, ჭდეს აკეთებს, ჭიმავს, ჭმუჭნის, ჭორაობს, ჭორიკანა, ჭორიკნები, ჭრის, ჭუჭყიანი, ხაზგასმული, ხაზი გაუსვა, ხაზს უსვამს, ხარბად, ხარბი, ხატავს, ხდება, ხდის, ხელის შეშლა, ხელმძღვანელობა, ხელს აწერს, ხელს უშლის, ხელს უწყობს, ხელსაყრელი, ხელსაწყოს მგრძნობიარობის დაცემას იწვევს, ხელშეკრულებას დებს, ხვდება, ხვრეტს, ხიბლავს, ხითხითებს, ხითხითი, ხმაური, ხმაურიანად, ხმაურიანი, ხრის, ხსნის, ხსოვნას უკვდავყოფს, ხტება, ჯადოქარი, ჯადოქრები, ჯავშანი, ჯანყდება, ჯიუტად, ჯიუტი, ჯობნა, ჯობნის@
@a@|@ლათინური ანბანის პირველი ასო@
@a priori@|@აპრიორი@
@Aachen@|@აახენი@
@Aarhus@|@აარჰუსი@
@ab initio@|@დასაბამიდან@
@aback@|@უკან@
@abacus@|@აბაკი, საანგარიშო@
