@English@|@Greek@
@Author name@|@Robert Bassford@
@Font@|@Arial\12\Arial\12@
@3D@|@τρισδιάστατο@
@a@|@ένα, ένας, μια@
@a bit@|@λιγάκι@
@a bitter argument@|@έντονη λογομαχία@
@a breach in the walls@|@ρήγμα στα τείχη@
@a breach of the peace@|@διατάραξη κοινής ησυχίας@
@a breeze got up@|@σηκώθηκε ένα αεράκι@
@a bunch of keys@|@μάτσο κλειδιών@
@a calculated insult@|@εσκεμμένη προσβολή@
@a case of mistaken identity@|@υπόθεση λανθασμένης ταυτότητας@
@a child as good as gold@|@παιδί μάλαμα@
@a claim for@|@αίτηση@
@a couple@|@κάνα δυο-τρια@
@a couple of@|@δύο-τρία@
@a dash of@|@λίγο@
@a diner@|@κάποιος που δειπνεί, μικρό εστιατόριο@
@a fee@|@δίδακτρα / αμοιβή@
@a few@|@μερικά, μερικές, μερικοί@
@a fine figure of a man@|@άνδρας που φαίνεται ωραίος@
@a fit of coughing@|@σπασμός βήχα@
@a five door car@|@πεντάπορτο αυτοκίνητο@
@a flight of stairs@|@σκάλα@
@a foregone conclusion@|@προκαθορισμένο αποτέλεσμα@
@a fork@|@διακλάδωση@
@a good deal of@|@πολύς@
@a great deal of@|@πολύς@
@a great many@|@πάμπολλοι@
@a gust of wind@|@ριπή ανέμου@
@a hard worker@|@σκληρός εργάτης@
@a hell of a lot of@|@πάρα πολύ@
@a light shower@|@βροχούλα@
@a little rain@|@βροχούλα@
@a live broadcast@|@ζωντανή μετάδωση@
@a long shot@|@απίθανη εκδοχή@
@a long time@|@πολύς καιρός@
@a lot of@|@πολύς@
@a man of the world@|@ένας άνθρωπος του κόσμου@
@a must@|@κάτι το απόλυτα αναγκαίο@
@a pair of jeans@|@τζιν@
@a pair of pyjamas@|@μία πιτζάμα@
@a pair of scissors@|@ένα ψαλίδι@
@a pair of shorts@|@σορτς@
@a rap at the door@|@ελαφρύ χτύπημα της πόρτας@
@a spate of@|@πληθώρα@
@a steady job@|@σταθερή δουλειά@
@a steady job / income@|@σταθερός {δουλειά}@
@a string of albums@|@μία σειρά δίσκων@
@a stroke of the clock@|@χτύπημα του ρολογιού@
@a stubborn stain@|@επίμονος λεκές@
@a tempting offer@|@δελεαστική προσφορά@
@a three-hour flight@|@πτήση τριών ωρών@
@a through train@|@τραίνο κατ’ευθείαν προς@
@a touch of@|@λίγο@
@a write-off@|@εντελώς άχρηστος@
@aardvark@|@ορυκτερόπους@
@abaca@|@αβάκα@
@aback@|@προς τα πίσω@
@abactor@|@ζωοκλέφτης@
@abacus@|@άβακας, αβάκιο@
@abaft@|@προς την πρύμνη, πρυμναίος@
@abalone@|@αυτί της θάλασσας, είδος γαστρόποδου@
@abandon@|@εγκαταλείπω, παρατάω@
@abandoned@|@έκθετος@
@abandonment@|@εγκατάλειψη@
@abase@|@ξεφτιλίζω, ταπεινώνω@
@abash@|@πτοώ, φέρνω σε δύσκολη θέση@
@abate@|@κοπάζω, μειώνω@
@abatement@|@ελάττωση, μείωση@
@abattoir@|@σφαγείο@
@abbacy@|@ηγουμενία@
@abbatial@|@ηγουμενικός@
@abbess@|@ηγουμένη@
@abbey@|@αβαείο, μοναστήριο, μονή@
@abbot@|@ηγόυμενος@
@abbotship@|@ηγουμενία@
@abbreviate@|@συντομεύω@
@abbreviated@|@συντομευμένος@
@abdicate@|@παραιτούμαι από το θρόνο@
@abdomen@|@κοιλιά, στομάχι@
@abdominal@|@γαστρικός, κοιλιακός@
@abdominal cavity@|@κοιλιακή χώρα@
@abduct@|@απάγω@
@abeam@|@εγκάρσια@
@abed@|@στο κρεβάτι@
@aberrant@|@διεστρεμμένος, παρεκκλίνων@
@aberrate@|@αποκλίνω@
@aberration@|@παρέκκλιση, παρεκτροπή@
@abet@|@υποβοηθώ@
@abetted@|@υποβοηθούμενος@
@abetting@|@υποβοήθηση@
@abettor@|@υποκινητής@
@abeyance@|@αναβολή, εκκρεμότητα@
@abeyant@|@εκκρεμής, λανθάνων@
@abhor@|@απεχθάνομαι, σιχαίνομαι@
@abhorred@|@απεχθής@
@abhorrent@|@απεχθής, αποτροπιαστικός@
@abide@|@εμμένω@
@abiding@|@διαρκής, μόνιμος@
@abilities@|@ικανότητες@
@ability@|@ικανότητα@
@abject@|@άθλιος, ταπεινός@
@abjure@|@απαρνούμαι, αποκηρύσσω, εξομώνω@
@ablate@|@αφαιρώ@
@ablation@|@αποκόμιση@
@ablative@|@αφαιρετική@
@ablaze@|@φλεγόμενος@
@able@|@ικανός@
@ablution@|@νίψιμο, πλύσιμο@
@ably@|@ικανά@
@abnegation@|@αποκήρυξη@
@abnormal@|@ανώμαλος@
@abnormally@|@ανώμαλα@
@aboard@|@στο αεροπλάνο, στο τρένο@
@abode@|@κατοικία@
@abolish@|@καταργώ@
@abolition@|@κατάλυση, κατάργηση@
@abominable@|@απεχθής, εναγής@
@abominate@|@απεχθάνομαι@
@abomination@|@απέχθεια, σίχαμα@
@aboriginal@|@γηγενής, ιθαγενής@
@aborigine@|@ιθαγενής@
@abort@|@αποβάλλω, ματαιώνω@
@abortion@|@άμβλωση, έκτρωση@
@abortionist@|@κάποιος που κάνει εκτρώσεις@
@abortive@|@άκαρπος, ανεπιτυχής@
@abound@|@αφθονώ@
@about@|@για, περί, περίπου@
@above@|@άνω, πάνω από@
@above all@|@πάνω απ'όλα@
@above your head@|@πάνω από το κεφάλι σου@
@aboveboard@|@ανοικτός, καθαρός, νόμιμος@
