@English@|@Greenlandic@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@"petting" song@|@aqaat@
@(gradually) pulls off his boots@|@kamillarterpaa@
@(mauvoq) swamp@|@maqulluk@
@(slate) pencil@|@allattaat@
@a badly lashed sledge or the like)@|@maqqartappoq@
@a closely packed crowd@|@inuit eqimasorsuit@
@a common name@|@kannapi@
@a conceited person@|@inuk makitasooq@
@a crookedly whittled bone@|@nattoraq, natseraq@
@a curved piece of wood across which to bend@|@peqitsivik@
@a depilated skin@|@ameq kaatitaq@
@a dish from which one feels overfull@|@maqqallassaat@
@a dome-shaped elevation@|@qassi@
@a faIse god@|@Guutigisaq@
@a far-reaching gun@|@aallaat kajumittoq@
@a few days ago@|@ippassigami@
@a fire-eater@|@kammartooq@
@a gentle wind@|@anori sallaatsoq, nipi sallaatsoq@
@a glazed pot@|@iga marragaq@
@a great crowd@|@inuit ikattorsuit@
@a happy new year@|@ukiortaami pilluarit@
@a high forehead@|@qaaq portusooq@
@a high official@|@naalagarsuaq@
@a kamik with ribbons all around@|@kaajaluisaq@
@a kind of boil@|@ajuaasaq@
@a low forehead@|@qaaq pukkitsoq@
@a mark@|@nalunaaqqutsiaq@
@a mountainous country@|@nuna qaqqartoorsuaq@
@a naked rock@|@meqquitsoq@
@a narwhale with two horns@|@qernertaq illugiilik@
@a newly married couple@|@katernaat@
@a noise is heard@|@perpaluppoq@
@a number of different things@|@tamalerpassuit@
@a parallel to it@|@naleqqutua@
@a parasite@|@naapigiaq@
@a part of the country.@|@nunap ilaa@
@a person goes bankrupt@|@inuk ajalorpoq@
@a picce of skin to serve as a cushion or seat@|@milliaq, alliaq@
@a piece of belly skin@|@naamineq@
@a piece of blubber@|@oqummeraq, oqummerassaq@
@a piece of blubber for this purpose@|@orsuarlequtissaq@
@a piece of hard wood@|@manngertumineq@
@a piece of skin which is placed in the back part of the kayak@|@mangussak, mangusseq@
@a piece of white calico put up on the kayak@|@taalutaq@
@a pistol.@|@illuinnarsuut@
@a raised edge@|@nakkariikkut@
@a rare species of dolphin@|@paarnaq@
@a rifle shot's distance@|@uuttaavik@
@a scalded skin@|@ameq kiattaq@
@a seal basking in the sun@|@qassimasoq@
@a seal caught in a net@|@napittortaq@
@a seal caught with a bladder dart@|@allikarpoq (alippaa)@
@a short time ago@|@ippassaaniinnaq@
@a shot is heard@|@igerpallappoq@
@a skin with the hair on@|@ameq meqqulik@
@a sledge for one person@|@qamutit ikikitsut@
@a slight east wind@|@assarnaannguarpoq@
@a slippery floor@|@nateq qaalertanartoq@
