@English@|@Haida@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@A needle is sharp@|@Stlán-gyaa uu k'igáng@
@A red cedar tree is tall@|@Ts'úu kíidaay jánggang@
@add on@|@waak@
@Albert is singing@|@Albert k'ajúugang@
@and@|@gyaan, isgyáan@
@And you?@|@Dáng sán?@
@Ankle bone@|@Duméi@
@Are you drying fish?@|@Chíin dáng xiláadaa us?@
@Are you hungry?@|@Dáakw k'ut us?@
@Are you sick?@|@Dáakw st'i us?@
@Are you telling the truth?@|@Yank'ein guu dang súu?@
@Arm@|@Xyáay@
@Arm muscle@|@Xyáay káw@
@Ask anyone@|@Kyáanang hlaa@
@Ask him/her@|@'Láa hl kyáanang@
@Asking for anything@|@Gináng hlaa@
@ate@|@táagaan@
@Baby is crawling around@|@Nang ts'úujuus án tluu'únggang@
@Baby is drinking@|@Nang ts'úujuus gin nílgang@
@Back@|@Sgwáay@
@Back of hand@|@Stláay ún@
@bark@|@k'uts@
@bathing@|@gáadanggang@
@be greedy@|@hlgúujuu@
@be plenty@|@kwáan@
@be unable to@|@jagíyaa@
@be very sick@|@st'i'áwyaa@
@Bears like berries@|@Táan uu gáan guláagang@
@Bears like crab@|@Táan uu k'ust'áan guláagang@
@Bears like fish too@|@Táan uu chíin háns guláagang@
@beaver@|@Ts'áng@
@became sick@|@st'igáalaan@
@Because I'm sick@|@Díi st'is eihl@
@Big toe@|@St'ak'wáayaa@
@Black@|@Hlgahls@
@blue herron@|@k'yaal uu@
@Blueberries are good to eat@|@Hldáan-gyaa uu táa an 'láagang@
@Body@|@Hlúu@
@boiled@|@ts'asláangaan@
@Bones@|@Skuts@
@Brain@|@Káts ts'áng@
@Buttocks@|@Gut@
@Calf@|@K'yaal káw@
@Charlie is the one seining@|@Charlie uu aadáang@
@Cheek@|@Ts'at@
@Chest@|@Kan@
@Chin@|@Hl káay@
@Clams are good to eat@|@K'yúugyaa táa an 'láagang@
@Come in@|@Káts hláa@
@coming in@|@kats'áang@
@cooking@|@kúugaagang@
@couldn't@|@jagíyaayaan@
@Count with me@|@Díi ahl k'weiyandaa@
@Curly hair@|@Kats Ts'ilaa@
@day@|@sáng@
@different@|@gut'iláa@
@Do that@|@'Wáajii isdáa@
@Do you want some food?@|@Táawk dáng sdahláa?@
@Dog@|@Xa@
@drank@|@néilaan@
@Dried fish is good food@|@Chíin xiláa uu táaw'láa íijang@
@Ear@|@Gyúu@
@Eat@|@Táagang@
@eating@|@gatáagang@
@Edible bark is good@|@Xikgyáa uu 'laagang@
