@English@|@Haitian creole@
@Author name@|@Freelang/JD@
@Font@|@Arial\12\Arial\12@
@(a) lot@|@anpil@
@(air)plane@|@avyon@
@(all) just the same@|@kanmenm@
@(altar in vodou)@|@tròn nan@
@(be) present@|@prezante@
@(just) like that@|@konsa 2@
@(legal)@|@ka a@
@(sweet) potato@|@patat@
@(very) close to@|@ra 2@
@a@|@a 3 (peyi a), a yon, on, on, sou yon, yon, you, you@
@A@|@yon you on@
@a bad smell@|@you move odè@
@a bad wedding@|@yon vye maryaj@
@a badly dressed person@|@mangousa@
@a bamboo trumpet@|@bwa bourik@
@a benevolent spirit@|@Aloumandya@
@a bewildered fool@|@mayoyo egare@
@a big deal@|@yon paket afè@
@a big one@|@yon voumtak@
@a big piece@|@bich la@
@a big pile of@|@yon gro pil@
@a big talker who does nothing@|@odyansè 2@
@a birthmark with hairs@|@anvi kochon@
@a bit@|@ti gout, tigout@
@a blister on top of a hydrocele@|@se klou sou maklouklou@
@a blow with the fist@|@kout pwen@
@a bothersome person@|@anmèdè a@
@a box of raisens@|@yon bwat rezen@
@a bunch@|@pakèt, pann@
@a busybody@|@achtafè a@
@a buzz in the ears@|@van nan zòrèy@
@a coating of plaster@|@andi a, andui a, andwi a, randui a@
@a corner pole@|@poto kwen@
@a country hut@|@ajoupa a, joupa a@
@a coward(ly)@|@lach@
@a cult of Haiti@|@vodou a@
@a cutting disdainful glance@|@koupe kout je@
@a dark brown dog with black or dark brown spots@|@chen tig@
@a day@|@pa jou@
@a delight@|@loulou, loulout@
@a difficult@|@antrav la@
@a disease chickens get@|@tchak la@
@a disease of chickens@|@latchak@
@a fat person@|@chat boure@
@a favor@|@satisfaksyon@
@a few@|@de twa, dezoutwa, kèk@
@a few (not many)@|@Youn youn@
@a few (rare)@|@dè@
@a few days ago@|@tou lòt jou@
@a few people@|@kèk moun@
@a few times@|@kèk fwa@
@a fine conversationalist and story teller@|@odyansè@
@a fine reception@|@yon bon akèy@
@a flick on the ear@|@you tèk nan zòrèy@
@a fool@|@san lespri@
@a force that causes a swerv@|@fòskote a@
@a gesture@|@fe rimay@
@a go between (adult female) betwn young ones@|@tantin@
@a go between (adult female) btwn young ones@|@meyèt@
@a good deal of@|@anpil 3@
@a good deed@|@byenfè a@
@a good for nothing@|@voryen an, vwayou a@
@a great deal@|@anpil@
@a great deal of@|@yon vole@
@a great number of@|@yon foul@
@a group of@|@yon pati@
@a gunshot@|@you kout revòlvè@
@a hard blow@|@sapatonn@
@a haughty look@|@kout je@
@a hold@|@kle@
