@English@|@Han@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@a cold north wind is blowing@|@do nats'egang@
@a new year@|@nawdedhat k'ajit@
@a pretty butterfly is flying@|@elal zu natenit'a@
@a rug is lying on the floor@|@chel dhohchu@
@are they hungry?@|@ya huzhudintsay?@
@are you (pl) hungry?@|@ya khwezhudintsay?@
@are you awalking to the store?@|@ch'uket zho ts'a' ihal?@
@are you cold?@|@ya indley?@
@are you crying@|@ya intra?@
@are you hungry?@|@nezhudintsay?@
@are you packing water?@|@chu dah'ay?@
@are you playing?@|@ya daghor?@
@are you sewing?@|@ya a'nintl'u?@
@are you tanning a hide?@|@ya edha idho?@
@are you walking to the lake?@|@man ts'a' ihal?@
@are you walking to the school?@|@hatr'unohtan zho ts'a' ihal?@
@around here aren't salmonberry@|@do'o nihba' ko@
@at home@|@tà'ò wèdëk@
@axe@|@chi'a@
@baby@|@tr'enin tsul@
@be fine@|@hozo@
@be quiet@|@dadhahnay, dadhinay@
@berry@|@jek@
@big@|@cho@
@big knife@|@sre cho@
@big moose@|@jejik cho@
@bird@|@chuga@
@black@|@dhezray@
@black bear@|@shar@
@blue@|@dodler@
@boy@|@cha@
@boy got played and fell asleep@|@cha cha tadedak ts'a' netay@
@brown@|@dottho@
@bullets@|@k'atthe'@
@calf moose@|@detsik@
@caribou@|@wedzey@
@child@|@tr'enin@
@Christmas Day@|@drin tsul, Jesus wehonlay drin zhit@
@come here!@|@anay@
@do you have a hat?@|@yz tthets'yat inday?@
@do you have firewood?@|@trat ihday?@
@do you have gloves?@|@ya lajur inday?@
@do you have matches?@|@kwan' inday?@
@do you have mitts?@|@ya bat inday?@
@do you have socks?@|@ya tal inday?@
@do you see any sheep?@|@debe nah'ay?@
@do you see any wolves?@|@zhur ya nah'ay?@
@do you understand me?@|@ya shedintth'ek?@
@do you understand the language@|@jenezhu ya dintth'ek?@
@do you want fish?@|@luk nindhan?@
@do you want tea?@|@lejit nindhan?@
@do you want water?@|@chu nindhan?@
@dog is sitting in its house@|@lay dezho zhit dheja@
@dog sleeps on the rug@|@lay xhel kak dhetay@
@dog watches the little child@|@lay tr'enin tsul k'anohcha@
@dog's sitting behind the house@|@lay dezho ch'ak dheja@
@dog's sitting beside the house@|@lay dezho gha dheja@
@dog's sitting under the house@|@lay dezho tl'a dheja@
@don't@|@ana@
@enough@|@t'akho@
@fish@|@luk@
@five@|@lonla'@
@four@|@dang@
@foxtails are growing@|@lay che nohshe@
@girl@|@t'aga@
@girl puts fish upon the poles@|@t'aga dahzru kak luk dale@
