@English@|@Hawaiian@
@Author name@|@Renato B. Figueiredo / Charles A. Aiken@
@Font@|@Arial\12\Arial\12@
@(to) me@|@i o`u@
@[a] plant with great healing powers@|@popolo@
@`opihi (limpet snail) with yellow meat@|@`opihi `älinalina@
@…the bank?@|@…ka panakô?@
@…the restroom?@|@…ka lumi ho`opaupilikia?@
@a@|@he, he@
@A clear place@|@kïpuka@
@A coconut@|@He niu@
@A container a lid@|@He ipu no he po`i@
@A creeping grass@|@honohono@
@A fish in the sea@|@He i`a ko ke kai@
@A fish net@|@He `upena@
@a goby@|@'o'opu@
@A grouper (fish)@|@He hâpu`u@
@A hard wood tree@|@'ohia@
@A hula school@|@halau@
@a kind of `opihi@|@`opihi `âlinalina@
@a kind of lei@|@leiwili@
@a little@|@he li`ili`i@
@A little@|@iki@
@a lot@|@nui@
@A lot@|@nui loa@
@A movable couch@|@pune'e@
@A native vine@|@maile@
@A quarter past three@|@Lua mau hola á me hapahá@
@A quarter till two@|@Hapahá á kahi@
@A rooster@|@He moa kâne@
@A spreading succulent shrub@|@naupaka kahakai@
@A tree fern@|@He hâpu`u@
@A tree in the upland@|@He lâ`au ko uka@
@A trigger fish@|@humuhumunukunukuäpua'a@
@A type of preserved seed@|@see-moi@
@abalone@|@`opihi malihini@
@abandon@|@waiho@
@abbreviation@|@ho`opokole`ana, hua ho`ailona@
@ABCs@|@pi apa@
@abide@|@kali@
@ability@|@hiki, makaukau, mana@
@able@|@hiki, makaukau@
@abnormal@|@`ano`e@
@aboard@|@maluna@
@abolish@|@ho`opau@
@abominable@|@ho`opailua@
@abomination@|@mea haumia, mea`ino@
@above@|@i luna, i luna, luna, maluna@
@absent onself@|@waiho@
@absolutely@|@ho`i`ê, nô@
@absolution@|@e kala mai ia`u@
@abundant@|@manoa, nui`ino@
@accent (diacritical mark)@|@kaha, kiko@
@accent (speech)@|@hopuna@
@accent (stress)@|@kaulele (leo)@
@accept@|@`ae, `apono, ho`apono, lawe@
@accident@|@pilikia, ulia@
@accompany@|@`alo, hahai, hele pu, ukali@
@According to Pukui@|@kanaka maoli@
@accumulate@|@ho`ahu, ho`ili`ili@
@accurate@|@pololei, pono@
@accuse@|@ho`ahewa@
@accustomed@|@ma`a, ma`ama`a@
@Achievement@|@Ke Kû i ka nu`u@
@acquainted@|@kama`aina@
@acquire@|@lawe, loa`a@
@act (theatre)@|@mahele@
@act of saying negative things@|@talking stink@
@Adam's apple@|@kani`a`i, pu`a`i, pu`u@
@add@|@ho`ohui, ho`okui, ho`ulu`ulu, paku`i@
@addition@|@ho`ulu`ulu@
@addled@|@pilau@
@address@|@pahuleka@
@address (residence)@|@wahi noho@
@address (speech)@|@ha`i`olelo@
@adieu@|@A hui hou@
@adjacent@|@kokoke, pili@
@adjourn@|@ho`omalolo@
@adjust@|@ho`oponopono@
@administer@|@ho`ohana, ho`oholo, ho`oponopono@
@administrator@|@kahu, luna ho`oponopono@
@admiration@|@mahalo@
@admit (allow access)@|@ho`okomo@
@adopted@|@hânai@
@adopted child@|@hänai@
@adult@|@makua@
@advance@|@hele i mua, holomua@
@affection@|@Aloha, aloha pumehana@
@affliction@|@pilikia@
@aforementioned@|@ua...nei@
@afraid@|@maka`u, weli@
@afresh@|@hana hou@
@after@|@hope, hope, mahope@
@afternoon@|@`auinala, `auinalâ@
@afterward@|@hope, mahope, mahope iho@
@again@|@hana hou, hana hou, hou@
@against@|@ku`e@
@age@|@au, kulana makahiki, manawa, wa@
@aggrandize@|@ho`onui@
@agile@|@`eleu@
@agitated@|@pi`oloke, pihoihoi@
@ago@|@mamua aku nei@
@agree@|@`ae@
@agreement@|@`aelike@
@agriculture@|@`oihana mahi`ai@
@Aha!@|@`Ahâ!@
@ahead@|@i mua, mamua aku, mua@
@aid@|@kako`o, kokua, kôkua@
@ailing@|@`oma`ima`i, ma`ima`i, nawali@
@air@|@ea, ea, eaea, lewa@
@air mail@|@ho`ouna ma ka mokulele@
