@English@|@Hindi@
@Author name@|@Abhijeet A. Bhandwale@
@Font@|@Arial\12\Arial\12@
@a book@|@ek kitaab@
@a cat@|@ek billee@
@a dish of rice and flesh@|@Biryanee@
@a dog@|@ek kutta@
@aback@|@(1)achaanak (2) peechhee@
@abandoned@|@aawaara@
@abandonment@|@poorna tyaag@
@abatement@|@ghataav, kamee@
@abbey@|@gurdwaaraa, kutee, matthh@
@abbot@|@mahant@
@abbreviation@|@laghuroop, saar, sankshep@
@abdication@|@pad tyaag@
@abdomen@|@kukshi, Pait, udar@
@abdominal@|@udar sambandhi@
@abduction@|@apaharan@
@abed(adv)@|@bichhaune par, shayya par@
@aberrant@|@bhatkaa hua, path bhrashtt@
@aberration@|@bhool, bhram, vikshep@
@abeyance@|@kshanik viraam, vilamb@
@abhorrence@|@ghrinaa, vidvesh@
@ability@|@saamarrthyaa@
@abject@|@kameenaa, kshudra, neech, pateetaa@
@ablaze@|@(1)jaltaa hua, prajjwalit(2)uttejit@
@able@|@gunwaan, pravin, samarth@
@ablution@|@vidheepoorvak snaan@
@abnormal@|@asaadhaaran, asaamanya, vikreet@
@abnormality@|@vikritee@
@abode@|@ghar, makaan@
@abolition@|@loap, mitaav, naash@
@abominable@|@ghinaunaa, ghrina yogya, nindya@
@abomination@|@ghrinaa, vidvesh@
@aboriginal@|@adeem, pracheen, pratham, puraanaa@
@aborigines@|@adivasi, pracheen deshwaasee@
@abortion@|@garbhapaat@
@abortive@|@adhooraa, kachha, nishfal, vifal@
@about(a subject)@|@vishay ké baaré méin@
@about(Directions-Quantity)@|@aaspaas mein(D), lagbhag(Q), nikat(D)@
@above@|@oopar@
@above all@|@sabsé badhkar@
@abration@|@ghisan, ragad@
@abreast@|@baraabar, saath-saath (th as in thick)@
@abrupt@|@aakasmik, achaanak, achaanak, visham@
@abruptly@|@achaanak, akasmaat@
@absconding@|@faraari@
@absence@|@aabhaav, anupasthitee, gairhaajiree@
@absent@|@gairhaajir, unoopastheet@
@absentee@|@anupasthitee@
@absolute@|@keval, poorna, poorna, shudhh@
@absolutely@|@avashya, nitaant, sarvatha@
@absorbed@|@lavleen, shoshit, soakhaa hua@
@absorbent@|@nigalné waalaa, shoshak@
@absorption@|@shoshan@
@abstemious@|@sayyamsheel@
@abstract@|@aashay, amoort, sankshép, saraansh, tattva@
@abstract(text)@|@saraansh@
