@English@|@Hmong@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@2000 pounds@|@lub luj khoom@
@60 minutes =1 hour@|@60 feeb = 1 teev@
@a book@|@ib phau ntawv@
@a collection of paper@|@ib phau ntawv@
@a father@|@ib leej txiv@
@a house@|@ib lub tsev@
@a knife@|@ib rab riam@
@a knot@|@co@
@a letter@|@ib tsab ntawv@
@a little@|@me ntsis, tsawg@
@a little branch@|@ceg me@
@a lot@|@heev@
@a married couple@|@ib nkawm niam txiv@
@a meal@|@ib pluag mov@
@a moment ago@|@puag ta@
@A one-way ticket costs 30$@|@Mus xwb, peb caug dolaj.@
@a pencil@|@ib tug cwj mem@
@a piece of paper@|@ib daim ntawv@
@a small honey bee@|@mes@
@a suit of clothing@|@ib ce khaub ncaws@
@a tree@|@ib tsob ntoo@
@a while@|@ib pliag@
@a word@|@ib lo lus@
@a.m.@|@lub sijhawm ua ntej tavsu, sijhawm ua ntej tavsu, yav sawv ntxov@
@abandon@|@tso pov tseg@
@abbreviation@|@kev ua kom luv luv@
@abcess@|@rwj@
@abdomen@|@plab mog, zais plab@
@ability@|@muaj cuab kav, peevxwm, rab peev xwm@
@able@|@rooj, txawj, ua tau@
@able to@|@ua tau@
@abnormal@|@txawv txav@
@abolish@|@tsum, txiav tsis pub muaj ntxiv lawm@
@abort@|@nchuav@
@abortion@|@rho menyuam tawm@
@about@|@hais txog, li ntawm, qhia txog@
@About 400 miles@|@Yuav luag muaj 400@
@About thirty minutes@|@Yuav luag ib ntab teev@
@above@|@nyob saum, saum, saum toj@
@above average@|@tshaj lij zog, txawj zog@
@above the norm@|@paub zog feem coob, txawj zog feem coob@
@above the road@|@qaum kev@
@abrupt@|@ceev, nrawm, sai@
@abruptly@|@dheev@
@absent@|@tsis tuaj@
@absent-minded@|@hab, tsis nco qab hlaw hlias@
@absolutely@|@hlo li, kiag, kiag li@
@absorb@|@nqus, ntxaum dej@
@abstract reasoning@|@muaj tswv yim daws teeb meem, paub daws teeb meem@
@abstract reasoning (1)@|@paub tab@
@abundant@|@ntau@
@abuse@|@tsim txom, yuam kev ua phem@
@accasionally@|@puav@
@accept@|@lees, lees, txais, yuav@
@acceptable@|@yuav nyog lawm@
@accident@|@muaj xwm, xwm txheej@
@accompany@|@nrog mus@
@account@|@Naj npawb cia/txais nyiaj@
@accquaint@|@nrhiav kev siv paub, ntaus kev phooj ywg@
@accurate@|@haum, yog@
@accuse@|@fooj, kiam, liam@
@accuse falsely@|@ua cuav cai@
@accuse in court law@|@kom@
