@English@|@Icelandic@
@Author name@|@Robert Bassford@
@Font@|@Arial\12\Arial\12@
@(noun)@|@leiga@
@a few@|@fáeinir@
@a hire@|@leiga@
@a kiss@|@koss@
@a little@|@dálítið@
@a lot@|@mikið@
@a lot of@|@ógn@
@a moment ago@|@aðan@
@a shiner@|@gæoðarauga@
@a while ago@|@fyrir stundu@
@abandon@|@hætta við, yfirgefa@
@abbot@|@ábóti@
@abbreviations@|@skammstafanir@
@abhor@|@bjóða við, hrylla við, mér býður við@
@ability@|@dugnaður, gáfur, hæfileiki@
@able@|@fær@
@aboard@|@um borð, út á skip@
@abolish@|@afnema@
@about@|@hér um bil, um, umhverfis@
@about that time@|@um það skeið@
@above@|@uppi, yfir@
@above all@|@umfram allt@
@abridgement@|@ágrip@
@abroad@|@erlendis@
@abruptly@|@snögglega@
@absence@|@fjarvera, skortur@
@absent@|@fjarstaddur, fjarverandi@
@absolute@|@fullkominn@
@absolute power@|@einveldi@
@absolutely@|@alveg@
@abstract noun@|@hugmyndaheiti@
@abundance@|@gnægð@
@abuse@|@húðskamma, skamma@
@accent@|@framburður@
@accentuate@|@taka fram@
@accept@|@taka við, þiggja@
@acceptable@|@aðgengilegur@
@access@|@aðgangur@
@accessible@|@aðgengilegur@
@accident@|@slys@
@accidentally@|@af tilviljun@
@accommodation@|@aðbúnaður, húsrúm@
@accompany@|@fylgja@
@accomplish@|@afkasta@
@accord@|@samkomulag@
@according to@|@eftir, samkvæmt@
@according to the circumstance@|@eftir atvikum@
@according to what was said@|@að sögn@
@account@|@reikningur@
@accountancy@|@bókhald@
@accountant@|@reikningsmaður@
@accuracy@|@nákvæmni@
@accurate@|@nákvæmur@
@accusation@|@ásökun@
@accuse@|@ákæra, ásaka@
@accustom@|@venja við@
@ace@|@ás@
@ache@|@verkur@
@achievement@|@stórvirki@
@acknowledge@|@meðganga, viðurkenna@
@acknowledged@|@viðurkenndur@
@acquire@|@afla, eignast@
@acre@|@ekra@
@across@|@yfir@
@act@|@framkvæma@
@Act of Union@|@sambadslög@
@act quickly about@|@vinda bráðan bug að@
@activate@|@ræsa, setja í gang@
@active@|@starfsamur@
@activity@|@athafnasemi@
@actor@|@leikari@
@acute@|@hvass@
@aðalatvinningur@|@main livelihood@
@aðalbláber@|@whortleberry@
@aðaldalur@|@main valley@
@aðaldyr@|@entrance, main door@
@aðalfararskjóti@|@chief means of communication@
@aðalgata@|@high street, main street@
@aðalhlutverk@|@main role@
@aðallega@|@chiefly, mainly@
@aðalmatur@|@main course@
@aðalréttur@|@main course@
@aðalþáttur@|@main element@
@aðalvopn@|@main weapon@
@adapter@|@millistykki@
@add@|@bæta við@
@addition@|@viðbót@
@aðdráttur@|@transporting@
@address@|@ávarp, ávarpa, heimilisfang@
@aðeins@|@only@
@adequate@|@ærinn@
@aðfangadagur@|@eve of a holiday@
@adjective@|@lýsingarorð@
@adjust@|@rétta, stilla@
@admiral@|@aðmíráll@
@admiration@|@aðdáun@
@admire@|@dá, dást@
@admonish@|@áminna@
@adolescence@|@unglingsár@
@adopt@|@ættleiða@
@adoption@|@ættleiðing@
@adoptive@|@ættleiddur@
@adore@|@unna@
@adrift@|@á reki@
@adroit@|@fimur@
@advance@|@þokast áfram@
@advance payment@|@fyrirframgreiðsla@
@advancement@|@frami@
@advantage@|@gagn@
@adverb@|@atviksorð@
@adversity@|@mótgangur@
@advert@|@auglýsing@
@advertise@|@auglýsa@
@advice@|@ráð@
@advise@|@ráða@
@adviser@|@ráðunautur@
@aerodrome@|@flugvöllur@
@aeroplane@|@flugvél@
@affair@|@atvik@
@affect@|@koma við@
@affection@|@ástfóstur@
@affidavit@|@yfirlýsing@
@affirm@|@fullyrða@
@affliction@|@hryggð@
@affront@|@smán@
@aforementioned@|@fyrrnefndur@
@afraid@|@hræddur@
@after@|@eftir@
@after all@|@þrátt fyrir allt@
@after that time@|@að þeim tíma liðum@
@afternoon@|@eftirmiðdagur@
@afterwards@|@á eftir@
@again@|@að nýju, aftur@
@against@|@gegn, móti@
@age@|@aldur, öld@
@age limit@|@aldurstakmark, aldurstamark@
@agenda@|@dagskrá@
@agent@|@erindreki, umboðsmaður@
@aggressiveness@|@ágengni@
@aggrieve@|@særa@
@aggrieved@|@særður@
@agitation@|@áróður@
@ago@|@fyrir@
@agree@|@samþykkja, vera á einu máli@
@agreement@|@samkomulag, samningur, sátt, sáttmál@
@agriculture@|@akuryrkja, búnaður, jarðyrkja@
@aid@|@aðstoð, hjálp@
@aim@|@beina, stefna@
@aim for@|@miða að@
@air@|@loft@
@air base@|@flugstöð@
@air force@|@flugher@
@aircraft carrier@|@flugvélaskip@
@airfield@|@flugvöllur@
@airport@|@flugstöð, flugvöllur@
@airship@|@loftskip@
@alarm clock@|@vekjaraklukka@
@alcohol@|@áfengi@
@alike@|@eins@
@alive@|@lifandi@
@all@|@allur@
@all at once@|@allt í einu@
@all kinds of@|@alls slags, allskonar@
@all over the world@|@um allan heim@
@all right@|@allt í lagi@
@all the same@|@engu að síður@
@all the time@|@öllum stundum@
@allege@|@bera fyrir sig@
@allow@|@heimila, leyfa@
@allowed@|@heimill@
@alls slags@|@all kinds of@
@allude to@|@hafa í flimtingum@
@allure@|@laða að sér@
@alluvial fan@|@aurkeila@
@ally@|@bandamaður@
@almost@|@nærri, næstum@
@alone@|@aleinn, einn, einsamall, eintómur@
@along@|@langs með@
@already@|@nú þegar@
@also@|@einnig, líka@
@altar@|@altari@
@alter@|@breyta@
