@English@|@Indonesian@
@Author name@|@Freelang@
@Font@|@Arial\12\Arial\12@
@@|@duka, duta, elak, joran, lejit, ranggah, tangis@
@-@|@ada, angguk, batin, belalak, beli, biasa, buru, caci, catat, cengkeram, cuci, culik, curi, dadak, debat, desak, dongak, dorong, gangu, ganjal, ganyang, gesa, gigit, gunjing, hingga, jahit, jenasah, jenguk, kadang, kalah, kata, kendati, kerja, kilap, konyong, kuman, lapis, lenguk, libat, libur, lindung, mampir, memang, naung, nyanyi, panggil, pangku, pasang, pecah, pecat, periksa, pikir, pukul, putar, raba, rangkul, rentang, rogoh, rumus, saran, sarapan, sebut, sedang, sentuh, sesat, setor, sidik, singkir, siram, soal, solok, sunting, tabrak, tagih, tanya, taruh, tata, teguk, tengkar, terka, tikung, titip, tiup, todong, toleh, tumbuh, usap@
@- air@|@kedap@
@- allah@|@insya@
@- and physical; ke-an@|@rohani@
@- as a bone)@|@kering@
@- beluk@|@seluk@
@- ber-@|@antah, antah@
@- broom@|@lidi@
@- buruk = fart; - kencang@|@angin@
@- can/pile@|@sampah@
@- change; mengepas@|@pas@
@- continuously@|@lolong@
@- dingin@|@musim@
@- diri@|@mawas@
@- dua@|@muka@
@- engineering); civilian@|@sipil@
@- entrepreneur; mengs-kan@|@swasta@
@- forward; me-i@|@langkah@
@- gigi@|@gosok@
@- hati@|@pikat@
@- hidung (nostril)@|@liang@
@- hukum@|@tertib@
@- kaki@|@gelang@
@- kpd@|@takluk@
@- laku@|@elok@
@- lalu@|@sepintas@
@- maki@|@caci@
@- name); give birth@|@salin@
@- napas@|@sesak@
@- of discussion@|@arah@
@- of gratitude)@|@nyata@
@- onto; me-kan@|@runtuh@
@- pendek; - dalam (CD) (underwear)@|@celana@
@- pikuk@|@hiruk@
@- pun@|@mentang@
@- rasa@|@tenggang@
@- raya@|@rimba@
@- repeatedly by accident; pem/per-an@|@bentur@
@- s.o.; annoy/irritate; merasa ter-@|@siksa@
@- s.t.@|@selundup@
@- s.t./s.o.)@|@ampun@
@- s.t.; peng-an@|@korban@
@- saja seperti di rumah sendiri; make yourself at home@|@anggap@
@- senyum@|@gelak@
@- sleeves/work hard)@|@singsing@
@- suara@|@kedap@
@- tdk@|@sekali^2@
@- that; ber-@|@andai@
@-!@|@lho@
@""-mandir@|@mundar@
@(adang) meng-@|@hadang@
@(adj)@|@rapi@
@(adj); pem-@|@pandu@
@(adj.); unrest@|@keruh@
@(air) -@|@susu@
@(alami) natural@|@alamiah@
@-(an)@|@buron@
@(animals) carcass@|@bangkai@
@(be) surprised/astonished/amazed; men-kan@|@cengang@
@(ber-)@|@cengang@
@(ber)-@|@seliweran@
@(ber-2) tangled@|@pintal@
@(biol) sheath@|@kelopak@
@(brandal) rascal/scoundrel; gangster/bandit@|@berandal@
@(cemuh) insult/taunt/ridicule; men-(kan)@|@cemooh@
@(Ch) 1.500 in business transactions@|@cenggo@
@(Ch) 100 in business tranactions@|@cepek@
@(Ch) 500@|@gopek@
@(coll) coquettish@|@ganjen@
@(coll) in a series@|@urut@
@(coll) talk at random; talk w.out knowing what one is talking about@|@ngaco@
@(coll) want s.t. intensely@|@ngebet@
@(coll.) have; posses@|@punya@
@(Coll.) husband; man@|@laki@
@(coll.) kiss@|@cipok@
@(Coll.) menstruation@|@mens@
@(coll.) on account of@|@saking@
@(coll.) urine expelled in bed or s.o.'s pants; ng-@|@ompol@
@(Duta Besar) ambassador@|@Dubes@
@(falsafat) philosophy; -ical system/base/ideology/idea; ber-@|@falsafah@
@(Fin.) a rate of exchange@|@kurs@
@(Fin.) clearing account@|@giro@
@(gairat) passion@|@gairah@
@(give) support@|@tunjang@
@(goncang) shake@|@guncang@
@(gramophone) record@|@pelat@
@(guncang) shake@|@goncang@
@(inderia) o. of the 5 senses (peng-an@|@indria@
@(isl) obligatory (of certain pious act@|@wajib@
@(Isl)forbidden; (coll)under no circumstances; meng-kan@|@haram@
@(Isl.) And peace be with you (use to close letters and speeches).@|@wassalamualaikum@
@(Isl.) argumentation; proposition/theorem@|@dalil@
@(Isl.) defiling filth@|@najis@
@(Isl.) God (in expression)@|@ilahi@
@(itu) that@|@anu@
@(jepit) tweezers/clip/clamp; ter-@|@jepet@
@(Jkt and some other regions). form of address for older working -class males with whom o. is not acquainted. Form of address to o.'s husband of\r boyfriend. Us. As bang.@|@abang@
@(Jkt) be averse to s.t.; no; not want/care about s.t.; tidak mau@|@ogah@
@(Jkt) do not expect even that much@|@boro-boro@
@(Jkt) fist@|@tonjok@
@(Jkt) How odd/strange (exclamation); for the first time@|@tumben@
@(Jkt) lie; rearend@|@kibul@
@(Jkt) men-@|@timpe@
@(Jkt) plane (carpentry tool); also as verb: serut kayunya@|@serut@
@(Jkt) small raft@|@getek@
@(Jkt) stick the headout@|@nongol@
@(jkt) tacky@|@nora, norak@
@(Jv@|@anyar, laler@
@(Jv) big-bellied@|@gembrot@
@(Jv) clear/understandable/explicit/no mincing of words; men-kan@|@gamblang@
@(Jv) common term of address to a younger man@|@mas@
@(Jv) common term of address to a younger woman@|@mbak@
@(Jv) finished@|@rampung@
@(Jv) gait@|@kiprah@
@(Jv) in all directions@|@ngalor-ngidul@
@(Jv) innards; heart@|@jeroan@
@(Jv) k.o. ceremonial umbrella of royalty; meny-@|@songsong@
@(Jv) latch@|@santek@
@(Jv) me-i@|@laden@
@(Jv) old@|@jompo@
@(Jv/Sund) start to cry; torn open@|@mewek@
@(Jw) men-I interfere in s.o.'s affairs@|@timbrung@
@(Jw) spilled all over@|@tumplek@
@-(kan)@|@geser@
@(kantong) pocket; bag@|@kantung@
@(ke-) want@|@pengen, pingin@
@(kelip) blinking@|@kelap@
@(kemaluan wanita) cunt (vagina)@|@memek@
@(keringet) sweat/perspiration; ber-@|@keringat@
@(kukuh) sturdy@|@kokoh@
@(larut); to late (of s.t. done & irreversible); te-@|@lanjur@
@(layak) proper/suitable@|@laik@
@(lit) a wound@|@tuna@
@(Lit) house@|@panti@
@(lit) model@|@wahana@
@(Lit.) from@|@daripada@
@(Lit.) in intervals of ten; -lomba@|@dasa-@
@(lit.) when (kapan@|@apabila@
@(lobang) hole@|@lubang@
@(lubang) hole@|@lobang@
@(mahasiswa) student @@ 2ndary school@|@siswa@
@(mahluk) creature@|@makhluk@
@(mampat); solid/compact/compressed; clogged up; di-kan@|@mampet@
@(mark of) honour@|@upacara@
@(me-) lubricate; (me-i) smear s.t; defile@|@lumas@
@(me)n-@|@tonton@
@(me)ng-@|@anggur@
@(me-i) bless s.t.@|@restu@
@(me-kan) celebrate; (pe-an) celebration@|@raya@
@(men-kan) drop s.t. on its face; make s.t. fall down or into a hole; fall into a trap hole@|@jerumus@
@(meny)-i@|@susur@
@(merk) brand@|@merek@
@(n)@|@curang, gumam, juang, kelahi, lengkung, mundur, peluk, perkosa, selisih, serang, siar, susur, tantang, tengkar@
@(n) appeal@|@imbau, himbau@
@(n) group of@|@kerumun@
@(n) help@|@tolong@
@(n) iron@|@setrika@
@(n) kiss@|@kecup@
@(n) need@|@perlu@
@(n) nickname@|@juluk@
@(n) question@|@tanya@
@(n) work; memper-kan@|@kerja@
@(n); ke- cekikikan@|@tawa@
@(n); peny-@|@sokong@
@(nafas) breath@|@napas@
@(nasehat) advice@|@nasihat@
@(naut.) hold of a ship@|@palka@
@(nyebelin) annoying@|@rese@
@(omzet) turnover (in commercial enterprise)@|@omset@
@(original) local people.@|@pribumi@
@(pijit@|@pijat@
@(pol.) party; (sport) event; quantity of (jumlah)@|@partai@
@(pungkir) deny/disavow; renege; me-i/kan@|@mungkir@
@(Rel) presence (of God); female members of the audienci@|@hadirat@
