@English@|@Inuit@
@Author name@|@Freelang@
@Font@|@Arial\12\Arial\12@
@(all is well)@|@kranoengitok@
@(is sleepy)@|@okkodluartok@
@(lit.: stays there)@|@maniyok@
@(making sign with nose)@|@naksitarpok@
@a kind of seal@|@tiggak@
@acts badly@|@pinnerlukpok@
@acts quickly@|@tuawiorpok@
@acts slowly@|@piksukpok@
@acts well@|@nakoarpok@
@acts without being noticed@|@terliarpok@
@acts without being seen@|@tireksorpok@
@again@|@suli, tamattomani@
@agitated@|@nimnarpok@
@almighty@|@ajurakangitok@
@almost choked with emotion@|@tupkoyakiktok@
@alone@|@kissermiorpok, kissi@
@amiable@|@ikpanartok (Net.)@
@angel@|@anernerk@
@answers@|@akkiwok, akpikok, akpiusarpok, sadvarpok@
@answers well@|@kamasukpok@
@appears@|@satkomerpok@
@apple of the eye@|@iyakovik, takuvitnar@
@approves by signs of head@|@pungattok@
@arrives from afar@|@tikitpok@
@artistically done@|@saapkut@
@ashamed@|@illerasukpok@
@asks@|@aperiyok@
@at the side of@|@sanniani@
@ate his fill@|@akreatorpok@
@atmosphere@|@sila@
@attains his end.@|@pituararpok@
@awake@|@erkreanaitok@
@awakes s.o.@|@tupaktitsiyok@
@bad boy@|@angatuyok@
@beads@|@sappagnak (Okk.)@
@bear cub@|@atertak, nanertak@
@beard@|@umerk, umit@
@beard full of frost@|@umikjuktok@
@beautiful@|@pitsiark@
@beautiful!@|@anana!@
@becomes dizzy@|@uibjangoyok@
@becomes lower@|@pokliwok@
@becomes totally different@|@assiangorpok@
@begins@|@pilisarpok@
@begs@|@tuksirarpok@
@better@|@palarpok@
@big seal (square flipper)@|@udjuk@
@bitch@|@arnaluk, pungok@
@bites@|@tamuasukpok@
@blessing@|@saimartitsidjut@
@blossoms@|@erkpakpok@
@blue fox@|@kreanartak@
@boss@|@atanerk (Okk.)@
@bothers v.@|@pagvisarpok@
@breakable@|@napsiktok@
@breath@|@anernerk@
@broods@|@ivayok@
@calls loudly@|@torklurarpok@
@candy@|@nunguserark, okkomiakattark, okkomiakattark@
@cannot be beaten@|@salausuitok@
@cat@|@pussik@
@catches game@|@anguyok@
@catches when flying (ball@|@akkorpok@
@causes one to feel something@|@ikpinartok@
@changes@|@sanguyok, sokoserpok@
@changes often@|@sangusaraitok@
@charity@|@naglingnerk@
@chases@|@ungomayok@
@cheek tatooings@|@uluarutit@
@cheerful@|@alianaigosuktok@
@chews@|@tamuasukpok@
@chief@|@issumatark@
@child@|@soruserk (Okk.), utarak (nutara)@
@children imitating elder person@|@pikattarput@
@chin in water to drink@|@sikkiwok@
@cleans@|@iparpok, ipiiyarpok@
@clear minded@|@auimaitok@
@clear sky@|@adlartok@
@clever@|@kakituyok@
@comes back home@|@angelrarpok@
@comes closer@|@kagliwok@
@comes down rivers@|@situyok@
@commands@|@perkoyiyok@
@companion@|@pikattar, pikatti@
@complains@|@ipkolukpok (Padl), omilarpok@
@consolation@|@saimarnert@
@consoles@|@saimarpok@
@continues@|@pikannerpok@
@corrects s.o.@|@sukkorpok, sutkorpok@
@covers with snow or earth@|@saupa@
@cries and yells@|@kreayok@
@cries out@|@erealarpok@
@crushed@|@semiktok@
@curls up@|@immulerpok@
@curls up.@|@erkrivok@
@deception@|@tammarnerk@
@deserted@|@sunakasuitok@
@desires intensely@|@krelanartorpok@
@desires much@|@ikligosukpok@
@desires to@|@pissuarpok@
@desires to imitate@|@adjumiyok@
@despises others@|@suiksarpok@
@devil@|@torngark@
@devours@|@apkarpok, uningarpok@
@devours like dogs@|@apkalawok@
@diamond@|@uyaraut@
@difficult@|@ajornartok@
@digs@|@illutorpok@
@digs a hole@|@ittersaliorpok@
@digs with hands or paws@|@adgakpok, adgasarpok@
@diviing through the air@|@auksararpok v.@
@do not move@|@watsinak (Padl.)@
@does as he pleases@|@issumaksorpok@
@does it once more@|@pikannerpok@
@does not change@|@sungejuitok@
@does not see well@|@takpiitok@
@does not speak much@|@okrarlorluktok@
@does nothing@|@sulsriyok@
@dog@|@kringmerk@
@dog is grunting@|@kattingolarpok@
@dog making effort to get loose@|@kalibjarpok@
@dog plays@|@unerk@
@dogs (jealous of each others)@|@uniyok@
@dogs have tail up@|@pameiyut@
@doll@|@inungoark, inuyak@
@dreams v.@|@sinnaktomawok@
@eats@|@nerreyok, tamuasukpok@
@eats any thing@|@uniwok@
@eats remains@|@sunasorpok@
@echoes@|@akkiorpok v.@
@embraces.@|@erkrikpok v.@
@endeavors@|@illungertorpok, pinasuarpok, pinasukpok@
@enemies@|@akkerareit@
@enough@|@asso@
@error@|@tammarnerk@
@escapes@|@annakpok@
@etc@|@arksarpok, iparpok, pikattauyok, sikkiwok, torngark@
@etc)@|@akkorpok@
@etc.@|@akkiwok, erkpakpok, innua or inua, kiggertarpok, kregertarpok, pujortok, satortok, sausimayok, situyok, tammarpok, tiglikpok@
@etc.)@|@assinaitok, kinguyok, nuyuisertok@
@exchanges@|@akkiwok, taursiwok@
@exercises@|@piniarsarpok@
@expensive@|@akkituyok@
@explores@|@nautsertorpok@
@eyes hardly open@|@uitakikpok@
@facing the wind@|@adgomut@
@falls backwards@|@kingupiusarpok@
@falls down@|@olrowok@
@falls head first@|@ukpikarpok@
@far@|@awamurpok, nakkertok@
@fault@|@tammarnerk@
@feels@|@tapsitarpok@
@feels lonesome@|@kipingoyok@
@feels sleepy@|@erkreasukpok@
@fetches something@|@aiklerpok@
@fights@|@unatarpok@
@fights (dogs)@|@ogiarpok v.@
@fights until gets a black eye@|@sungouyarpok@
@finds eggs.@|@pikjukpok@
@finds footprints@|@tupsiyok@
@finds human being@|@inuksiwok@
@finishes@|@ingiarpok@
@flatters@|@uivilraiyok@
@flees away (game etc.)@|@mangatpok@
@flirts@|@sivulingayok@
@flower@|@perotsiark@
@fog@|@pujortok@
@follows@|@mallikpok@
@follows tracks@|@tubjarsiwok@
@food marks in face@|@tiblit@
@for the third time@|@pingasuangni@
@forgets@|@puigorpok@
@forgets easily@|@puigodguyok (Padl.)@
@fox@|@nappatak (Okk.), tireganierk@
@free (dog@|@assinaitok@
@friend@|@illa@
@frightened@|@ulureasukpok@
@gallops@|@pangalikpok@
@gets angry@|@ningarpok@
@gets away from@|@sannesiktok@
@gets in front of@|@sagiarpok@
@gets others in trouble@|@idluiksarpok@
@ghost@|@anernerk@
@giant@|@inukpak@
@gift@|@tunerk@
@gives@|@pimayarpok, tunisiyok, tuniyok@
@gives back to owner@|@satortok@
@gnashes teeth@|@aglerolarpok@
@gnaws@|@mikkakpok@
@goes afar to visit folks@|@tuyurmiarpok@
@goes ahead@|@imgiarpok, ingiarpok, ingiarpok, sivudlerpok@
@goes and hides@|@iyerartorpok@
@goes around@|@awalukpok, uivarpok@
@goes by airplane@|@tingmisorpok@
@goes elsewhere@|@assianuarpok@
@goes far away@|@awadlerpok@
@goes fast@|@nakkertok@
@goes faster and faster@|@nakkersarpok@
@goes first@|@sivulingayok@
@goes home@|@aiwok@
@goes inland with whole family@|@taggiarpok@
@goes out to see if some one is coming@|@itsuarpok@
@goes out to see if someone is coming@|@iktortok@
@goes straight ahead@|@tukiliarpok@
@goes to and fro@|@awamurpok@
@goes to the edge of ice@|@sinaliarpok@
@good bye (to those staying home.)@|@togvawutit@
@good speaker@|@okratsiak@
@good worker@|@pilerigayuktok@
@grace@|@saimarnert@
@great thinker@|@issumadguyok (Padl)@
@grey colour@|@siarnak@
@guards@|@mianersiyok@
@guides@|@tassiorpok@
@hair fallen from skin@|@pilu@
@happiness@|@kuviasungnerk@
@happy@|@kuviasukpok@
@has a good reputation@|@piktauyoriyauyok@
@has a good sight@|@takpikpok@
