@English@|@Irish Gaelic@
@Author name@|@Freelang / Hoganstand@
@Font@|@Arial\12\Arial\12@
@aback@|@baineadh siar as@
@abandon@|@tréig@
@abate@|@síothlaigh@
@abbey@|@mainistir@
@abdicate@|@tabhair suas@
@abdomen@|@bolg@
@abduct@|@fuadaigh@
@abide@|@cloígh@
@ability@|@ábaltacht@
@ablaze@|@ar dearglasadh@
@able@|@ábalta@
@abnormal@|@mínormálta@
@aboard@|@ar bord@
@abode@|@áitreabh@
@abort@|@éirigh as@
@abortion@|@ginmhilleadh@
@abound@|@bheith ag cur thar maoil le@
@about@|@thart ar@
@above@|@thuas, thuas@
@abrasive@|@scríobach@
@abreast@|@gualainn@
@abroad@|@ar an gcoigríoch, thar sáile@
@abrupt@|@tobann@
@abusive@|@maslach@
@abyss@|@duibheagán@
@academic@|@acadúil@
@academy@|@acadamh@
@accelerate@|@luathaigh@
@accelerator@|@luasaire@
@accent@|@blas@
@accept@|@glac@
@access@|@bealach isteach@
@accessory@|@gabhálas@
@accident@|@taisme@
@acclimatize@|@clóigh le@
@accommodate@|@tabhair lóistín do@
@accompany@|@tionlaic@
@accomplice@|@comhchoirí@
@accord@|@comhaontú@
@accordingly@|@da réir@
@accordion@|@bosca ceoil@
@account@|@cuntas, cuntas@
@accountant@|@cuntasóir@
@accumulate@|@tiomsaigh@
@accuracy@|@beachtas@
@accusation@|@gearán@
@accustomed@|@coitianta@
@ace@|@aon@
@ache@|@pian@
@achieve@|@saothraigh@
@acid@|@aigéad@
@acknowledge@|@admhaigh@
@acne@|@aicne@
@acorn@|@dearcán@
@acoustic@|@fuaimiúil@
@acquaintance@|@duine aitheantais@
@acquire@|@faigh@
@acre@|@acra@
@acrobat@|@cleasaí@
@across@|@trasna@
@act@|@gníomh@
@activate@|@cuir ar obair@
@activist@|@gníomhaí@
@actor@|@aisteoir@
@actress@|@banaisteoir@
@actual@|@fíor@
@acumen@|@grinneas@
@acupuncture@|@snáthaidpholladh@
@adamant@|@dáigh@
@adapt@|@rud a chur in oiriúint@
@add@|@cuir le@
@adder@|@nathair@
@addict@|@andúileach@
@address@|@seoladh@
@adenoids@|@adanóidí@
@adept@|@innealta@
@adequate@|@sásúil@
@adhere@|@greamú do@
@adhesive@|@greamachán@
@adjacent@|@cóngarach@
@adjoining@|@tadhlach@
@adjourn@|@cuir ar atráth@
@adjust@|@ceartaigh@
@administer@|@riar@
@admirable@|@inmholta@
@admiral@|@aimiréal@
@admire@|@meas mór@
@admission@|@cead@
@admit@|@glac le@
@admonish@|@tabhair achasán@
@adolescence@|@óigeantacht@
@adopt@|@glac le@
@adore@|@gráigh@
@adrenaline@|@aidréanailín@
@adrift@|@ag imeacht le sruth@
@adult@|@duine fásta@
@adultery@|@adhaltranas@
@advance@|@airleacan@
@advantage@|@buntáiste@
@adventure@|@eachtra@
@adverb@|@dobhriathar@
@adversary@|@céile@
@advert@|@fógra@
@advertise@|@fógair@
@advice@|@comhairle@
@advocate@|@cosantóir@
@aerial@|@aeróg, aéróg@
@aerobics@|@aeróbaíocht@
@aeroplane@|@eitléan@
@aerosol@|@aerasól@
@aesthetic@|@aeistéitiúil, anaesthetic@
@afar@|@chonaic siad i bhfad uathu é@
@affable@|@lách@
@affair@|@gnó@
@affect@|@téigh i bhfeidhm ar@
@affection@|@cion@
@affinity@|@dáimh a bheith agat le@
@affirmative@|@dearfach@
@afflict@|@caith ar@
@affluence@|@rathúnas@
@afford@|@tá sé de ghustal aici@
@affront@|@masla@
@afield@|@i bhfad ó bhaile@
@afloat@|@ar snámh@
@afoot@|@tá rud éigin ar cois@
@afraid@|@eaglach@
@afresh@|@go húrnua@
@Africa@|@An Afraic@
@after@|@i ndiadh, tar éis, thar éis@
@afternoon@|@iarnóin, tráthnóna@
@after-sales service@|@seirbhís iarbhearrtha@
@aftershave@|@ionlach@
@afterthought@|@athsmaoineamh@
@afterwards@|@tar a éis sin@
@again@|@arís@
@age@|@aois@
@agency@|@gníomhaireacht@
@agenda@|@clár@
@aggravate@|@cuir in olcas@
@aggression@|@ionsaí@
@aghast@|@scanraithe@
@agile@|@aclaí@
@agitate@|@corraigh@
@ago@|@fadó@
@agony@|@céasadh@
@agree@|@socraigh@
@agreement@|@ceangal, comhaontú@
@agriculture@|@talmhaíocht@
@aground@|@suí@
@aid@|@cúnamh@
@Ailment@|@easláinte@
@aim@|@aidhm, deasaigh@
@air@|@aer@
@air conditioning@|@aeroiriúnú@
@air force@|@aerarm@
@air freshener@|@aeríontóir@
@air gun@|@aerghunna@
@air hostess@|@aeróstach@
@air letter@|@aerlitir@
@air raid@|@aer ruathar@
@air traffic controller@|@stiúrthóir aerthráchta@
@airborne@|@ar eitilt@
@aircraft@|@aerárthach@
@airlift@|@aertharlú@
@airline@|@aerlíne@
@airmail@|@aer phost, aerphost@
@airplane@|@eitleán@
@airport@|@aerfort@
@airtight@|@aerdhíonach@
@aisle@|@taobhroinn@
@ajar@|@ar leathoscailt@
@akin@|@cosúil le@
@alarm@|@rabhadh@
@alas@|@faraor@
@albeit@|@cé@
@album@|@albam@
@alcohol@|@alcól@
@alcove@|@almóir@
@ale@|@leann@
@alert@|@airdeallach@
@algebra@|@ailgéabar@
@alias@|@ainm bréige@
@alibi@|@ailibí@
@alien@|@coimhthíoch@
@alight@|@trí thine@
@align@|@ailínigh@
@alike@|@cosúil@
@alimony@|@ailiúnas@
@alive@|@beo, beo@
@alkali@|@alcaile@
@all@|@gach, uile@
@all rounder@|@ilbheartóir@
@all time@|@gan sárú@
@allay@|@maolaigh@
@allegation@|@líomhain@
@allegiance@|@dílseacht@
@allergy@|@ailléirge@
@alleviate@|@tabhair faoiseamh do@
@alley@|@caolsráid@
@alliance@|@comhaontas@
@alligator@|@ailigéadar@
@all-in@|@san iomlán@
@all-ireland@|@ceannais na hÉireann@
@allocate@|@roinn ar@
@allot@|@roinnt@
@all-out@|@dólámhach@
@allow@|@ceadaigh, lig@
@alloy@|@cóimhiotal@
@allude@|@tagairt a dheeanamh do@
@ally@|@comhghuaillí@
@almighty@|@uilechumhachtach@
@almond@|@almóinn@
@almost@|@beagnach@
@alms@|@déirc@
@aloft@|@in airde@
@alone@|@aonarach@
@along@|@an bhfuil sé ag teacht linn?@
@aloof@|@deoranta@
@aloud@|@os ard@
@alphabet@|@aibítir@
@alpine@|@alpach@
@Alps@|@Na hAlpa@
@already@|@cheana@
@alright@|@ceart go leor@
@Alsatian@|@Alsáiseach@
@also@|@fosta, freisin@
@altar@|@altóir@
@alter@|@athraigh@
@alternator@|@ailtéarnóir@
@although@|@cé go@
@altitude@|@airde@
@alto@|@alt@
@altogether@|@go hiomlán@
@aluminium@|@alúmanam@
@always@|@i gcónai, i gcónaí@
@amalgamate@|@cónaisc@
@amateur@|@amaitéarach@
@amaze@|@cuireann sé iontas orm@
@ambassador@|@ambasadóir@
@amber@|@ómra@
@ambidextrous@|@comhdheas@
@ambition@|@uaillmhain@
@ambivalent@|@défhiúsach@
@ambulance@|@otharcharr@
@ambush@|@luíochán@
@amenable@|@sochomhairleach@
@amend@|@leasaigh@
@amenities@|@áiseanna@
@America@|@Meiriceá@
@American@|@Meiriceánach@
@amethyst@|@aimitis@
@amiable@|@lách@
@amibguous@|@athbhríoch@
@amid@|@i lár@
@amiss@|@tá rud éigin cearr@
@ammonia@|@amóninia@
@ammunition@|@armlón@
@amnesia@|@aimnéise@
@amok@|@dul as do chrann cumhachta@
@among@|@i measc@
@amorous@|@grámhar@
@amount@|@méad, méid@
@amp@|@aimpéar@
@ample@|@fairsing@
@amputate@|@teasc@
@amuse@|@siamsa@
