@English@|@Italian (Theology)@
@Author name@|@Michael Fye@
@Font@|@Arial\12\Arial\12@
@@|@apertura@
@" meaning troubles (amarezze)@|@guai@
@"had better"@|@convenire@
@"ought to"@|@convenire@
@(adj) - remaining@|@restante@
@(adj)- atheistic@|@ateo@
@(adj)- burdened@|@carico@
@(adj)- component@|@componente@
@(adj)- lawful@|@lecito@
@(adj)- overbearing@|@prepotente@
@(adj.) - dark@|@buio@
@(adj.) - leading@|@conduttore@
@(adj.) - opposite@|@contrario@
@(adj.) - proprietary@|@proprietario@
@(adj.) - single@|@scapolo@
@(adj.)- absent@|@assente@
@(adj.)- alike@|@compagno@
@(adj.)- alone@|@solo@
@(adj.)- annointed@|@unto@
@(adj.)- assisting@|@coadiuvante@
@(adj.)- associated@|@aggregato@
@(adj.)- believing@|@credente@
@(adj.)- blind@|@cieco@
@(adj.)- broad@|@largo@
@(adj.)- caught@|@pescato@
@(adj.)- cerimonial@|@cerimoniale@
@(adj.)- choral@|@corale@
@(adj.)- competing@|@concorrente@
@(adj.)- complex@|@complesso@
@(adj.)- conciliar@|@conciliare@
@(adj.)- conservative@|@conservatore@
@(adj.)- consisting of@|@composto@
@(adj.)- constant@|@costante@
@(adj.)- contained@|@contenuto@
@(adj.)- contrary@|@avversario@
@(adj.)- contrasting@|@contrapposto@
@(adj.)- covered@|@coperto@
@(adj.)- culpable@|@colpevole@
@(adj.)- cursed@|@maledetto@
@(adj.)- deaf@|@sordo@
@(adj.)- deceptive@|@traditore@
@(adj.)- deep@|@fondo@
@(adj.)- different@|@diverso@
@(adj.)- disappeared@|@scomparso@
@(adj.)- dissatisfied@|@scontento@
@(adj.)- double@|@doppio@
@(adj.)- drawn@|@ricavato@
@(adj.)- dried@|@passo@
@(adj.)- dry@|@asciutto@
@(adj.)- eastern@|@orientale@
@(adj.)- elderly@|@anziano@
@(adj.)- empty@|@vouto@
@(adj.)- entwined@|@contesto@
@(adj.)- equal@|@pari@
@(adj.)- equivocal@|@equivoco@
@(adj.)- evident@|@patente@
@(adj.)- exposed@|@esposto@
@(adj.)- false@|@finto@
@(adj.)- favorite@|@prediletto@
@(adj.)- feasible@|@fattibile@
@(adj.)- fine@|@fine, fino@
@(adj.)- flat@|@piano, piatto@
@(adj.)- fleeing@|@profugo@
@(adj.)- following@|@inseguitore, seguente@
@(adj.)- food@|@alimentare@
@(adj.)- foreign@|@forestiero@
@(adj.)- formed@|@formato@
@(adj.)- forseen@|@previsto@
@(adj.)- frightened@|@sgomento@
@(adj.)- front@|@davanti, dinanzi@
@(adj.)- Gallic@|@gallo@
@(adj.)- gentle@|@mite@
@(adj.)- given@|@dato@
@(adj.)- guardian@|@custode@
@(adj.)- healthy@|@salutare@
@(adj.)- heavy@|@peso@
@(adj.)- heretical@|@eretico@
@(adj.)- holding@|@detentore@
@(adj.)- hosting@|@ospite@
@(adj.)- imperative@|@imperativo@
@(adj.)- in charge of@|@preposto@
@(adj.)- inclined@|@portato@
@(adj.)- inexperienced@|@principiante@
@(adj.)- Jewish@|@Ebreo, Giudeo, Iudeo@
@(adj.)- joined@|@congiunto, giunto@
@(adj.)- lame@|@zoppo@
@(adj.)- last@|@scorso, ultimo@
@(adj.)- lax@|@lassista@
@(adj.)- lay@|@laico@
@(adj.)- love@|@amoroso@
@(adj.)- low@|@basso@
@(adj.)- main@|@maestro@
@(adj.)- masculine@|@maschio@
@(adj.)- mistaken@|@malinteso@
@(adj.)- mountain@|@montano@
@(adj.)- native@|@Natale@
@(adj.)- near@|@vicino@
@(adj.)- needy@|@bisognoso@
@(adj.)- next@|@prossimo@
@(adj.)- northern@|@settentrionale@
@(adj.)- notable@|@notabile@
@(adj.)- objective@|@obiettivo@
@(adj.)- odd@|@dispari@
@(adj.)- only@|@unico@
@(adj.)- only-begotten@|@unigenito@
@(adj.)- opposite@|@opposto@
@(adj.)- organic@|@organico@
@(adj.)- original@|@principe@
@(adj.)- overloaded@|@sovraccarico@
@(adj.)- physical@|@fisico@
