@English@|@Japanese@
@Author name@|@James William BREEN and The Electronic Dictionary Research and Development Group at Monash University@
@Font@|@Arial\12\Arial\12@
@a@|@ato@
@A & B@|@kouotsu@
@a (helping) hand@|@ippi@
@a (photo)copy@|@kopi-@
@a basin@|@hachi@
@a bath@|@hitofuro@
@a battle@|@issen@
@a beard one has because they're too lazy to shave@|@bushouhige@
@a beat@|@ichijun@
@a belle@|@komachi@
@a bent back@|@nekoze@
@a big deal@|@taishita@
@a big haul@|@ichimoudajin@
@a billionth of a second@|@nanosekando@
@a biography@|@ichidaiki@
@a birthstone@|@tanjouseki@
@a bit@|@chito, chitto, ichibuichirin, ichigou@
@a bite@|@hitokuchi@
@a blast@|@hitofuki@
@a block signal@|@burokkusain@
@a blot@|@naore@
@a blow@|@hitoawa, hitouchi, ichida, ichigeki@
@a boat@|@ichii, ichiyou@
@a body@|@ichidan@
@a bond@|@issatsu@
@a book@|@issho@
@a bother@|@sewayaki@
@a bout@|@ichiban, ikkai, issen@
@a bout (in sports@|@torikumi, torikumi@
@a bow (salute@|@ichirei@
@a bowl@|@hachi@
@a bowl (of rice)@|@ichizen@
@a bowl of rice@|@ippan@
@a boy@|@ichinan@
@a brace@|@hitotsugai@
@a brake@|@bure-ki@
@a branch (of flowers)@|@ichida@
@a breath@|@hitoiki@
@a breather@|@ikitsugi@
@a breathing spell@|@ikitsugi@
@a broadside@|@isseishageki@
@a Buddha@|@hotokesama@
@a bunch@|@hitokurume, hitomatome, ichiwa@
@a bundle@|@hitokakae, hitokurume, hitomatome, hitotaba, ichiwa, issoku@
@a burst of anger@|@hitoare@
@a capella@|@akapera@
@a careless person@|@occhokochoi@
@a casting net@|@toami@
@a catch@|@mizuage@
@a cause@|@ichiin@
@a cavity@|@utsuro@
@a center@|@senta-@
@a century@|@isseiki@
@a certain@|@shikaru@
@a certain book@|@ippon@
@a certain...@|@aru@
@a chain@|@ichiren@
@a change@|@idou@
@a channel@|@channeru@
@a character@|@ichiji, ichijinbutsu@
@a charge@|@ippatsu@
@a charm@|@majinai@
@a check@|@chekku, osae@
@a cherry tree bearing single blossoms@|@hitoezakura@
@a child@|@isshi@
@a child's dice game@|@sugoroku@
@a cinch to do@|@asameshimae@
@a clean sweep@|@issou@
@a close@|@shuumatsu@
@a clue@|@tancho@
@a cluster@|@ichida@
@a comic story (telling)@|@rakugo@
@a command@|@ichimei@
@a commercial@|@koma-sharu@
@a communist@|@kyousanshugisha@
@a company@|@ittai@
@a complainant@|@sonin@
@a complete set@|@isshiki@
@a compound@|@gouseibutsu@
@a consent@|@ichidaku@
@a cooperative@|@seikatsukyoudoukumiai@
@a co-operative@|@kyoudoukumiai@
@a copse@|@hitomura@
@a copy (of a photo)@|@ichiyou@
@a corner@|@hitosumi, ichiguu@
@a corpus luteum@|@outai@
@a council@|@hyougiin, sanjikai@
@a council (abbr)@|@hyou@
@a couple@|@hitotsugai, kappuru@
@a crease@|@oreme@
@a crease (i.e. in trousers)@|@orime@
@a criminal@|@kyoujoumochi@
@a cross@|@juumonji@
@a crowd@|@hitomura, hitomure, ichigun@
@a crown@|@hachi@
@a cry@|@hitokoe@
@a cup of@|@ippai@
@a current (of water)@|@issui@
@a curse@|@noroi@
@a cylinder@|@kitou@
@a daimyo's main Tokyo mansion@|@kamiyashiki@
@a dance@|@hitosashi@
@a day or two@|@ichiryoujitsu@
@a day's journey@|@ichinichiji@
@a degenerate@|@henshitsusha@
@a degree@|@icchuu@
@a denomination@|@isshuu@
@a design@|@zuan@
@a determined purpose@|@ichinen@
@a difference@|@rakusa@
@a dimple@|@ekubo@
@a direct unforked road@|@ipponmichi@
@a disadvantage (defect@|@isshitsu@
@a disgrace@|@naore@
@a dish (of food)@|@hitosara@
@a district@|@ikku@
@a diviner@|@urayasan@
@a document@|@issatsu@
@a dose@|@ippuku@
@a draft@|@hitokuchi@
@a draw (in competition)@|@hikiwake@
@a draw curtain@|@hikimaku@
@a dream@|@ichimu@
@a drink@|@inryou, ippai@
@a drop@|@issui, itteki, shitatari@
@a drop (of water)@|@hitoshizuku@
@a drop in activity@|@tenuki@
@a drudge@|@gariben@
@a drying agent@|@kansouzai@
@a fall in price@|@nesagari@
@a family@|@ichizoku, ikka, ikke@
@a family get-together@|@ikkadanran@
@a favourite book@|@aidokusho@
@a feast@|@isseki@
@a feint@|@feinto@
@a fellow@|@yakara@
@a few@|@ikutsuka@
@a few days ago@|@sakinohi, senjitsu@
@a few lines@|@hitofude, ippitsu@
@a few words@|@ichigenhanku, ichigonhanku@
@a few years ago@|@sakizaki, sennen@
@a filler (i.e. time@|@tsunagi@
@a find@|@horidashimono, moukemono@
@a finger@|@isshi@
@a flash@|@issen@
@a fleeting thing@|@ichimu@
@a flock@|@hitomure, ichigun@
@a flower@|@hitohana@
@a flowerpot@|@hachi@
@a focus@|@pinto@
@a fold@|@oreme, orime@
@a Formosan@|@taiwanjin@
@a fort@|@ichirui@
@a fragment@|@ikko@
@a frame@|@fure-mu@
@a gain@|@hitokasegi@
@a gamble@|@kake@
@a game@|@ichiban, ikkai, issen@
@a gang@|@ichidan, ittai@
@a general@|@isshou@
@a generation@|@ichidai, isse, issei, issei@
@a glance@|@ichibetsu, ichimoku, ichiran@
@a glimpse@|@ikken@
@a gold quarter ryoo@|@ichibukin@
@a good citizen@|@maningen@
@a good deal@|@daibu@
@a good time to quit@|@hikidoki@
@a gouge@|@marunomi@
@a grain@|@hitotsubu@
@a grasp@|@hitotsukami@
@a grind@|@gariben@
@a group@|@hitokatamari, hitomure, ichidan, ichigun@
@a guiding principle@|@ippon'yari@
@a gunner@|@houshu@
@a gust of wind@|@ichijin@
@a guy that knows how to play the ladies@|@onnatarashi@
@a guy who never gets the women@|@onnifujiyuu@
@a habit (often a bad habit@|@kuse@
@a hair@|@ippatsu@
@a hair's breadth@|@ippatsu@
@a half@|@ippan@
@a half-year@|@ikki@
@a handful@|@hitotsukami@
@A Happy New Year!@|@gashou@
@a harvest@|@saku@
@a head (of cattle)@|@ittou@
@a head (of water)@|@rakusa@
@a help@|@ichijo, tedasuke@
@a herd@|@hitomura, hitomure, ichigun@
@a hit@|@ichigeki, meichuu@
@a hollow@|@utsuro@
@a home@|@ikka, ikke@
@a horse load@|@ichida@
@a hot-tempered person@|@ikkokumono@
@a house@|@ikka, ikke, ikken@
@a household@|@ichizoku, ikka, ikke, ikko@
@a huge woman@|@ooonna@
@a hundred@|@hitotaba, issoku@
@a Japanese (an old word for)@|@wajin@
@a Japanese rake@|@gendzume@
@a job@|@hitokasegi@
@a joint@|@hitofushi, tsunagime@
@a kick@|@hitokeri, isshuu@
@a kidnapper@|@yuukaihannin@
@a kind@|@isshu, tagui@
@a la carte@|@arakaruto@
@a la mode@|@aramo-do@
@a lap@|@isshuu@
@a large serving@|@oomori@
@a laugh@|@isshou@
@a law@|@okite, ritsuryou@
@a leaf@|@ichiyou@
@a lean on one's mortgage@|@teitouken@
@a letter@|@ichiji, issho, karinofumi, karinotayori, karinotsukai@
@a level and inked string@|@junjou@
@a life@|@ichimei@
@a lifetime@|@isse, issei, issei, isshou, isshougai@
@a light@|@akari@
@a limb)@|@shibireru@
@a line@|@hitosuji, hitosuki, ichigyou, issen, ittou@
@a line (of mountains@|@tentei, tentetsu@
@a lineage@|@ittou@
@a link@|@ikkan, tsunagime@
