@English@|@Jerriais@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@1. royal@|@lé cacatouais@
@1/16 pint@|@un d'mié-nodgîn@
@1/2 pint@|@eune démié-pînte@
@1/4 cabot@|@un quarchonnyi@
@1/6 cabot@|@un siêxtonnyi@
@1/8 pint@|@un nodgîn@
@100000th@|@lé/la chent millième@
@10000th@|@lé/la dgiêx millième@
@1000th@|@lé/la millième@
@100th@|@lé/la chent-tch'ieunième, lé/la chentchième, lé/la chentième@
@101st@|@lé/la chent-tch'ieunième@
@102nd@|@lé/la chent deuxième@
@103rd@|@lé/la chent traîsieme@
@104th@|@lé/la chent quatrième@
@105th@|@lé/la chent chîntchième@
@106th@|@lé/la chent siêxième@
@107th@|@lé/la chent-septième, lé/la chent septchième@
@108th@|@lé/la chent-huitième, lé/la chent huitchième@
@109th@|@lé/la chent neuvième@
@10th@|@la dgièxième@
@110th@|@lé/la chent dgièxième@
@111th@|@lé/la chent onzième@
@112th@|@lé/la chent douzième@
@113th@|@lé/la chent treizième@
@114th@|@lé/la chent quatorzième@
@115th@|@lé/la chent tchînzième@
@116th@|@lé/la chent seizième@
@117th@|@lé chent dgiêx-septchième, lé chent dgiêx-septième@
@118th@|@lé chent dgiêx-huitchième, lé chent dgiêx-huitième@
@119th@|@lé/la chent dgiêx-neuvième@
@11th@|@la onzième@
@120 gallons@|@eune pipe@
@120th@|@lé/la chent vîngtchième@
@12th@|@la douzième@
@13th@|@la treizième@
@14th@|@la quatorzième@
@15th@|@la tchînzième@
@16th@|@la seizième@
@17th@|@la dgiêx-septchième, la dgiêx-septième@
@18th@|@lé dgiêx-huitchième, lé dgiêx-huitième@
@19th@|@la dgiêx-neuvième@
@1st@|@la preunmiéthe, lé preunmyi, les preunmièrs@
@1st (1)@|@es preunmié, les preunmiéthes@
@2 pronged fork@|@fourtchet@
@2000th@|@lé/la deux millième@
@200th@|@lé/la deux chentchième, lé/la deux chentième@
@20th@|@la vîngtchième@
@21st@|@la vîngt-tch'ieunième@
@22nd@|@la vîngt-deuxième@
@23rd@|@la vîngt-traîsieme@
@24th@|@la vîngt-quatrième@
@25th@|@la vîngt-chîntchième@
@26th@|@la vîngt-siêxième@
@27th@|@lé vîngt-septchième, lé vîngt-septième@
@28th@|@lé vîngt-huitchième, lé vîngt-huitième@
@29th@|@la vîngt-neuvième@
@2nd@|@la deuxième, la s'gonde, lé s'gond@
@3000th@|@lé/la trais millième@
@300th@|@lé/la trais chentchième, lé/la trais chentième@
@30th@|@la trentchième@
