@English@|@Jingpho@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@a 4-legged nat altar@|@ton@
@a bamboo rope@|@šingri, šingrit@
@a battle@|@phjen@
@a bed-bug@|@krap, šäkrep@
@a bee@|@märoi, numroi@
@a bird of the genus columba@|@käkhru, khru, khru-du@
@a bone@|@nra@
@a border@|@rit, zhärit@
@a bottle@|@ätau, dum, namtau, ndum, ndum, ntum@
@a bow@|@kung-li, läli@
@a cave@|@ginlong@
@a child@|@käša, ša@
@a chisel@|@ugon@
@a clearing@|@mäzhen@
@a coat@|@long-, pälong@
@a coil@|@äkhong@
@a confluence@|@mäjup@
@a creeper@|@ri, rü@
@a crust@|@kop@
@a cubit@|@dong@
@a day@|@ja'@
@a deer@|@šan, šat@
@a depository@|@sädek@
@a destination@|@gintheng@
@a diamond@|@sin@
@a disease@|@ngan@
@a ditch@|@kha'-khong, khong@
@a division@|@ban, ban, tham@
@a dwarf@|@ätek@
@a feast@|@poi@
@a female@|@num@
@a fish trap@|@chingro'@
@a flower@|@pan-@
@a ford@|@ukhan@
@a forest@|@ding-gram@
@a fox@|@chäkhjon@
@a full-grown bamboo@|@uroi@
@a gong@|@jun-mang@
@a granary@|@dum@
@a grating@|@mägrang@
@a guardian@|@gumgun@
@a handful@|@lägra'@
@a handle@|@ulang@
@a hand-spindle@|@gäbang@
@a hat@|@gägup@
@a hold@|@läšum@
@a horn@|@nrung@
@a hurricane@|@läru@
@a jacket@|@ta-go, tä-go@
@a jail@|@thong@
@a jar@|@jam@
@a jewel@|@seng@
@a k. of basket@|@phut@
@a k. of beetle@|@mjeng@
@a k. of car ornament@|@lädan, lätan, lätan@
@a k. of cooking pot@|@singgo, singko@
@a k. of creeping plant@|@ri, rin@
@a k. of cricket@|@gädon, kädon, khädon@
@a k. of fungus@|@mätho, mäthong@
@a k. of insect@|@sumbung@
@a k. of salt@|@jám@
@a k. of tree@|@mälem@
@a k. of yam@|@khäla@
@a knot@|@gindum, kindum@
@a large cricket@|@khra@
@a large kind of chatty@|@mä-au@
@a large village@|@ningthong@
@a limb@|@khrang, läkung@
@a load@|@mägun@
@a male@|@lá@
@a military drum@|@bren@
@a molar@|@wa-kam@
@a mosquito@|@zhi'-grong@
@a moth@|@mänut@
@a mother@|@gänu, nu@
@a pantry@|@läphra, zhäpra@
@a pass@|@kang@
@a pick-axe@|@u-zho@
@a pipe@|@pjong@
@a place@|@khan@
@a plain@|@läja@
@a pledge@|@ningra@
@a pond@|@kha'-long@
@a post@|@šädo@
@a price@|@mänu@
