@English@|@Jurchen@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@10.000@|@tuman@
@3d p. deictic stem@|@in@
@a big monkey@|@bo-nong@
@a measure of weight@|@mia-liang-ha@
@a prohibitive particle@|@ume@
@above@|@wi-si@
@age@|@sejng-nger@
@all@|@ngem-ur@
@army@|@chaw-xa@
@arrow@|@niru@
@ash tree@|@fulto@
@ashes@|@fule-ngi@
@autumn@|@bolo@
@bad@|@exebe@
@bark@|@su-gu@
@basket@|@hin-ma-lar@
@be born@|@boldi-xaj@
@be divided@|@del-xe@
@be merry@|@wur-hul-zhe-rie@
@bear@|@lefu@
@beauty@|@bocho-gaj, boicho-gaj@
@become white@|@c'ang-gian@
@belt@|@xebu-de@
@bench@|@mul-an@
@big@|@amban, amban-an@
@black@|@saxa-lian@
@blood@|@seing-ngi@
@boar@|@uliyan@
@bone@|@giba-an-gi, girba-an-gi@
@boots@|@fom-chi@
@bridge@|@hufuru@
@bronze@|@c'iri@
@camel@|@temge@
@capital city@|@gin@
@cattle@|@ad-hu@
@cause@|@tu-ru-wen-@
@children@|@omo@
@chopsticks@|@sabunxa, sabuxa@
@coal@|@hia-xa@
@cold@|@bei, siung-hun, siung-hun, siunghun@
@color@|@bochu@
@comb@|@hir-di-xun@
@content@|@o-le-he-hung@
@cypress@|@hisi@
@dam@|@xe-ki@
@day@|@inengi@
@deep@|@c'u-mi-gi@
@dew@|@sie-le-un@
@dog@|@indahun, nginda-xiun@
@donkey@|@oh-hen@
@dragon@|@mudu-ur, mudur@
@dream@|@tol-xin@
@drop@|@tu-ho-@
@duck@|@mie-xe@
@dust@|@bureng-ki@
@ear@|@siang-ha@
@earth@|@bong-xong, na@
@eight@|@jhakun@
@eighteen@|@niyuhun@
@eighty@|@jhakunjhu@
@elder brother@|@axun, axun-un@
@eleven@|@anso@
@empire@|@guru-un@
@evening@|@shise, sih-ser@
@existence@|@duta@
@external side@|@tuli-le@
@eye@|@ngia-c'i@
@face@|@der-hel@
@falcon@|@giaxun, giaxun-un@
@fan@|@fu-sxe-ngu@
@far@|@gor-o@
@fat@|@ji-miung-ngu@
@father@|@amin@
@female@|@enin@
@field ready for ploughing@|@usi-in@
@fifteen@|@tobohon@
@fifty@|@susai@
@fight@|@sori@
@fir cone@|@xuri@
@fire@|@towi, towo@
@fish@|@limwa-xa@
@five@|@c'unzha, shunja@
@fixed habits@|@tu-bi-ba tei-bew@
@flour@|@wu-fa@
@flower@|@hil-gha@
@foot@|@bodi-xe@
@for a while@|@ta-ka@
